dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
cifar100,m8_analytic,F5,full,acc,n/a,6.0,,censored,,,6,0.8954166666666667,0.8862987499999998,per-task a0(t)=1/classes_seen,,
cifar100,m8_analytic,F5,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
cifar100,m8_analytic,F5,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
cifar100,m8_analytic,F5,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cifar100,m8_analytic,F5,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cifar100,m8_analytic,F5,global,acc,n/a,6.0,,censored,,,6,0.8954166666666667,0.8862987499999998,per-task a0(t)=1/classes_seen,,
cifar100,m8_analytic,F5,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9986535903794697,0.9981139273505126,0.5,,
cifar100,m8_analytic,F5,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9986535903794697,0.9981139273505126,0.5,,
cifar100,m8_analytic,F5,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.9660258184245226,0.954716685994908,0.01,,
cifar100,m8_analytic,F5,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.9660258184245226,0.954716685994908,0.01,,
cub200,m0_fedavg,F1,full,acc,n/a,2.221483661856378,3,ok,1.659896717542693,2.9498731177419093,6,0.844476320545971,0.8048637992401682,per-task a0(t)=1/classes_seen,,
cub200,m0_fedavg,F1,full,leak_auc,last_round,0.9426934028188642,1,ok,0.8702563854702122,1.4038736031196277,6,0.6570406826594243,0.6505647918173428,0.5,,
cub200,m0_fedavg,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.6570406826594243,0.6505647918173428,0.5,,
cub200,m0_fedavg,F1,full,leak_tpr1,last_round,0.7428618968386023,1,ok,0.6877338003733299,0.8315376463570844,6,0.05790390074035057,0.05350481802675816,0.01,,
cub200,m0_fedavg,F1,full,leak_tpr1,trajectory,1.0815769845498135,2,ok,0.8828718541713326,1.958086953662842,6,0.05790390074035057,0.05350481802675816,0.01,,
cub200,m1_glfc,F1,full,acc,n/a,6.0,,censored,,,6,0.5983358711954052,0.5060028145706057,per-task a0(t)=1/classes_seen,,
cub200,m1_glfc,F1,full,leak_auc,last_round,6.0,,censored,,,6,0.6160647140863971,0.6059110251746106,0.5,,
cub200,m1_glfc,F1,full,leak_auc,trajectory,6.0,,censored,,,6,0.6160647140863971,0.6059110251746106,0.5,,
cub200,m1_glfc,F1,full,leak_tpr1,last_round,6.0,,censored,,,6,0.0377057713579283,0.030676385593658987,0.01,,
cub200,m1_glfc,F1,full,leak_tpr1,trajectory,6.0,,censored,,,6,0.0377057713579283,0.030676385593658987,0.01,,
cub200,m2_target,F1,full,acc,n/a,6.0,,censored,,,6,0.5202909287879943,0.42506460701598275,per-task a0(t)=1/classes_seen,,
