dataset,unit,eps,gamma,delta,fpr,tpr_empirical,tpr_dp_bound,n_shadows,n_pos,n_neg
cifar100,U1,1.0,1.0,1e-05,0.19791668678535573,0.1963370677057964,0.5380033332374529,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.2072921779595372,0.20520214320506575,0.5634885605291085,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.21711179456945054,0.21509985387238187,0.5901810459222705,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.22739657523579276,0.224997564539698,0.6181379783172756,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.23816855519761582,0.23512907939600586,0.647419255704024,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.24945081352303167,0.24596200681928884,0.6780876134939827,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.2612675225563329,0.25796395518753046,0.7102087589313933,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.27364399970746717,0.27027764247442765,0.7438515118716602,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.286606761694825,0.2846566000974184,0.7790879522285347,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.3001835813575589,0.29905504140282513,0.8159935744060097,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.31440354715915003,0.3140185094982952,0.8546474490457839,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.3292971255097151,0.33018996590355576,0.895132392436856,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.34489622604057596,0.34497808085728204,0.9375351439502009,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.36123426997094304,0.3627861665854847,0.9819465518786833,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.3783462617131929,0.3804968339016074,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.3962688638701478,0.3984997564539698,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.41504047578504766,0.4180613735996103,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.43470131581250265,0.4369215781782757,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.4552935074866948,0.45769118363370676,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.47686116977144694,0.4780905991232343,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.499450511585514,0.49893813930832925,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.5231099308056264,0.5221237213833414,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.5478901179593945,0.5478032148075986,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.5738441648302393,0.574223088163663,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.6010276782070382,0.6013443740867024,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.6294988990221888,0.6299074525085241,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.6593188271333549,0.660029225523624,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.6905513520162331,0.6904237700925475,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.7232633896483533,0.7230589381393083,1.0,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.7575250258771913,0.7578957622990745,1.0,1024,51325,51175
