dataset,method,elapsed,full_budget_n_shadows,full_budget_n_seeds,full_budget_tpr1_mean,full_budget_auc_mean,restricted_budget_n_shadows,restricted_budget_n_seeds,restricted_budget_tpr1_mean,restricted_budget_auc_mean,tpr1_diff,auc_diff
cifar100,m0_fedavg,0,4096,3,0.029121693624555176,0.5604788721043917,1024,3,0.028690343277349168,0.5542689101080317,-0.0004313503472060075,-0.006209961996360036
cifar100,m0_fedavg,6,4096,3,0.02790634212817611,0.5654751953892504,1024,3,0.024010021974018806,0.5559271930064418,-0.0038963201541573032,-0.009548002382808618
