dataset,backbone,n_per_class,ref_quality,class,trial,anisotropy_ratio,mean_cos,median_cos,frac_above_0.8,n_records,ref_pool_size
cub200,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,87,4,34.03062132603117,0.8618832632173103,0.8822476893031568,0.75,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,noisy_full,184,0,34.03062132603117,0.7974258165616691,0.8133006909835359,0.5,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,noisy_full,172,1,34.03062132603117,0.7149070980826843,0.7096060160542614,0.25,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,noisy_full,49,2,34.03062132603117,0.8107915282115021,0.8063395187204436,0.75,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,noisy_full,24,3,34.03062132603117,0.8769804469301725,0.890614160928098,0.75,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,noisy_full,115,4,34.03062132603117,0.9132241743375522,0.9370122758640771,1.0,4,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_full,101,0,34.03062132603117,0.7643865463757289,0.7619858262048689,0.375,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_full,82,1,34.03062132603117,0.6911850682780877,0.6757321323405558,0.125,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_full,193,2,34.03062132603117,0.6661364546626283,0.6670503976879125,0.375,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_full,135,3,34.03062132603117,0.697590083893931,0.740925027786617,0.25,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_full,13,4,34.03062132603117,0.644552545234224,0.6805481788095125,0.125,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,122,0,34.03062132603117,0.724599367283145,0.7331951838552728,0.125,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,118,1,34.03062132603117,0.6634358606709072,0.6677200967187749,0.125,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,121,2,34.03062132603117,0.5393183938442079,0.5263439923741308,0.0,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,107,3,34.03062132603117,0.6394165426261645,0.6563134482758428,0.0,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,75,4,34.03062132603117,0.717670153423783,0.7070082597356881,0.25,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,noisy_full,36,0,34.03062132603117,0.6899041178714155,0.7216470763191161,0.25,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,noisy_full,71,1,34.03062132603117,0.8129654880393722,0.8367942131356999,0.625,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,noisy_full,31,2,34.03062132603117,0.6162219916605391,0.590162445773442,0.125,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,noisy_full,114,3,34.03062132603117,0.7507224856830679,0.7738585164348777,0.375,8,5
cub200,vit_base_patch16_224.augreg_in21k,8,noisy_full,89,4,34.03062132603117,0.7421268732953181,0.7431377423437917,0.25,8,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_full,172,0,34.03062132603117,0.6032293803547999,0.6554522021984543,0.0625,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_full,124,1,34.03062132603117,0.6325253774397797,0.6520689022422681,0.0,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_full,122,2,34.03062132603117,0.6998063133971045,0.7085809401101002,0.125,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_full,25,3,34.03062132603117,0.6286713508854104,0.6066355442072682,0.0625,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_full,176,4,34.03062132603117,0.7016964279790635,0.7074825284379479,0.125,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,12,0,34.03062132603117,0.7417104412987268,0.7912811327701719,0.375,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,82,1,34.03062132603117,0.7119803350221884,0.7525027156804238,0.375,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,166,2,34.03062132603117,0.636534209819909,0.6015868504712452,0.0625,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,81,3,34.03062132603117,0.6276094763205873,0.6322199753115523,0.0625,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,64,4,34.03062132603117,0.5552430993950135,0.5927330989695121,0.0,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,noisy_full,51,0,34.03062132603117,0.7193610011003441,0.7429337207365414,0.0625,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,noisy_full,101,1,34.03062132603117,0.6704660003070916,0.6896598205821212,0.125,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,noisy_full,74,2,34.03062132603117,0.7086930566694082,0.7340023156438802,0.0625,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,noisy_full,92,3,34.03062132603117,0.7920921987504377,0.8072686000524116,0.5,16,5
cub200,vit_base_patch16_224.augreg_in21k,16,noisy_full,0,4,34.03062132603117,0.6261156467448727,0.6465430842670987,0.0,16,5
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_full,95,0,86.3956279333485,0.9999999981063522,0.9999999981063522,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_full,7,1,86.3956279333485,1.0000000073709356,1.0000000073709356,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_full,75,2,86.3956279333485,0.9999999692788637,0.9999999692788637,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_full,86,3,86.3956279333485,1.0000000046626436,1.0000000046626436,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_full,60,4,86.3956279333485,1.0000000105039426,1.0000000105039426,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,84,0,86.3956279333485,1.0000000421893933,1.0000000421893933,1.0,1,20
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,25,1,86.3956279333485,0.9999999718090098,0.9999999718090098,1.0,1,20
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,39,2,86.3956279333485,1.0000000950332497,1.0000000950332497,1.0,1,20
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,24,3,86.3956279333485,0.9999999963525804,0.9999999963525804,1.0,1,20
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,71,4,86.3956279333485,1.0000000040337809,1.0000000040337809,1.0,1,20
cifar100,vit_base_patch16_224.augreg_in21k,1,noisy_full,60,0,86.3956279333485,1.0000000333934123,1.0000000333934123,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,noisy_full,4,1,86.3956279333485,0.9999999475334812,0.9999999475334812,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,noisy_full,12,2,86.3956279333485,-0.9999999472290525,-0.9999999472290525,0.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,noisy_full,22,3,86.3956279333485,1.0000000015758899,1.0000000015758899,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,1,noisy_full,5,4,86.3956279333485,0.9999999897962696,0.9999999897962696,1.0,1,100
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_full,27,0,86.3956279333485,0.9999809874245109,0.9999809874245109,1.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_full,18,1,86.3956279333485,0.6306435871294134,0.6306435871294134,0.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_full,84,2,86.3956279333485,0.999282018670912,0.999282018670912,1.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_full,88,3,86.3956279333485,0.980387574114687,0.980387574114687,1.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_full,58,4,86.3956279333485,0.975425162215215,0.975425162215215,1.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,41,0,86.3956279333485,0.9999542253294615,0.9999542253294615,1.0,2,20
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,68,1,86.3956279333485,0.5538761642148309,0.5538761642148309,0.0,2,20
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,63,2,86.3956279333485,0.422519615810154,0.422519615810154,0.0,2,20
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,54,3,86.3956279333485,0.6074201109298194,0.6074201109298194,0.0,2,20
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,92,4,86.3956279333485,0.9987496485275733,0.9987496485275733,1.0,2,20
cifar100,vit_base_patch16_224.augreg_in21k,2,noisy_full,1,0,86.3956279333485,0.7219099272136227,0.7219099272136227,0.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,noisy_full,8,1,86.3956279333485,0.6120315035735905,0.6120315035735905,0.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,noisy_full,27,2,86.3956279333485,0.998677036823623,0.998677036823623,1.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,noisy_full,43,3,86.3956279333485,0.9973061085727736,0.9973061085727736,1.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,2,noisy_full,76,4,86.3956279333485,0.8427809814062037,0.8427809814062037,1.0,2,100
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_full,17,0,86.3956279333485,0.48607020825876157,0.4747792969660952,0.0,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_full,38,1,86.3956279333485,0.5237963352065134,0.601743770851914,0.0,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_full,13,2,86.3956279333485,0.5850324481080214,0.5800750033586828,0.0,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_full,90,3,86.3956279333485,0.6264894361591936,0.5307741659123122,0.25,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_full,99,4,86.3956279333485,0.6440317453381987,0.5473590543166895,0.25,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,96,0,86.3956279333485,0.7478732620125057,0.7362849677010046,0.25,4,20
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,31,1,86.3956279333485,0.6730118538585892,0.6271365457433831,0.25,4,20
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,31,2,86.3956279333485,0.7504474329883116,0.8153320019605028,0.75,4,20
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,17,3,86.3956279333485,0.5692409940857135,0.6053005055673657,0.25,4,20
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,26,4,86.3956279333485,0.5825234607805492,0.571225908518948,0.25,4,20
cifar100,vit_base_patch16_224.augreg_in21k,4,noisy_full,60,0,86.3956279333485,0.32284396336231425,0.35930693190788876,0.0,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,noisy_full,92,1,86.3956279333485,0.7740879879951008,0.8044689067810926,0.5,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,noisy_full,67,2,86.3956279333485,0.48401973239107265,0.4800780312407321,0.0,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,noisy_full,7,3,86.3956279333485,0.29676865666183866,0.33640747115253117,0.0,4,100
cifar100,vit_base_patch16_224.augreg_in21k,4,noisy_full,18,4,86.3956279333485,0.4431205713618658,0.4307362802547191,0.0,4,100
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_full,45,0,86.3956279333485,0.479207193529259,0.37055380118598247,0.25,8,100
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_full,27,1,86.3956279333485,0.6190731974168543,0.7156199225344395,0.25,8,100
