dataset,backbone,n_per_class,ref_quality,mean_cos,ci_lo,ci_hi,n_trials
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_full,0.9999999979845476,0.9999999772682143,1.0000000187008808,5
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_full,0.9171438659109477,0.7178117834429054,1.11647594837899,5
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_full,0.5730840346141377,0.4897232354894614,0.656444833738814,5
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_full,0.5000140117116588,0.38692253525840536,0.6131054881649123,5
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_full,0.4469050802873781,0.36995919475759986,0.5238509658171563,5
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_full,0.5418079452734613,0.4587593889140852,0.6248565016328375,5
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_full,0.4191567843052356,0.38959915472481826,0.448714413885653,5
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_full,0.4655762499506383,0.40275053816338025,0.5284019617378963,5
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,1.000000021883603,0.9999999622025928,1.000000081564613,5
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,0.7165039529623678,0.38519798050915527,1.0478099254155804,5
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,0.6646194007451338,0.5567215969760111,0.7725172045142565,5
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,0.49172449362895054,0.38185701790956683,0.6015919693483343,5
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,0.47466311650161896,0.32017132827977646,0.6291549047234615,5
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_small_pool,0.4746430929121196,0.41366367824383243,0.5356225075804067,5
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_small_pool,0.4870516146304918,0.4119611599523557,0.5621420693086279,5
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_small_pool,0.4094651670774751,0.33952500383645384,0.47940533031849636,5
cifar100,vit_base_patch16_224.augreg_in21k,1,noisy_full,0.6000000050140001,-0.5105780039164843,1.7105780139444846,5
cifar100,vit_base_patch16_224.augreg_in21k,2,noisy_full,0.8345411115179626,0.6233694614676115,1.0457127615683137,5
cifar100,vit_base_patch16_224.augreg_in21k,4,noisy_full,0.46416818235443846,0.22785819826644918,0.7004781664424278,5
cifar100,vit_base_patch16_224.augreg_in21k,8,noisy_full,0.5437742863411412,0.45130646437881644,0.636242108303466,5
cifar100,vit_base_patch16_224.augreg_in21k,16,noisy_full,0.5286359877198898,0.4711473544932406,0.586124620946539,5
cifar100,vit_base_patch16_224.augreg_in21k,32,noisy_full,0.42004859826857077,0.3458619039271383,0.49423529261000326,5
cifar100,vit_base_patch16_224.augreg_in21k,64,noisy_full,0.4529652767037516,0.38291736987182756,0.5230131835356756,5
cifar100,vit_base_patch16_224.augreg_in21k,128,noisy_full,0.443242481609128,0.41813172424357614,0.46835323897467984,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_full,0.9999999930979883,0.9999999482774581,1.0000000379185183,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,0.6864945882048907,0.4460801233243118,0.9269090530854697,5
cub200,vit_base_patch16_224.augreg_in21k,4,clean_full,0.8081945112156527,0.7201321527129969,0.8962568697183084,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_full,0.69277013968892,0.6365893248696219,0.748950954508218,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_full,0.6531857700112316,0.5974828892477407,0.7088886507747224,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,1.0000000091330976,0.9999999606056202,1.000000057660575,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,0.8725989510636761,0.6508798844549778,1.0943180176723746,5
cub200,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,0.8189998233045686,0.7710735393923553,0.8669261072167818,5
cub200,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,0.6568880635696416,0.5638667144685531,0.7499094126707301,5
cub200,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,0.6546155123712849,0.5629352402904942,0.7462957844520756,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,0.9999999973233354,0.9999999611914039,1.000000033455267,5
cub200,vit_base_patch16_224.augreg_in21k,2,noisy_full,0.7076397576776808,0.48077901423584135,0.9345005011195203,5
cub200,vit_base_patch16_224.augreg_in21k,4,noisy_full,0.8226658128247161,0.7274113001003171,0.9179203255491151,5
cub200,vit_base_patch16_224.augreg_in21k,8,noisy_full,0.7223881913099425,0.6308851122106841,0.8138912704092008,5
cub200,vit_base_patch16_224.augreg_in21k,16,noisy_full,0.7033455807144309,0.6267877036742932,0.7799034577545686,5
