dataset,method,retention_type,knob_value,n_seeds,retention_bwt_mean,retention_bwt_ci_lo,retention_bwt_ci_hi,tpr1_mean,tpr1_ci_lo,tpr1_ci_hi,elapsed
cifar100,m5_hybrid_replay,individual,0,3,-0.6709722222222223,-0.7383582292615268,-0.6035862151829178,0.024051365751805834,0.016079893185162498,0.03202283831844917,5
cifar100,m5_hybrid_replay,individual,10,3,-0.04724074074074073,-0.0783562889700446,-0.016125192511436865,0.0432327137257266,0.03890704737457949,0.04755838007687371,5
cifar100,m5_hybrid_replay,individual,20,3,-0.009287037037037043,-0.027244257876216448,0.008670183802142363,0.0486021041586339,0.036373207261617566,0.06083100105565023,5
cifar100,m4_proto,semantic,0.0,3,-0.06537962962962962,-0.07594540499235422,-0.054813854266905014,0.34931340712229736,0.32405783077368233,0.3745689834709124,5
cifar100,m4_proto,semantic,0.5,3,-0.06537962962962962,-0.07594540499235422,-0.054813854266905014,0.3493907479408344,0.3320902933882774,0.36669120249339143,5
cifar100,m4_proto,semantic,0.9,3,-0.06537962962962962,-0.07594540499235422,-0.054813854266905014,0.3531700388875992,0.3391952662264965,0.3671448115487019,5
