dataset,method,family,attack,fpr,tpr,seed
cifar100,m0_fedavg,F1,A1_LiRA,0.0016070528182616384,0.009107129763155966,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0016831803533309566,0.009366216117126586,0
cifar100,m0_fedavg,F1,A1_LiRA,0.001762914118095948,0.009620414049324176,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0018464249428955426,0.009913719355706011,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0019338917504552321,0.010182582553222692,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0020255019392306666,0.010314569941094517,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00212145178491063,0.01050032996846968,0
cifar100,m0_fedavg,F1,A1_LiRA,0.002221946860939524,0.010759416322440301,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0023272024789604074,0.011082052159460318,0
cifar100,m0_fedavg,F1,A1_LiRA,0.002437444150122222,0.01134602693520397,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0025529080682395165,0.011663774350450956,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0026738416158399465,0.011913083860875516,0
cifar100,m0_fedavg,F1,A1_LiRA,0.002800503894183631,0.012250384963214626,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0029331662783900424,0.012617016596191919,0
cifar100,m0_fedavg,F1,A1_LiRA,0.003072112998861759,0.012993425072715274,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0032176417502507355,0.01339427565810378,0
cifar100,m0_fedavg,F1,A1_LiRA,0.003370064329271928,0.01372668833866986,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00352970730273065,0.01415198103292352,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0036969127071950283,0.0144843937134896,0
cifar100,m0_fedavg,F1,A1_LiRA,0.003872038781812557,0.014899909564197199,0
cifar100,m0_fedavg,F1,A1_LiRA,0.004055460735840828,0.015320313836677828,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0042475715525368985,0.01581404443575392,0
cifar100,m0_fedavg,F1,A1_LiRA,0.004448782831127585,0.0160829076332706,0
cifar100,m0_fedavg,F1,A1_LiRA,0.004659525668664682,0.016493535062205168,0
cifar100,m0_fedavg,F1,A1_LiRA,0.004880251583654433,0.016899274069366706,0
cifar100,m0_fedavg,F1,A1_LiRA,0.005111433483440166,0.0174418888861731,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0053535666774107244,0.017847627893334637,0
cifar100,m0_fedavg,F1,A1_LiRA,0.005607169938205458,0.018404907975460124,0
cifar100,m0_fedavg,F1,A1_LiRA,0.005872786613189483,0.018937745948720455,0
cifar100,m0_fedavg,F1,A1_LiRA,0.006150985788580504,0.019539021826803216,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00644236350872137,0.020110967174247794,0
cifar100,m0_fedavg,F1,A1_LiRA,0.006747544053110693,0.020858895705521473,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0070671812739274914,0.02151394422310757,0
cifar100,m0_fedavg,F1,A1_LiRA,0.007401959996915644,0.022242319067289126,0
cifar100,m0_fedavg,F1,A1_LiRA,0.007752597488629464,0.02288759074132916,0
cifar100,m0_fedavg,F1,A1_LiRA,0.008119844993184008,0.02373328770806345,0
cifar100,m0_fedavg,F1,A1_LiRA,0.008504489341802677,0.024354117273238336,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00890735463861044,0.025102045804512012,0
cifar100,m0_fedavg,F1,A1_LiRA,0.009329304026284686,0.02600640383252267,0
cifar100,m0_fedavg,F1,A1_LiRA,0.009771241535346501,0.026910761860533327,0
cifar100,m0_fedavg,F1,A1_LiRA,0.010234114021054527,0.027727128296629433,0
cifar100,m0_fedavg,F1,A1_LiRA,0.010718913192051276,0.02873414318187373,0
cifar100,m0_fedavg,F1,A1_LiRA,0.011226677735108135,0.02965805489697651,0
cifar100,m0_fedavg,F1,A1_LiRA,0.01175849554052157,0.030449979224207464,0
cifar100,m0_fedavg,F1,A1_LiRA,0.012315506032928261,0.031549874123139345,0
cifar100,m0_fedavg,F1,A1_LiRA,0.01289890261253308,0.032591107960794855,0
cifar100,m0_fedavg,F1,A1_LiRA,0.013509935211980266,0.03369100285972674,0
cifar100,m0_fedavg,F1,A1_LiRA,0.01414991297434576,0.034639356683694666,0
cifar100,m0_fedavg,F1,A1_LiRA,0.014820207057988586,0.035876127392271404,0
cifar100,m0_fedavg,F1,A1_LiRA,0.01552225357427048,0.03687336543396964,0
cifar100,m0_fedavg,F1,A1_LiRA,0.016257556664437952,0.03803192139417789,0
cifar100,m0_fedavg,F1,A1_LiRA,0.017027691722258997,0.03931757632048493,0
cifar100,m0_fedavg,F1,A1_LiRA,0.017834308769319095,0.04081832180480532,0
cifar100,m0_fedavg,F1,A1_LiRA,0.01867913599020783,0.04235328624153692,0
cifar100,m0_fedavg,F1,A1_LiRA,0.01956398343517065,0.04363894116784396,0
cifar100,m0_fedavg,F1,A1_LiRA,0.020490746898158482,0.045115244543299196,0
cifar100,m0_fedavg,F1,A1_LiRA,0.021461411978584036,0.04671864688485323,0
cifar100,m0_fedavg,F1,A1_LiRA,0.02247805833548725,0.04819983868208149,0
cifar100,m0_fedavg,F1,A1_LiRA,0.02354286414322418,0.0499450052550534,0
cifar100,m0_fedavg,F1,A1_LiRA,0.024658110758226038,0.05154351917483441,0
cifar100,m0_fedavg,F1,A1_LiRA,0.025826187606826773,0.05344022682277027,0
cifar100,m0_fedavg,F1,A1_LiRA,0.027049597304631343,0.055195170239288244,0
cifar100,m0_fedavg,F1,A1_LiRA,0.02833096101839324,0.05711143157431623,0
cifar100,m0_fedavg,F1,A1_LiRA,0.029673024081888696,0.059017916065798155,0
cifar100,m0_fedavg,F1,A1_LiRA,0.03107866187782014,0.06125681323784616,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0325508859983506,0.0633734998655684,0
cifar100,m0_fedavg,F1,A1_LiRA,0.03409285069746811,0.06546574438442548,0
cifar100,m0_fedavg,F1,A1_LiRA,0.03570785964900463,0.06789529000562168,0
cifar100,m0_fedavg,F1,A1_LiRA,0.03739937302478798,0.07028572825263364,0
cifar100,m0_fedavg,F1,A1_LiRA,0.039171014908092605,0.07258817490773103,0
cifar100,m0_fedavg,F1,A1_LiRA,0.04102658105827194,0.075301248991763,0
cifar100,m0_fedavg,F1,A1_LiRA,0.04297004704320839,0.07797521570161073,0
cifar100,m0_fedavg,F1,A1_LiRA,0.04500557675700498,0.0804780876494024,0
cifar100,m0_fedavg,F1,A1_LiRA,0.047137531341167244,0.08347469019627013,0
cifar100,m0_fedavg,F1,A1_LiRA,0.049370478528390035,0.0861388800625718,0
cifar100,m0_fedavg,F1,A1_LiRA,0.05170920242896761,0.08939945738518319,0
cifar100,m0_fedavg,F1,A1_LiRA,0.054158713780794704,0.09284579473516975,0
cifar100,m0_fedavg,F1,A1_LiRA,0.05672426068491978,0.09609659521423508,0
cifar100,m0_fedavg,F1,A1_LiRA,0.05941133984965034,0.09949893676826436,0
cifar100,m0_fedavg,F1,A1_LiRA,0.06222570836730231,0.10313103414562609,0
cifar100,m0_fedavg,F1,A1_LiRA,0.06517339604882427,0.10707599051646176,0
cifar100,m0_fedavg,F1,A1_LiRA,0.06826071834272386,0.11135824798963655,0
cifar100,m0_fedavg,F1,A1_LiRA,0.07149428986597577,0.11527387382983403,0
cifar100,m0_fedavg,F1,A1_LiRA,0.07488103857590023,0.11956590814655488,0
cifar100,m0_fedavg,F1,A1_LiRA,0.07842822061337681,0.12380905824554543,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0821434358491943,0.12858993473956934,0
cifar100,m0_fedavg,F1,A1_LiRA,0.086034644166845,0.13344902598196173,0
cifar100,m0_fedavg,F1,A1_LiRA,0.09011018251665019,0.1389142815242099,0
cifar100,m0_fedavg,F1,A1_LiRA,0.09437878277775381,0.14421821914794808,0
cifar100,m0_fedavg,F1,A1_LiRA,0.09884959046625587,0.15005010632317356,0
cifar100,m0_fedavg,F1,A1_LiRA,0.10353218432956626,0.1560188693080439,0
cifar100,m0_fedavg,F1,A1_LiRA,0.1084365968689611,0.1618067606873121,0
cifar100,m0_fedavg,F1,A1_LiRA,0.11357333583431052,0.16832791533253488,0
cifar100,m0_fedavg,F1,A1_LiRA,0.11895340673703195,0.17420379830371766,0
cifar100,m0_fedavg,F1,A1_LiRA,0.12458833642950082,0.18094493192872682,0
cifar100,m0_fedavg,F1,A1_LiRA,0.1304901978014403,0.18751008236990688,0
cifar100,m0_fedavg,F1,A1_LiRA,0.13667163564620075,0.19470583921980789,0
cifar100,m0_fedavg,F1,A1_LiRA,0.14314589375234785,0.2020335834575807,0
cifar100,m0_fedavg,F1,A1_LiRA,0.14992684327860456,0.20978173196783417,0
cifar100,m0_fedavg,F1,A1_LiRA,0.15702901247293774,0.21816537530858163,0
cifar100,m0_fedavg,F1,A1_LiRA,0.16446761779946645,0.2266027912888324,0
cifar100,m0_fedavg,F1,A1_LiRA,0.17225859653987874,0.23563659472539292,0
cifar100,m0_fedavg,F1,A1_LiRA,0.18041864093920718,0.24391269278713368,0
cifar100,m0_fedavg,F1,A1_LiRA,0.18896523396912096,0.25337667733972086,0
cifar100,m0_fedavg,F1,A1_LiRA,0.19791668678535573,0.2630068682325911,0
cifar100,m0_fedavg,F1,A1_LiRA,0.2072921779595372,0.2731796739422677,0
cifar100,m0_fedavg,F1,A1_LiRA,0.21711179456945054,0.28383154498570135,0
cifar100,m0_fedavg,F1,A1_LiRA,0.22739657523579276,0.296077041527143,0
cifar100,m0_fedavg,F1,A1_LiRA,0.23816855519761582,0.30823454647667,0
cifar100,m0_fedavg,F1,A1_LiRA,0.24945081352303167,0.32010363454158824,0
cifar100,m0_fedavg,F1,A1_LiRA,0.2612675225563329,0.332534891110405,0
cifar100,m0_fedavg,F1,A1_LiRA,0.27364399970746717,0.34558697724439663,0
cifar100,m0_fedavg,F1,A1_LiRA,0.286606761694825,0.3588639307799477,0
cifar100,m0_fedavg,F1,A1_LiRA,0.3001835813575589,0.3732505560579767,0
cifar100,m0_fedavg,F1,A1_LiRA,0.31440354715915003,0.3882237919487693,0
cifar100,m0_fedavg,F1,A1_LiRA,0.3292971255097151,0.40412093955466477,0
cifar100,m0_fedavg,F1,A1_LiRA,0.34489622604057596,0.42021362403148144,0
cifar100,m0_fedavg,F1,A1_LiRA,0.36123426997094304,0.43669738225014054,0
cifar100,m0_fedavg,F1,A1_LiRA,0.3783462617131929,0.45408061007503725,0
cifar100,m0_fedavg,F1,A1_LiRA,0.3962688638701478,0.47212377483929313,0
cifar100,m0_fedavg,F1,A1_LiRA,0.41504047578504766,0.49160413560481997,0
cifar100,m0_fedavg,F1,A1_LiRA,0.43470131581250265,0.5113484711460905,0
cifar100,m0_fedavg,F1,A1_LiRA,0.4552935074866948,0.5313225625106934,0
cifar100,m0_fedavg,F1,A1_LiRA,0.47686116977144694,0.5526605235499719,0
cifar100,m0_fedavg,F1,A1_LiRA,0.499450511585514,0.5754796763864787,0
cifar100,m0_fedavg,F1,A1_LiRA,0.5231099308056264,0.5982694986923471,0
cifar100,m0_fedavg,F1,A1_LiRA,0.5478901179593945,0.6226040622784934,0
cifar100,m0_fedavg,F1,A1_LiRA,0.5738441648302393,0.6469777332388238,0
cifar100,m0_fedavg,F1,A1_LiRA,0.6010276782070382,0.6734680908268765,0
cifar100,m0_fedavg,F1,A1_LiRA,0.6294988990221888,0.7009116906606702,0
cifar100,m0_fedavg,F1,A1_LiRA,0.6593188271333549,0.7295334001417643,0
cifar100,m0_fedavg,F1,A1_LiRA,0.6905513520162331,0.7590985750250532,0
cifar100,m0_fedavg,F1,A1_LiRA,0.7232633896483533,0.7891770341945104,0
cifar100,m0_fedavg,F1,A1_LiRA,0.7575250258771913,0.819837215554958,0
cifar100,m0_fedavg,F1,A1_LiRA,0.7934096665797492,0.850849363283064,0
cifar100,m0_fedavg,F1,A1_LiRA,0.8309941949353395,0.882809864835138,0
cifar100,m0_fedavg,F1,A1_LiRA,0.8703591361485166,0.9163444381981277,0
cifar100,m0_fedavg,F1,A1_LiRA,0.9115888299750827,0.9488182240363698,0
cifar100,m0_fedavg,F1,A1_LiRA,0.9547716114208056,0.9798988096692983,0
cifar100,m0_fedavg,F1,A1_LiRA,1.0,1.0,0
cifar100,m1_glfc,F1,A1_LiRA,0.0,0.0,0
cifar100,m1_glfc,F1,A1_LiRA,0.0001,0.00029853960299126896,0
cifar100,m1_glfc,F1,A1_LiRA,0.00010473708979594497,0.00031322187854821657,0
cifar100,m1_glfc,F1,A1_LiRA,0.00010969857978923841,0.00032301006225284837,0
cifar100,m1_glfc,F1,A1_LiRA,0.00011489510001873086,0.00036216279707137545,0
