method,detector,flag_budget,precision,precision_ci_lo,precision_ci_hi,n_flagged,recall,recall_ci_lo,recall_ci_hi,n_true
m0_fedavg,cusum,2,0.7164179104477612,0.5930912503568232,0.8198535819100712,67,0.9814814814814815,0.9010848404921488,0.999531261596182,54
m0_fedavg,norm_spike,2,0.675,0.5087051245215516,0.8142710332366502,40,0.8148148148148148,0.685703483019792,0.907454513293949,54
m0_fedavg,random,2,0.625,0.45801475223261096,0.772737277518174,40,0.8148148148148148,0.685703483019792,0.907454513293949,54
m4_proto,cusum,8,0.5914634146341463,0.5120940627104,0.6674651981881523,164,1.0,0.9339684857555782,1.0,54
m4_proto,norm_spike,8,0.58125,0.5007700633366727,0.6586630116050207,160,1.0,0.9339684857555782,1.0,54
m4_proto,random,8,0.55,0.4694788371635354,0.6286345856664551,160,1.0,0.9339684857555782,1.0,54
m8_analytic,cusum,8,0.6011560693641619,0.5240803153765231,0.6747033602963287,173,1.0,0.9339684857555782,1.0,54
m8_analytic,norm_spike,8,0.575,0.49448735022593443,0.6526819164730402,160,1.0,0.9339684857555782,1.0,54
m8_analytic,random,8,0.5875,0.5070651418283998,0.6646316678819486,160,1.0,0.9339684857555782,1.0,54
