ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,0.5596621790101232,0.02735560824187911,0.02665300847358697,0.02807164368143287,0.007259306332950407,0.006895984810998256,0.007636693425145631,204565,204935
trajectory,1,0.5699204300499683,0.029861854292403886,0.0290890155491479,0.030649545299958673,0.007165323960647759,0.006785084085199633,0.007561205824389039,184081,184469
trajectory,2,0.5727995022414464,0.02978229672376416,0.02896426412084816,0.030617032659062935,0.007731061646972612,0.007312527679814529,0.008167162346731191,163755,163845
trajectory,3,0.5709611133668813,0.029816369689482612,0.028941732755939753,0.03071010226375837,0.007768169350279529,0.007320066857937355,0.008236360312080972,143277,143373
trajectory,4,0.569168206064363,0.028944432228167477,0.028013770591722043,0.029897428507890334,0.007810273074511145,0.007325470747308998,0.008318532190632557,122787,122913
trajectory,5,0.5693458129255969,0.027504719426430745,0.02651073392655897,0.028525629758897907,0.006582744016354157,0.006096198839129428,0.007097589630753123,102237,102513
trajectory,6,0.5651246839417748,0.026163395732073116,0.025079458972792262,0.027281161283955854,0.005546101201043108,0.005048300029375769,0.006079498975101108,81679,82121
trajectory,7,0.5624576408490809,0.024093049016892826,0.022894444055132943,0.025336927976482404,0.0050010588561096,0.004458397917517199,0.005591292208338432,61387,61463
trajectory,8,0.557157605252737,0.02255712677986006,0.021139386059886987,0.0240432399399683,0.005455790967363116,0.00476476476471436,0.006218428781616821,40874,41026
trajectory,9,0.5549304681477303,0.016586514868976346,0.014877676944477673,0.01843519180447454,0.0018156835803317304,0.001278721061050683,0.0025018208008387227,20378,20572
last_round,0,0.5596621790101232,0.02735560824187911,0.02665300847358697,0.02807164368143287,0.007259306332950407,0.006895984810998256,0.007636693425145631,204565,204935
last_round,1,0.5385238208986185,0.021381891667255175,0.020725915607986395,0.022053000157943856,0.004041699034664088,0.0037569848322710946,0.004342201976911862,184081,184469
last_round,2,0.5335271250636378,0.01964520167323135,0.01897850555823689,0.02032897992461908,0.004231931849409178,0.003923270874720332,0.004558342320483674,163755,163845
last_round,3,0.5301014965659674,0.018886492598253733,0.018187903997723413,0.01960464610957355,0.0029104461986222494,0.0026381209717474957,0.003203185484334374,143277,143373
last_round,4,0.5303980200365946,0.019195843208157214,0.01843566256070442,0.0199788495409564,0.003249529673336754,0.0029389107560983917,0.0035839615545614463,122787,122913
last_round,5,0.5324520910206881,0.020071011473341355,0.01922009750922864,0.020949302937754072,0.003550573667067696,0.0031952251931996974,0.003934527016129654,102237,102513
last_round,6,0.5309835282263731,0.020250003060762252,0.019294980483276058,0.021239310001814733,0.004383011545195215,0.003941540529682129,0.0048602314494492985,81679,82121
last_round,7,0.527966400851433,0.01757701141935589,0.016552202476098284,0.01864778133904676,0.0033394692687376804,0.0028985659214440704,0.0038283028270570613,61387,61463
last_round,8,0.5226736431980769,0.014116553310172726,0.012995264781461851,0.015307621521640979,0.0016636492635905466,0.0012921132052639579,0.00210860202608039,40874,41026
last_round,9,0.5198697323292475,0.013642163117087054,0.012094634960976482,0.01533063655817992,0.0024045539307095886,0.0017794154923918648,0.0031777165455520165,20378,20572
