n_clients,client,class,task,round,increment,best_match_cosine,baseline_best_match_cosine,attribution_premium,l2_err_with_counts,l2_err_without_counts
2,0,0,5,5,283,0.8890116231696359,0.8788351803461143,0.010176442823521592,0.0003961916994417666,19243.01308451608
2,0,1,9,9,3,0.880858071916111,0.759811348178121,0.12104672373798997,6.256326455451196e-06,156.558591606553
2,0,2,6,6,14,0.8397456427076904,0.7764215951697006,0.06332404753798981,2.4549684128488887e-05,754.5915475632329
2,0,3,4,4,229,0.8286097807767147,0.8189020878970363,0.00970769287967832,0.0003195450432983345,14142.057595882865
2,0,4,8,8,374,0.8497617702444712,0.8294084501630469,0.02035332008142432,0.00040738772723446855,22978.36965783222
2,0,5,9,9,387,0.8435213291210989,0.8065224168098807,0.03699891231121821,0.0005484258688615972,22197.40326591087
2,0,6,7,7,52,0.8521484316349464,0.8487926637441902,0.0033557678907562005,0.00010401271827812832,3568.8151767458016
2,0,7,6,6,157,0.8237142079106378,0.8218383969901893,0.0018758109204484175,0.0003179740140328508,10148.746106549414
2,0,8,4,4,63,0.8474099655904949,0.8281997966545275,0.019210168935967387,6.835351668389467e-05,3247.2534690006146
2,0,9,7,7,138,0.8581879586675051,0.8253025518498165,0.03288540681768859,0.0002464257721247938,8324.92722675292
2,0,10,1,1,217,0.8197780667368356,0.7739432260734324,0.045834840663403265,0.00024596854779951793,11200.022549438285
2,0,11,0,0,299,0.7878958840758096,0.7908800109594069,-0.0029841268835972823,0.0003515789713476644,15391.16600676312
2,0,12,0,0,30,0.792181615192676,0.8158037032191414,-0.02362208802646537,4.398494444597814e-05,1559.5775739505345
2,0,13,2,2,188,0.8370443969366937,0.8192429904138246,0.0178014065228691,0.0002535127926855975,10294.268792858717
2,0,14,3,3,370,0.8372157812678962,0.8062904104889875,0.030925370778908667,0.0005659471232178481,22264.249437813753
2,0,15,4,4,306,0.8816817175917242,0.8429627977682284,0.038718919823495845,0.0005554939603424762,19301.690364370905
2,0,16,6,6,211,0.7944454975979646,0.787232882515855,0.007212615082109575,0.00030433327113154354,11489.749075928194
2,0,17,7,7,347,0.8528082959162365,0.8069751689397442,0.04583312697649233,0.0005051980911042497,19304.63300552492
