dataset,method,knob_name,knob_value,n_seeds,retention_bwt_mean,retention_bwt_ci_lo,retention_bwt_ci_hi,tpr1_mean,tpr1_ci_lo,tpr1_ci_hi,elapsed
cifar100,m5_hybrid_replay,buffer_size_per_class,0,3,-0.6709722222222223,-0.7383582292615268,-0.6035862151829178,0.024051365751805834,0.016079893185162498,0.03202283831844917,5
cifar100,m5_hybrid_replay,buffer_size_per_class,10,3,-0.04724074074074073,-0.0783562889700446,-0.016125192511436865,0.0432327137257266,0.03890704737457949,0.04755838007687371,5
cifar100,m5_hybrid_replay,buffer_size_per_class,20,3,-0.009287037037037043,-0.027244257876216448,0.008670183802142363,0.0486021041586339,0.036373207261617566,0.06083100105565023,5
