dataset,method,seed,task_k,task_T,elapsed,acc
imagenet_r,m0_fedavg,1,3,7,4,0.35976065818997754
imagenet_r,m0_fedavg,1,3,8,5,0.23635003739715782
imagenet_r,m0_fedavg,1,3,9,6,0.20905011219147346
imagenet_r,m0_fedavg,1,4,4,0,0.7818277865821447
imagenet_r,m0_fedavg,1,4,5,1,0.27258320126782887
imagenet_r,m0_fedavg,1,4,6,2,0.22768092974115162
imagenet_r,m0_fedavg,1,4,7,3,0.27363972530375064
imagenet_r,m0_fedavg,1,4,8,4,0.184891706286318
imagenet_r,m0_fedavg,1,4,9,5,0.1473851030110935
imagenet_r,m0_fedavg,1,5,5,0,0.7835330498647082
imagenet_r,m0_fedavg,1,5,6,1,0.30575956706609975
imagenet_r,m0_fedavg,1,5,7,2,0.3281793583301121
imagenet_r,m0_fedavg,1,5,8,3,0.17356010823347506
imagenet_r,m0_fedavg,1,5,9,4,0.12253575570158484
imagenet_r,m0_fedavg,1,6,6,0,0.8110925771476231
imagenet_r,m0_fedavg,1,6,7,1,0.38990825688073394
imagenet_r,m0_fedavg,1,6,8,2,0.2939949958298582
imagenet_r,m0_fedavg,1,6,9,3,0.2481234361968307
imagenet_r,m0_fedavg,1,7,7,0,0.8000951927653498
imagenet_r,m0_fedavg,1,7,8,1,0.410280818657782
imagenet_r,m0_fedavg,1,7,9,2,0.3193717277486911
imagenet_r,m0_fedavg,1,8,8,0,0.7631267272009475
imagenet_r,m0_fedavg,1,8,9,1,0.23963679431504145
imagenet_r,m0_fedavg,1,9,9,0,0.7319884726224783
imagenet_r,m0_fedavg,2,0,0,0,0.7842287694974004
imagenet_r,m0_fedavg,2,0,1,1,0.27339688041594457
imagenet_r,m0_fedavg,2,0,2,2,0.2807625649913345
imagenet_r,m0_fedavg,2,0,3,3,0.21923743500866552
imagenet_r,m0_fedavg,2,0,4,4,0.225736568457539
imagenet_r,m0_fedavg,2,0,5,5,0.19020797227036396
imagenet_r,m0_fedavg,2,0,6,6,0.19844020797227035
imagenet_r,m0_fedavg,2,0,7,7,0.20320623916811092
imagenet_r,m0_fedavg,2,0,8,8,0.21317157712305027
imagenet_r,m0_fedavg,2,0,9,9,0.2339688041594454
imagenet_r,m0_fedavg,2,1,1,0,0.7600867678958785
imagenet_r,m0_fedavg,2,1,2,1,0.24425162689804772
imagenet_r,m0_fedavg,2,1,3,2,0.23557483731019524
imagenet_r,m0_fedavg,2,1,4,3,0.24945770065075923
imagenet_r,m0_fedavg,2,1,5,4,0.1809110629067245
imagenet_r,m0_fedavg,2,1,6,5,0.2160520607375271
imagenet_r,m0_fedavg,2,1,7,6,0.20563991323210412
imagenet_r,m0_fedavg,2,1,8,7,0.1505422993492408
imagenet_r,m0_fedavg,2,1,9,8,0.172234273318872
imagenet_r,m0_fedavg,2,2,2,0,0.8099208003334722
imagenet_r,m0_fedavg,2,2,3,1,0.20300125052105045
imagenet_r,m0_fedavg,2,2,4,2,0.24426844518549395
imagenet_r,m0_fedavg,2,2,5,3,0.14172571904960402
imagenet_r,m0_fedavg,2,2,6,4,0.19674864526886202
imagenet_r,m0_fedavg,2,2,7,5,0.1567319716548562
imagenet_r,m0_fedavg,2,2,8,6,0.18215923301375572
imagenet_r,m0_fedavg,2,2,9,7,0.18674447686536055
imagenet_r,m0_fedavg,2,3,3,0,0.77351164797239
imagenet_r,m0_fedavg,2,3,4,1,0.23684210526315788
imagenet_r,m0_fedavg,2,3,5,2,0.17558239861949956
imagenet_r,m0_fedavg,2,3,6,3,0.1622088006902502
imagenet_r,m0_fedavg,2,3,7,4,0.18636755823986195
imagenet_r,m0_fedavg,2,3,8,5,0.1902502157031924
imagenet_r,m0_fedavg,2,3,9,6,0.21225194132873165
imagenet_r,m0_fedavg,2,4,4,0,0.7699346405228759
imagenet_r,m0_fedavg,2,4,5,1,0.24444444444444444
imagenet_r,m0_fedavg,2,4,6,2,0.20958605664488017
imagenet_r,m0_fedavg,2,4,7,3,0.23790849673202613
imagenet_r,m0_fedavg,2,4,8,4,0.21263616557734205
imagenet_r,m0_fedavg,2,4,9,5,0.22091503267973855
imagenet_r,m0_fedavg,2,5,5,0,0.7585166019836136
imagenet_r,m0_fedavg,2,5,6,1,0.28029322984044847
imagenet_r,m0_fedavg,2,5,7,2,0.24967658473479948
imagenet_r,m0_fedavg,2,5,8,3,0.25528244933160843
imagenet_r,m0_fedavg,2,5,9,4,0.25528244933160843
imagenet_r,m0_fedavg,2,6,6,0,0.8332052267486548
imagenet_r,m0_fedavg,2,6,7,1,0.3501152959262106
imagenet_r,m0_fedavg,2,6,8,2,0.2744043043812452
imagenet_r,m0_fedavg,2,6,9,3,0.24327440430438124
imagenet_r,m0_fedavg,2,7,7,0,0.7717474980754426
imagenet_r,m0_fedavg,2,7,8,1,0.36797536566589684
imagenet_r,m0_fedavg,2,7,9,2,0.35604311008468054
imagenet_r,m0_fedavg,2,8,8,0,0.7472397476340694
imagenet_r,m0_fedavg,2,8,9,1,0.2890378548895899
imagenet_r,m0_fedavg,2,9,9,0,0.7412868632707775
imagenet_r,m0_fedavg,3,0,0,0,0.7905109489051095
imagenet_r,m0_fedavg,3,0,1,1,0.26423357664233577
imagenet_r,m0_fedavg,3,0,2,2,0.24963503649635035
imagenet_r,m0_fedavg,3,0,3,3,0.17226277372262774
imagenet_r,m0_fedavg,3,0,4,4,0.1897810218978102
imagenet_r,m0_fedavg,3,0,5,5,0.11934306569343066
imagenet_r,m0_fedavg,3,0,6,6,0.1470802919708029
imagenet_r,m0_fedavg,3,0,7,7,0.19160583941605838
imagenet_r,m0_fedavg,3,0,8,8,0.13722627737226278
imagenet_r,m0_fedavg,3,0,9,9,0.12116788321167883
imagenet_r,m0_fedavg,3,1,1,0,0.8386331276696726
imagenet_r,m0_fedavg,3,1,2,1,0.3312766967252017
imagenet_r,m0_fedavg,3,1,3,2,0.27432368296155674
imagenet_r,m0_fedavg,3,1,4,3,0.2880873279544376
imagenet_r,m0_fedavg,3,1,5,4,0.26483151400094923
imagenet_r,m0_fedavg,3,1,6,5,0.1969625059326056
imagenet_r,m0_fedavg,3,1,7,6,0.20360702420503085
imagenet_r,m0_fedavg,3,1,8,7,0.22401518747033697
imagenet_r,m0_fedavg,3,1,9,8,0.16896060749881348
imagenet_r,m0_fedavg,3,2,2,0,0.7876910367616687
imagenet_r,m0_fedavg,3,2,3,1,0.25650557620817843
imagenet_r,m0_fedavg,3,2,4,2,0.1788517141676993
imagenet_r,m0_fedavg,3,2,5,3,0.16769929781082196
imagenet_r,m0_fedavg,3,2,6,4,0.16150351094589013
imagenet_r,m0_fedavg,3,2,7,5,0.16398182569186287
imagenet_r,m0_fedavg,3,2,8,6,0.1623296158612144
imagenet_r,m0_fedavg,3,2,9,7,0.1681123502684841
imagenet_r,m0_fedavg,3,3,3,0,0.7698098256735341
imagenet_r,m0_fedavg,3,3,4,1,0.2868462757527734
imagenet_r,m0_fedavg,3,3,5,2,0.2095879556259905
imagenet_r,m0_fedavg,3,3,6,3,0.16798732171156894
imagenet_r,m0_fedavg,3,3,7,4,0.16917591125198098
imagenet_r,m0_fedavg,3,3,8,5,0.2004754358161648
imagenet_r,m0_fedavg,3,3,9,6,0.1410459587955626
imagenet_r,m0_fedavg,3,4,4,0,0.8086672117743254
imagenet_r,m0_fedavg,3,4,5,1,0.21995094031071136
imagenet_r,m0_fedavg,3,4,6,2,0.18274734260016354
imagenet_r,m0_fedavg,3,4,7,3,0.21545380212591986
imagenet_r,m0_fedavg,3,4,8,4,0.21954210956663942
imagenet_r,m0_fedavg,3,4,9,5,0.2035977105478332
imagenet_r,m0_fedavg,3,5,5,0,0.7776432606941082
imagenet_r,m0_fedavg,3,5,6,1,0.2937853107344633
imagenet_r,m0_fedavg,3,5,7,2,0.2687651331719128
imagenet_r,m0_fedavg,3,5,8,3,0.25262308313155774
imagenet_r,m0_fedavg,3,5,9,4,0.2397094430992736
imagenet_r,m0_fedavg,3,6,6,0,0.7468694096601073
imagenet_r,m0_fedavg,3,6,7,1,0.2016994633273703
imagenet_r,m0_fedavg,3,6,8,2,0.1873881932021467
imagenet_r,m0_fedavg,3,6,9,3,0.1261180679785331
imagenet_r,m0_fedavg,3,7,7,0,0.7680432265534543
imagenet_r,m0_fedavg,3,7,8,1,0.2504824392126592
imagenet_r,m0_fedavg,3,7,9,2,0.2076418371285218
imagenet_r,m0_fedavg,3,8,8,0,0.7605284888521883
imagenet_r,m0_fedavg,3,8,9,1,0.30057803468208094
imagenet_r,m0_fedavg,3,9,9,0,0.7977470558115719
imagenet_r,m0_fedavg,4,0,0,0,0.7401852668725187
imagenet_r,m0_fedavg,4,0,1,1,0.24614027348919276
imagenet_r,m0_fedavg,4,0,2,2,0.1164534627260697
imagenet_r,m0_fedavg,4,0,3,3,0.11160123511248346
imagenet_r,m0_fedavg,4,0,4,4,0.13674459638288486
imagenet_r,m0_fedavg,4,0,5,5,0.13277459197176886
imagenet_r,m0_fedavg,4,0,6,6,0.1627701808557565
imagenet_r,m0_fedavg,4,0,7,7,0.12659902955447727
imagenet_r,m0_fedavg,4,0,8,8,0.14909572121746803
imagenet_r,m0_fedavg,4,0,9,9,0.17512130569033965
imagenet_r,m0_fedavg,4,1,1,0,0.7748062015503876
imagenet_r,m0_fedavg,4,1,2,1,0.3426356589147287
imagenet_r,m0_fedavg,4,1,3,2,0.3062015503875969
imagenet_r,m0_fedavg,4,1,4,3,0.2569767441860465
imagenet_r,m0_fedavg,4,1,5,4,0.2527131782945736
imagenet_r,m0_fedavg,4,1,6,5,0.2065891472868217
imagenet_r,m0_fedavg,4,1,7,6,0.22054263565891472
imagenet_r,m0_fedavg,4,1,8,7,0.22093023255813954
imagenet_r,m0_fedavg,4,1,9,8,0.1934108527131783
imagenet_r,m0_fedavg,4,2,2,0,0.7652399481193255
imagenet_r,m0_fedavg,4,2,3,1,0.19671422395157803
imagenet_r,m0_fedavg,4,2,4,2,0.17812364894076957
imagenet_r,m0_fedavg,4,2,5,3,0.16558581928231733
imagenet_r,m0_fedavg,4,2,6,4,0.20665801988759186
imagenet_r,m0_fedavg,4,2,7,5,0.14483354950281022
imagenet_r,m0_fedavg,4,2,8,6,0.1504539559014267
imagenet_r,m0_fedavg,4,2,9,7,0.1828793774319066
imagenet_r,m0_fedavg,4,3,3,0,0.772655634357762
imagenet_r,m0_fedavg,4,3,4,1,0.264381402679275
imagenet_r,m0_fedavg,4,3,5,2,0.29393223010244285
imagenet_r,m0_fedavg,4,3,6,3,0.25059101654846333
imagenet_r,m0_fedavg,4,3,7,4,0.1946414499605989
imagenet_r,m0_fedavg,4,3,8,5,0.2037037037037037
imagenet_r,m0_fedavg,4,3,9,6,0.27580772261623326
imagenet_r,m0_fedavg,4,4,4,0,0.7313064913722268
imagenet_r,m0_fedavg,4,4,5,1,0.37017255546425637
imagenet_r,m0_fedavg,4,4,6,2,0.30279375513557927
imagenet_r,m0_fedavg,4,4,7,3,0.21364009860312244
imagenet_r,m0_fedavg,4,4,8,4,0.22103533278553822
imagenet_r,m0_fedavg,4,4,9,5,0.24239934264585045
imagenet_r,m0_fedavg,4,5,5,0,0.7791218637992832
imagenet_r,m0_fedavg,4,5,6,1,0.32302867383512546
imagenet_r,m0_fedavg,4,5,7,2,0.2728494623655914
imagenet_r,m0_fedavg,4,5,8,3,0.27912186379928317
imagenet_r,m0_fedavg,4,5,9,4,0.24014336917562723
imagenet_r,m0_fedavg,4,6,6,0,0.7515683814303639
imagenet_r,m0_fedavg,4,6,7,1,0.3216227519866165
imagenet_r,m0_fedavg,4,6,8,2,0.3057298201589293
imagenet_r,m0_fedavg,4,6,9,3,0.27185278126306983
imagenet_r,m0_fedavg,4,7,7,0,0.7975376196990424
imagenet_r,m0_fedavg,4,7,8,1,0.40355677154582764
imagenet_r,m0_fedavg,4,7,9,2,0.37300501595987234
imagenet_r,m0_fedavg,4,8,8,0,0.8006630750103605
imagenet_r,m0_fedavg,4,8,9,1,0.3282221301284708
imagenet_r,m0_fedavg,4,9,9,0,0.7407117716073524
imagenet_r,m1_glfc,0,0,0,0,0.7876949740034662
imagenet_r,m1_glfc,0,0,1,1,0.770363951473137
imagenet_r,m1_glfc,0,0,2,2,0.7543327556325823
imagenet_r,m1_glfc,0,0,3,3,0.7396013864818024
imagenet_r,m1_glfc,0,0,4,4,0.7183708838821491
imagenet_r,m1_glfc,0,0,5,5,0.6984402079722704
imagenet_r,m1_glfc,0,0,6,6,0.682842287694974
imagenet_r,m1_glfc,0,0,7,7,0.6685441941074524
imagenet_r,m1_glfc,0,0,8,8,0.6577123050259965
imagenet_r,m1_glfc,0,0,9,9,0.658578856152513
imagenet_r,m1_glfc,0,1,1,0,0.1444303261329945
imagenet_r,m1_glfc,0,1,2,1,0.552308343922067
imagenet_r,m1_glfc,0,1,3,2,0.6501482422702245
imagenet_r,m1_glfc,0,1,4,3,0.6899618805590851
imagenet_r,m1_glfc,0,1,5,4,0.7030919102075391
imagenet_r,m1_glfc,0,1,6,5,0.7081745023295214
imagenet_r,m1_glfc,0,1,7,6,0.7153748411689962
imagenet_r,m1_glfc,0,1,8,7,0.7238458280389666
imagenet_r,m1_glfc,0,1,9,8,0.7217280813214739
imagenet_r,m1_glfc,0,2,2,0,0.2162516382699869
imagenet_r,m1_glfc,0,2,3,1,0.4630843162953255
imagenet_r,m1_glfc,0,2,4,2,0.5967671472258628
imagenet_r,m1_glfc,0,2,5,3,0.6400174748798602
imagenet_r,m1_glfc,0,2,6,4,0.6588029707295763
imagenet_r,m1_glfc,0,2,7,5,0.6920052424639581
imagenet_r,m1_glfc,0,2,8,6,0.6867627785058977
imagenet_r,m1_glfc,0,2,9,7,0.6955002184359983
imagenet_r,m1_glfc,0,3,3,0,0.06244725738396625
imagenet_r,m1_glfc,0,3,4,1,0.4181434599156118
imagenet_r,m1_glfc,0,3,5,2,0.5350210970464135
imagenet_r,m1_glfc,0,3,6,3,0.5949367088607594
imagenet_r,m1_glfc,0,3,7,4,0.6253164556962025
imagenet_r,m1_glfc,0,3,8,5,0.6253164556962025
imagenet_r,m1_glfc,0,3,9,6,0.6518987341772152
imagenet_r,m1_glfc,0,4,4,0,0.10856206472757067
imagenet_r,m1_glfc,0,4,5,1,0.35804997951659157
imagenet_r,m1_glfc,0,4,6,2,0.4313805817287997
imagenet_r,m1_glfc,0,4,7,3,0.48258910282671036
imagenet_r,m1_glfc,0,4,8,4,0.5116755428103237
imagenet_r,m1_glfc,0,4,9,5,0.5628840639082343
imagenet_r,m1_glfc,0,5,5,0,0.18521431380259537
imagenet_r,m1_glfc,0,5,6,1,0.4223358238301219
imagenet_r,m1_glfc,0,5,7,2,0.5080613448682658
imagenet_r,m1_glfc,0,5,8,3,0.561148250098309
imagenet_r,m1_glfc,0,5,9,4,0.6106960283130162
imagenet_r,m1_glfc,0,6,6,0,0.08112724167378309
imagenet_r,m1_glfc,0,6,7,1,0.25491033304867633
imagenet_r,m1_glfc,0,6,8,2,0.338599487617421
imagenet_r,m1_glfc,0,6,9,3,0.4299743808710504
imagenet_r,m1_glfc,0,7,7,0,0.014891696750902527
imagenet_r,m1_glfc,0,7,8,1,0.21074007220216606
imagenet_r,m1_glfc,0,7,9,2,0.32806859205776173
imagenet_r,m1_glfc,0,8,8,0,0.030837004405286344
imagenet_r,m1_glfc,0,8,9,1,0.2132892804698972
imagenet_r,m1_glfc,0,9,9,0,0.027538726333907058
imagenet_r,m1_glfc,1,0,0,0,0.7608131487889274
imagenet_r,m1_glfc,1,0,1,1,0.7422145328719724
imagenet_r,m1_glfc,1,0,2,2,0.722318339100346
imagenet_r,m1_glfc,1,0,3,3,0.7365916955017301
imagenet_r,m1_glfc,1,0,4,4,0.7318339100346021
imagenet_r,m1_glfc,1,0,5,5,0.7262110726643599
imagenet_r,m1_glfc,1,0,6,6,0.7236159169550173
imagenet_r,m1_glfc,1,0,7,7,0.721885813148789
imagenet_r,m1_glfc,1,0,8,8,0.7054498269896193
imagenet_r,m1_glfc,1,0,9,9,0.6985294117647058
imagenet_r,m1_glfc,1,1,1,0,0.3229491173416407
imagenet_r,m1_glfc,1,1,2,1,0.4811353409484251
imagenet_r,m1_glfc,1,1,3,2,0.570785739010038
imagenet_r,m1_glfc,1,1,4,3,0.6206299757701627
imagenet_r,m1_glfc,1,1,5,4,0.6157840083073728
imagenet_r,m1_glfc,1,1,6,5,0.6195915541709934
imagenet_r,m1_glfc,1,1,7,6,0.6247836621668398
imagenet_r,m1_glfc,1,1,8,7,0.6116303219106958
imagenet_r,m1_glfc,1,1,9,8,0.6095534787123572
imagenet_r,m1_glfc,1,2,2,0,0.06850618458610847
imagenet_r,m1_glfc,1,2,3,1,0.4548049476688868
imagenet_r,m1_glfc,1,2,4,2,0.5980019029495718
imagenet_r,m1_glfc,1,2,5,3,0.6493815413891532
imagenet_r,m1_glfc,1,2,6,4,0.6798287345385348
imagenet_r,m1_glfc,1,2,7,5,0.6936251189343482
imagenet_r,m1_glfc,1,2,8,6,0.6874405328258801
imagenet_r,m1_glfc,1,2,9,7,0.681255946717412
imagenet_r,m1_glfc,1,3,3,0,0.1581899775617053
imagenet_r,m1_glfc,1,3,4,1,0.37995512341062077
imagenet_r,m1_glfc,1,3,5,2,0.468586387434555
imagenet_r,m1_glfc,1,3,6,3,0.5456245325355273
imagenet_r,m1_glfc,1,3,7,4,0.5732984293193717
imagenet_r,m1_glfc,1,3,8,5,0.5863874345549738
imagenet_r,m1_glfc,1,3,9,6,0.605833956619297
imagenet_r,m1_glfc,1,4,4,0,0.10248283148441627
imagenet_r,m1_glfc,1,4,5,1,0.3090332805071315
imagenet_r,m1_glfc,1,4,6,2,0.4009508716323296
imagenet_r,m1_glfc,1,4,7,3,0.4426835710512414
imagenet_r,m1_glfc,1,4,8,4,0.48124669836238776
imagenet_r,m1_glfc,1,4,9,5,0.5235076597992604
imagenet_r,m1_glfc,1,5,5,0,0.06146115191341322
imagenet_r,m1_glfc,1,5,6,1,0.2597603401623502
imagenet_r,m1_glfc,1,5,7,2,0.33668341708542715
imagenet_r,m1_glfc,1,5,8,3,0.39350599149594123
imagenet_r,m1_glfc,1,5,9,4,0.4371859296482412
imagenet_r,m1_glfc,1,6,6,0,0.05713094245204337
imagenet_r,m1_glfc,1,6,7,1,0.2176814011676397
imagenet_r,m1_glfc,1,6,8,2,0.3177648040033361
imagenet_r,m1_glfc,1,6,9,3,0.3786488740617181
imagenet_r,m1_glfc,1,7,7,0,0.10423607805806759
imagenet_r,m1_glfc,1,7,8,1,0.21751546882436934
imagenet_r,m1_glfc,1,7,9,2,0.27129938124702524
imagenet_r,m1_glfc,1,8,8,0,0.06711409395973154
imagenet_r,m1_glfc,1,8,9,1,0.26766679826292933
imagenet_r,m1_glfc,1,9,9,0,0.040345821325648415
imagenet_r,m1_glfc,2,0,0,0,0.7842287694974004
imagenet_r,m1_glfc,2,0,1,1,0.7253032928942807
imagenet_r,m1_glfc,2,0,2,2,0.7244367417677643
imagenet_r,m1_glfc,2,0,3,3,0.7244367417677643
imagenet_r,m1_glfc,2,0,4,4,0.7175043327556326
imagenet_r,m1_glfc,2,0,5,5,0.7027729636048526
imagenet_r,m1_glfc,2,0,6,6,0.7027729636048526
imagenet_r,m1_glfc,2,0,7,7,0.6915077989601387
imagenet_r,m1_glfc,2,0,8,8,0.6902079722703639
imagenet_r,m1_glfc,2,0,9,9,0.6776429809358753
imagenet_r,m1_glfc,2,1,1,0,0.15184381778741865
imagenet_r,m1_glfc,2,1,2,1,0.4177874186550976
imagenet_r,m1_glfc,2,1,3,2,0.5574837310195228
imagenet_r,m1_glfc,2,1,4,3,0.6052060737527115
imagenet_r,m1_glfc,2,1,5,4,0.6754880694143167
imagenet_r,m1_glfc,2,1,6,5,0.6971800433839479
imagenet_r,m1_glfc,2,1,7,6,0.706290672451193
imagenet_r,m1_glfc,2,1,8,7,0.7088937093275488
imagenet_r,m1_glfc,2,1,9,8,0.7088937093275488
imagenet_r,m1_glfc,2,2,2,0,0.07253022092538558
imagenet_r,m1_glfc,2,2,3,1,0.37223843268028345
imagenet_r,m1_glfc,2,2,4,2,0.4456023343059608
imagenet_r,m1_glfc,2,2,5,3,0.5464776990412672
imagenet_r,m1_glfc,2,2,6,4,0.6006669445602334
imagenet_r,m1_glfc,2,2,7,5,0.6406836181742392
imagenet_r,m1_glfc,2,2,8,6,0.6690287619841601
imagenet_r,m1_glfc,2,2,9,7,0.6919549812421842
imagenet_r,m1_glfc,2,3,3,0,0.06557377049180328
imagenet_r,m1_glfc,2,3,4,1,0.26962899050905953
imagenet_r,m1_glfc,2,3,5,2,0.40336496980155306
imagenet_r,m1_glfc,2,3,6,3,0.4943917169974116
imagenet_r,m1_glfc,2,3,7,4,0.5358067299396031
imagenet_r,m1_glfc,2,3,8,5,0.5767903364969802
imagenet_r,m1_glfc,2,3,9,6,0.59404659188956
imagenet_r,m1_glfc,2,4,4,0,0.00130718954248366
imagenet_r,m1_glfc,2,4,5,1,0.13115468409586056
imagenet_r,m1_glfc,2,4,6,2,0.23006535947712417
imagenet_r,m1_glfc,2,4,7,3,0.29150326797385623
imagenet_r,m1_glfc,2,4,8,4,0.338562091503268
imagenet_r,m1_glfc,2,4,9,5,0.3843137254901961
imagenet_r,m1_glfc,2,5,5,0,0.06338939197930142
imagenet_r,m1_glfc,2,5,6,1,0.29322984044846917
imagenet_r,m1_glfc,2,5,7,2,0.41871496334626995
imagenet_r,m1_glfc,2,5,8,3,0.48814144027598105
imagenet_r,m1_glfc,2,5,9,4,0.5485122897800776
imagenet_r,m1_glfc,2,6,6,0,0.090315142198309
imagenet_r,m1_glfc,2,6,7,1,0.28401229823212915
imagenet_r,m1_glfc,2,6,8,2,0.36587240584166025
imagenet_r,m1_glfc,2,6,9,3,0.4546502690238278
imagenet_r,m1_glfc,2,7,7,0,0.13394919168591224
imagenet_r,m1_glfc,2,7,8,1,0.2844495765973826
imagenet_r,m1_glfc,2,7,9,2,0.399153194765204
imagenet_r,m1_glfc,2,8,8,0,0.013801261829652996
imagenet_r,m1_glfc,2,8,9,1,0.25236593059936907
imagenet_r,m1_glfc,2,9,9,0,0.054959785522788206
imagenet_r,m1_glfc,3,0,0,0,0.7905109489051095
imagenet_r,m1_glfc,3,0,1,1,0.7981751824817518
