method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed,eps0,eps0_analytic
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,153,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,184,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,222,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,268,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,324,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,391,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,472,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,569,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,687,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,829,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U3,3,2.0,1e-05,1000,3.0,nan,4.530670910207755,contractive,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,1,1.0,30.0,2.5292139405522476,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,2,2.0,60.0,3.6430702143557943,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,3,3.0,90.0,4.530670910207755,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,4,4.0,120.0,5.298525913621841,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,5,5.0,150.0,5.989928952612497,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,6,6.0,180.0,6.627064838413654,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,7,7.0,210.0,7.2228557001495926,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,8,8.0,240.0,7.786148140875069,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,9,9.0,270.0,8.32290815088033,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,10,10.0,300.0,8.837137179629,accumulating,1,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,11,11.0,nan,9.332482635101428,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,13,13.0,nan,10.275778510681564,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,16,16.0,nan,11.597073111012214,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,19,19.0,nan,12.833657185228812,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,23,23.000000000000004,nan,14.38147740685298,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,28,28.000000000000004,nan,16.19572800655683,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,34,34.00000000000001,nan,18.240223715748627,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,41,41.00000000000001,nan,20.487792395451542,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,49,49.00000000000001,nan,22.91998804247573,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,60,60.000000000000014,nan,26.08512999244108,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,72,72.00000000000001,nan,29.35897512033764,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,87,87.00000000000001,nan,33.25803711357819,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,105,105.00000000000001,nan,37.71682632389029,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,127,127.00000000000003,nan,42.91844411113106,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,153,153.00000000000003,nan,48.80235366498836,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,184,184.00000000000003,nan,55.558386427103585,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,222,222.00000000000006,nan,63.49833045608512,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,268,268.00000000000006,nan,72.78447969015048,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,324,324.00000000000006,nan,83.71305013226166,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,391,391.00000000000006,nan,96.36229821481945,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,472,472.0000000000001,nan,111.1765381066988,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,569,569.0000000000001,nan,128.39103600561833,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,687,687.0000000000001,nan,148.76771427668623,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,829,829.0000000000002,nan,172.7214023396624,accumulating,0,,
M0,cifar100,10,644a6e018def9325,U4,3,2.0,1e-05,1000,1000.0000000000002,nan,201.0695932944363,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,2,3.0,61.0,4.530670910207755,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,3,4.0,91.0,5.298525913621841,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,4,5.0,121.0,5.989928952612497,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,5,6.0,151.0,6.627064838413654,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,6,7.0,181.0,7.2228557001495926,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,7,8.0,211.0,7.786148140875069,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,8,9.0,241.0,8.32290815088033,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,9,10.0,271.0,8.837137179629,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,10,11.0,301.0,9.332482635101428,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,11,12.0,nan,9.811302669989779,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,13,14.0,nan,10.727493607361541,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,16,17.0,nan,12.017585876506033,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,19,20.0,nan,13.230019140012296,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,23,23.999999999999996,nan,14.7540034708529,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,28,28.999999999999996,nan,16.545642154879417,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,34,34.99999999999999,nan,18.569765173035062,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,41,41.99999999999999,nan,20.80039289796411,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,49,49.99999999999999,nan,23.215647590214424,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,60,60.999999999999986,nan,26.363848585405904,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,72,72.99999999999999,nan,29.62639974345322,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,87,87.99999999999999,nan,33.51111248383596,accumulating,0,,
