dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
imagenet_r,m8_analytic,F5,global,acc,0,0.7716640975425602,0.7523387567639878,0.7888541003634844,1.0,1.0,1.0,5
imagenet_r,m8_analytic,F5,global,acc,1,0.7461906135916437,0.7267324447684038,0.7654360865265047,0.9792475610843149,0.9686230905668922,0.990526605549491,5
imagenet_r,m8_analytic,F5,global,acc,2,0.7195434782975463,0.6998519478052867,0.7410981875487034,0.9490976250087297,0.9360285732351757,0.9639749543731747,5
imagenet_r,m8_analytic,F5,global,acc,3,0.6948748184271797,0.6755356735714275,0.7154798840283847,0.9192062127248576,0.9062658440387047,0.9362712603624544,5
imagenet_r,m8_analytic,F5,global,acc,4,0.6784573343760498,0.6610800961671759,0.6970008902970003,0.8992832819813718,0.8865502030916981,0.9163973357532502,5
imagenet_r,m8_analytic,F5,global,acc,5,0.660936103925859,0.6417730842627638,0.6801309868388895,0.8772746638664332,0.8605046025754526,0.89519238000439,5
imagenet_r,m8_analytic,F5,global,acc,6,0.6454158183345716,0.6254678465821685,0.6655730859749454,0.8575770908726852,0.8413284922790939,0.8754272501158283,5
