dataset,backbone,n_per_class,ref_quality,class,trial,anisotropy_ratio,mean_cos,median_cos,frac_above_0.8,n_records,ref_pool_size
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,40,14,34.03062132603117,0.9999999731598661,0.9999999731598661,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,153,15,34.03062132603117,1.0000000185675737,1.0000000185675737,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,141,16,34.03062132603117,1.0000000138525618,1.0000000138525618,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,49,17,34.03062132603117,1.0000000399103737,1.0000000399103737,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,13,18,34.03062132603117,1.0000000011273698,1.0000000011273698,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,159,19,34.03062132603117,0.9999999901812816,0.9999999901812816,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,146,20,34.03062132603117,0.9999999641852295,0.9999999641852295,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,106,21,34.03062132603117,1.0000000018413349,1.0000000018413349,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,86,22,34.03062132603117,1.0000000307616232,1.0000000307616232,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,64,23,34.03062132603117,0.9999999591414321,0.9999999591414321,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,24,24,34.03062132603117,1.0000000077996984,1.0000000077996984,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,89,0,34.03062132603117,0.9999999743141899,0.9999999743141899,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,18,1,34.03062132603117,1.000000070565707,1.000000070565707,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,171,2,34.03062132603117,0.9999999748211016,0.9999999748211016,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,94,3,34.03062132603117,0.9999999645623269,0.9999999645623269,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,21,4,34.03062132603117,1.0000000184507436,1.0000000184507436,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,138,5,34.03062132603117,0.9999999841271968,0.9999999841271968,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,103,6,34.03062132603117,0.9999999697384817,0.9999999697384817,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,179,7,34.03062132603117,1.0000000003667382,1.0000000003667382,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,18,8,34.03062132603117,1.0000000996126979,1.0000000996126979,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,42,9,34.03062132603117,0.9999999869461763,0.9999999869461763,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,172,10,34.03062132603117,0.9999999841433401,0.9999999841433401,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,108,11,34.03062132603117,0.9999999397970627,0.9999999397970627,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,13,12,34.03062132603117,1.0000000351967289,1.0000000351967289,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,160,13,34.03062132603117,0.9999999711779236,0.9999999711779236,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,41,14,34.03062132603117,0.9999999837477471,0.9999999837477471,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,43,15,34.03062132603117,1.00000003217763,1.00000003217763,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,30,16,34.03062132603117,1.000000043776261,1.000000043776261,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,153,17,34.03062132603117,0.9999999363170554,0.9999999363170554,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,59,18,34.03062132603117,0.9999999815150791,0.9999999815150791,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,161,19,34.03062132603117,0.9999999832975033,0.9999999832975033,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,171,20,34.03062132603117,0.999999976754629,0.999999976754629,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,170,21,34.03062132603117,1.000000019675293,1.000000019675293,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,44,22,34.03062132603117,1.0000000672932374,1.0000000672932374,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,89,23,34.03062132603117,0.9999999130778118,0.9999999130778118,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,147,24,34.03062132603117,0.9999999763734264,0.9999999763734264,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,121,0,34.03062132603117,0.9484040282094077,0.9484040282094077,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,17,1,34.03062132603117,0.5167531696835352,0.5167531696835352,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,2,2,34.03062132603117,0.9993320979528711,0.9993320979528711,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,127,3,34.03062132603117,0.9970814795885319,0.9970814795885319,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,146,4,34.03062132603117,0.6784537617367103,0.6784537617367103,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,142,5,34.03062132603117,0.4086239354645519,0.4086239354645519,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,86,6,34.03062132603117,0.9996199243709267,0.9996199243709267,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,128,7,34.03062132603117,0.999604721320265,0.999604721320265,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,28,8,34.03062132603117,0.5475919780933621,0.5475919780933621,0.0,2,5
