method,dataset,n_tasks_requested,n_tasks_actual,seed,final_avg_acc,bwt,avg_incremental_acc,n_ledger_records,status
M2,cub200,10,10,1,0.7940376834701771,0.543322341508939,0.8085269363986345,200,post_fix_t10_2026-09-23
M2,cub200,10,10,2,0.7968842918903823,0.5332347395538763,0.8137824848634031,200,post_fix_t10_2026-09-23
M2,imagenet_r,10,10,0,0.5635084936494782,0.28669795797286945,0.6025287745054982,200,post_fix_t10_2026-09-23
M2,imagenet_r,10,10,1,0.5732819334594714,0.2994932318063274,0.6240745153803117,200,post_fix_t10_2026-09-23
M2,imagenet_r,10,10,2,0.5684310006150013,0.28066971068681057,0.6197778967602959,200,post_fix_t10_2026-09-23
M2,imagenet_r,20,20,0,0.5387053106516754,0.0948777201411209,0.6506185640454338,400,stale_pre_fix_2026-09-15
M2,imagenet_r,20,20,1,0.5519033882319053,0.14301359941722347,0.6665221589957193,400,stale_pre_fix_2026-09-15
M2,imagenet_r,20,20,2,0.5607743621658535,0.12202011315739449,0.6599924373337297,400,stale_pre_fix_2026-09-15
M3,camelyon17,5,5,0,0.9336396257705655,-0.04187046809489536,0.9397316528560495,5,stale_pre_fix_2026-09-15
M3,camelyon17,5,5,1,0.9336396257705655,-0.04187046809489536,0.9397316528560495,5,stale_pre_fix_2026-09-15
M3,camelyon17,5,5,2,0.9336396257705655,-0.04187046809489536,0.9397316528560495,5,stale_pre_fix_2026-09-15
M3,cifar100,10,10,0,0.8627,-0.050333333333333355,0.9014523412698413,110,post_fix_t10_2026-09-23
M3,cifar100,10,10,1,0.8624,-0.040444444444444456,0.9025982142857142,110,post_fix_t10_2026-09-23
M3,cifar100,10,10,2,0.8633,-0.04333333333333335,0.8977346825396827,110,post_fix_t10_2026-09-23
M3,cifar100,20,20,0,0.860425,-0.04168421052631579,0.9100432859578932,200,stale_pre_fix_2026-09-15
M3,cifar100,20,20,1,0.8614500000000002,-0.03657894736842106,0.9097811971162223,200,stale_pre_fix_2026-09-15
M3,cifar100,20,20,2,0.8651500000000001,-0.041368421052631554,0.9089543620801284,200,stale_pre_fix_2026-09-15
M3,cub200,10,10,0,0.7499802260962254,-0.028675614255081125,0.8324102475801924,110,post_fix_t10_2026-09-23
M3,cub200,10,10,1,0.7142838101319786,-0.03242119611108531,0.8147707951261441,110,post_fix_t10_2026-09-23
M3,cub200,10,10,2,0.7377952984666043,-0.032831868805141884,0.8481970077342131,110,post_fix_t10_2026-09-23
M3,imagenet_r,10,10,0,0.595407936525042,-0.05728649825376356,0.6431144614910193,110,post_fix_t10_2026-09-23
M3,imagenet_r,10,10,1,0.6065861361021093,-0.05349585466744208,0.6712672515393671,110,post_fix_t10_2026-09-23
M3,imagenet_r,10,10,2,0.6070331530823713,-0.055831503593774506,0.6704468460549926,110,post_fix_t10_2026-09-23
M3,imagenet_r,20,20,0,0.6801154441960423,-0.06125044131221355,0.7533898860437496,200,stale_pre_fix_2026-09-15
M3,imagenet_r,20,20,1,0.6818752116463166,-0.04776053269022582,0.7528836535911428,200,stale_pre_fix_2026-09-15
M3,imagenet_r,20,20,2,0.6848746805230136,-0.05769578419889695,0.7655951897861119,200,stale_pre_fix_2026-09-15
M4,camelyon17,5,5,0,0.8952026152754538,-0.01564759896543308,0.8955164820607976,10,stale_pre_fix_2026-09-15
M4,camelyon17,5,5,1,0.8952026152754538,-0.01564759896543308,0.8955164820607976,10,stale_pre_fix_2026-09-15
M4,camelyon17,5,5,2,0.8952026152754538,-0.01564759896543308,0.8955164820607976,10,stale_pre_fix_2026-09-15
M4,cifar100,10,10,0,0.6829000000000001,-0.04933333333333331,0.7141287698412698,200,post_fix_t10_2026-09-23
M4,cifar100,10,10,1,0.6724,-0.049888888888888906,0.7568921825396825,200,post_fix_t10_2026-09-23
M4,cifar100,10,10,2,0.6142000000000001,-0.05255555555555553,0.7155762301587302,200,post_fix_t10_2026-09-23
M4,cifar100,20,20,0,0.70515,-0.053131578947368426,0.7645111560785061,400,stale_pre_fix_2026-09-15
M4,cifar100,20,20,1,0.7019,-0.05531578947368419,0.7757957030710089,400,stale_pre_fix_2026-09-15
M4,cifar100,20,20,2,0.6817250000000001,-0.048421052631578934,0.7235780374934448,400,stale_pre_fix_2026-09-15
M4,cub200,10,10,0,0.5872848864377107,-0.07398642664907665,0.6719509211962968,200,post_fix_t10_2026-09-23
M4,cub200,10,10,1,0.5514628731062291,-0.11077004242251448,0.5976044867599027,200,post_fix_t10_2026-09-23
M4,cub200,10,10,2,0.5468599165548735,-0.06419760511223137,0.5951983645868169,200,post_fix_t10_2026-09-23
M4,imagenet_r,10,10,0,0.31321823509264984,-0.04868469641377552,0.35345988136539785,200,post_fix_t10_2026-09-23
M4,imagenet_r,10,10,1,0.2815149870947994,-0.05751547509189779,0.33149426242693003,200,post_fix_t10_2026-09-23
M4,imagenet_r,10,10,2,0.2885249274087446,-0.05865076198223922,0.30094471239196563,200,post_fix_t10_2026-09-23
M4,imagenet_r,20,20,0,0.31924288817245794,-0.05883398369208215,0.35211575600676753,400,stale_pre_fix_2026-09-15
M4,imagenet_r,20,20,1,0.34821825560075725,-0.0701230533555673,0.38444449324612356,400,stale_pre_fix_2026-09-15
M4,imagenet_r,20,20,2,0.3443901722538649,-0.060853880771328854,0.3836478071093955,400,stale_pre_fix_2026-09-15
M5,camelyon17,5,5,0,0.9338935709936674,-0.044688104762147796,0.9483084666220014,10,stale_pre_fix_2026-09-15
M5,camelyon17,5,5,1,0.9344948858692007,-0.04388488550568834,0.9479229462574642,10,stale_pre_fix_2026-09-15
M5,camelyon17,5,5,2,0.9343782311739256,-0.0439994533209174,0.9479019799684354,10,stale_pre_fix_2026-09-15
M5,cifar100,10,10,0,0.8785000000000001,-0.03833333333333333,0.9125324206349207,200,post_fix_t10_2026-09-23
M5,cifar100,10,10,1,0.8774,-0.03566666666666666,0.9117221825396825,200,post_fix_t10_2026-09-23
M5,cifar100,10,10,2,0.8772,-0.03733333333333336,0.9058996825396827,200,post_fix_t10_2026-09-23
M5,cifar100,20,20,0,0.8589,-0.07752631578947371,0.9072743351137381,400,stale_pre_fix_2026-09-15
M5,cifar100,20,20,1,0.8536999999999999,-0.06923684210526314,0.9057066649159664,400,stale_pre_fix_2026-09-15
M5,cifar100,20,20,2,0.854175,-0.07852631578947371,0.8978228305446059,400,stale_pre_fix_2026-09-15
