dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cub200,m5_hybrid_replay,1,3,4,1,0.8383658969804618,0.9078156312625251
cub200,m5_hybrid_replay,1,3,5,2,0.9023090586145648,0.9438877755511023
cub200,m5_hybrid_replay,1,3,6,3,0.866785079928952,0.9278557114228457
cub200,m5_hybrid_replay,1,3,7,4,0.8969804618117229,0.9438877755511023
cub200,m5_hybrid_replay,1,3,8,5,0.9147424511545293,0.9579158316633266
cub200,m5_hybrid_replay,1,3,9,6,0.8987566607460036,0.9599198396793587
cub200,m5_hybrid_replay,1,4,4,0,0.348993288590604,0.426
cub200,m5_hybrid_replay,1,4,5,1,0.7600671140939598,0.862
cub200,m5_hybrid_replay,1,4,6,2,0.8137583892617449,0.91
cub200,m5_hybrid_replay,1,4,7,3,0.8506711409395973,0.928
cub200,m5_hybrid_replay,1,4,8,4,0.8825503355704698,0.96
cub200,m5_hybrid_replay,1,4,9,5,0.8422818791946308,0.948
cub200,m5_hybrid_replay,1,5,5,0,0.41155234657039713,0.488
cub200,m5_hybrid_replay,1,5,6,1,0.7490974729241877,0.82
cub200,m5_hybrid_replay,1,5,7,2,0.8122743682310469,0.89
cub200,m5_hybrid_replay,1,5,8,3,0.8537906137184116,0.928
cub200,m5_hybrid_replay,1,5,9,4,0.8790613718411552,0.94
cub200,m5_hybrid_replay,1,6,6,0,0.3108108108108108,0.372
cub200,m5_hybrid_replay,1,6,7,1,0.6131756756756757,0.736
cub200,m5_hybrid_replay,1,6,8,2,0.7364864864864865,0.854
cub200,m5_hybrid_replay,1,6,9,3,0.7989864864864865,0.904
cub200,m5_hybrid_replay,1,7,7,0,0.18135593220338983,0.28256513026052105
cub200,m5_hybrid_replay,1,7,8,1,0.6220338983050847,0.7434869739478958
cub200,m5_hybrid_replay,1,7,9,2,0.7898305084745763,0.8997995991983968
cub200,m5_hybrid_replay,1,8,8,0,0.40336134453781514,0.4529058116232465
cub200,m5_hybrid_replay,1,8,9,1,0.7327731092436974,0.8296593186372746
cub200,m5_hybrid_replay,1,9,9,0,0.39322033898305087,0.506
cub200,m5_hybrid_replay,2,0,0,0,0.9225589225589226,0.926
cub200,m5_hybrid_replay,2,0,1,1,0.8754208754208754,0.882
cub200,m5_hybrid_replay,2,0,2,2,0.9545454545454546,0.952
cub200,m5_hybrid_replay,2,0,3,3,0.8552188552188552,0.884
cub200,m5_hybrid_replay,2,0,4,4,0.9242424242424242,0.956
cub200,m5_hybrid_replay,2,0,5,5,0.9057239057239057,0.946
cub200,m5_hybrid_replay,2,0,6,6,0.9175084175084175,0.962
cub200,m5_hybrid_replay,2,0,7,7,0.8552188552188552,0.926
cub200,m5_hybrid_replay,2,0,8,8,0.8602693602693603,0.934
cub200,m5_hybrid_replay,2,0,9,9,0.8535353535353535,0.938
cub200,m5_hybrid_replay,2,1,1,0,0.7939698492462312,0.84
cub200,m5_hybrid_replay,2,1,2,1,0.9564489112227805,0.982
cub200,m5_hybrid_replay,2,1,3,2,0.964824120603015,0.99
cub200,m5_hybrid_replay,2,1,4,3,0.9547738693467337,0.984
cub200,m5_hybrid_replay,2,1,5,4,0.9564489112227805,0.986
cub200,m5_hybrid_replay,2,1,6,5,0.9380234505862647,0.976
cub200,m5_hybrid_replay,2,1,7,6,0.9212730318257957,0.988
cub200,m5_hybrid_replay,2,1,8,7,0.8961474036850922,0.968
cub200,m5_hybrid_replay,2,1,9,8,0.8659966499162479,0.936
cub200,m5_hybrid_replay,2,2,2,0,0.6591695501730104,0.716
cub200,m5_hybrid_replay,2,2,3,1,0.9083044982698962,0.96
cub200,m5_hybrid_replay,2,2,4,2,0.8512110726643599,0.942
cub200,m5_hybrid_replay,2,2,5,3,0.8633217993079585,0.938
cub200,m5_hybrid_replay,2,2,6,4,0.8252595155709342,0.918
cub200,m5_hybrid_replay,2,2,7,5,0.8667820069204152,0.948
cub200,m5_hybrid_replay,2,2,8,6,0.8148788927335641,0.922
cub200,m5_hybrid_replay,2,2,9,7,0.8235294117647058,0.938
cub200,m5_hybrid_replay,2,3,3,0,0.40695652173913044,0.5110663983903421
cub200,m5_hybrid_replay,2,3,4,1,0.7930434782608695,0.9014084507042254
cub200,m5_hybrid_replay,2,3,5,2,0.7756521739130435,0.8853118712273642
cub200,m5_hybrid_replay,2,3,6,3,0.8295652173913044,0.9517102615694165
cub200,m5_hybrid_replay,2,3,7,4,0.8434782608695652,0.9557344064386318
cub200,m5_hybrid_replay,2,3,8,5,0.8347826086956521,0.9416498993963782
cub200,m5_hybrid_replay,2,3,9,6,0.871304347826087,0.9476861167002012
cub200,m5_hybrid_replay,2,4,4,0,0.5094017094017094,0.62
cub200,m5_hybrid_replay,2,4,5,1,0.770940170940171,0.856
cub200,m5_hybrid_replay,2,4,6,2,0.852991452991453,0.928
cub200,m5_hybrid_replay,2,4,7,3,0.841025641025641,0.92
cub200,m5_hybrid_replay,2,4,8,4,0.8735042735042735,0.938
cub200,m5_hybrid_replay,2,4,9,5,0.8888888888888888,0.944
cub200,m5_hybrid_replay,2,5,5,0,0.4963768115942029,0.564
cub200,m5_hybrid_replay,2,5,6,1,0.7862318840579711,0.88
cub200,m5_hybrid_replay,2,5,7,2,0.842391304347826,0.92
cub200,m5_hybrid_replay,2,5,8,3,0.8858695652173914,0.96
cub200,m5_hybrid_replay,2,5,9,4,0.8315217391304348,0.936
cub200,m5_hybrid_replay,2,6,6,0,0.46678023850085176,0.532
cub200,m5_hybrid_replay,2,6,7,1,0.7751277683134583,0.854
cub200,m5_hybrid_replay,2,6,8,2,0.8211243611584327,0.89
cub200,m5_hybrid_replay,2,6,9,3,0.8756388415672913,0.942
cub200,m5_hybrid_replay,2,7,7,0,0.24352331606217617,0.3186372745490982
cub200,m5_hybrid_replay,2,7,8,1,0.6511226252158895,0.7755511022044088
cub200,m5_hybrid_replay,2,7,9,2,0.7979274611398963,0.9038076152304609
cub200,m5_hybrid_replay,2,8,8,0,0.31625441696113077,0.38276553106212424
cub200,m5_hybrid_replay,2,8,9,1,0.6448763250883393,0.7655310621242485
cub200,m5_hybrid_replay,2,9,9,0,0.14113597246127366,0.20040080160320642
cub200,m5_hybrid_replay,3,0,0,0,0.8792792792792793,0.936
cub200,m5_hybrid_replay,3,0,1,1,0.9495495495495495,0.976
cub200,m5_hybrid_replay,3,0,2,2,0.9513513513513514,0.976
cub200,m5_hybrid_replay,3,0,3,3,0.9495495495495495,0.968
cub200,m5_hybrid_replay,3,0,4,4,0.9423423423423424,0.978
cub200,m5_hybrid_replay,3,0,5,5,0.9315315315315316,0.974
cub200,m5_hybrid_replay,3,0,6,6,0.9279279279279279,0.97
cub200,m5_hybrid_replay,3,0,7,7,0.8972972972972973,0.968
cub200,m5_hybrid_replay,3,0,8,8,0.9081081081081082,0.962
cub200,m5_hybrid_replay,3,0,9,9,0.8792792792792793,0.958
cub200,m5_hybrid_replay,3,1,1,0,0.7550675675675675,0.826
cub200,m5_hybrid_replay,3,1,2,1,0.8952702702702703,0.95
cub200,m5_hybrid_replay,3,1,3,2,0.9307432432432432,0.97
cub200,m5_hybrid_replay,3,1,4,3,0.875,0.938
cub200,m5_hybrid_replay,3,1,5,4,0.893581081081081,0.952
cub200,m5_hybrid_replay,3,1,6,5,0.8834459459459459,0.966
cub200,m5_hybrid_replay,3,1,7,6,0.910472972972973,0.97
cub200,m5_hybrid_replay,3,1,8,7,0.9054054054054054,0.976
cub200,m5_hybrid_replay,3,1,9,8,0.8597972972972973,0.962
cub200,m5_hybrid_replay,3,2,2,0,0.5806451612903226,0.6392785571142284
cub200,m5_hybrid_replay,3,2,3,1,0.8607809847198642,0.9258517034068137
cub200,m5_hybrid_replay,3,2,4,2,0.8675721561969439,0.9338677354709419
cub200,m5_hybrid_replay,3,2,5,3,0.8794567062818336,0.9519038076152304
cub200,m5_hybrid_replay,3,2,6,4,0.8743633276740238,0.9418837675350702
cub200,m5_hybrid_replay,3,2,7,5,0.8777589134125636,0.9498997995991983
cub200,m5_hybrid_replay,3,2,8,6,0.8404074702886248,0.9238476953907816
cub200,m5_hybrid_replay,3,2,9,7,0.8421052631578947,0.9478957915831663
cub200,m5_hybrid_replay,3,3,3,0,0.5426621160409556,0.6305220883534136
cub200,m5_hybrid_replay,3,3,4,1,0.8310580204778157,0.9076305220883534
cub200,m5_hybrid_replay,3,3,5,2,0.8686006825938567,0.9377510040160643
cub200,m5_hybrid_replay,3,3,6,3,0.8822525597269625,0.9357429718875502
cub200,m5_hybrid_replay,3,3,7,4,0.8703071672354948,0.9337349397590361
cub200,m5_hybrid_replay,3,3,8,5,0.8805460750853242,0.9477911646586346
cub200,m5_hybrid_replay,3,3,9,6,0.8720136518771331,0.9518072289156626
cub200,m5_hybrid_replay,3,4,4,0,0.4423076923076923,0.578
cub200,m5_hybrid_replay,3,4,5,1,0.833916083916084,0.904
cub200,m5_hybrid_replay,3,4,6,2,0.8479020979020979,0.914
cub200,m5_hybrid_replay,3,4,7,3,0.7972027972027972,0.878
cub200,m5_hybrid_replay,3,4,8,4,0.8548951048951049,0.944
cub200,m5_hybrid_replay,3,4,9,5,0.833916083916084,0.922
cub200,m5_hybrid_replay,3,5,5,0,0.23208191126279865,0.326
cub200,m5_hybrid_replay,3,5,6,1,0.6484641638225256,0.794
cub200,m5_hybrid_replay,3,5,7,2,0.8344709897610921,0.926
cub200,m5_hybrid_replay,3,5,8,3,0.7627986348122867,0.902
cub200,m5_hybrid_replay,3,5,9,4,0.7798634812286689,0.884
cub200,m5_hybrid_replay,3,6,6,0,0.4511545293072824,0.5130260521042084
cub200,m5_hybrid_replay,3,6,7,1,0.8063943161634103,0.87374749498998
cub200,m5_hybrid_replay,3,6,8,2,0.8507992895204263,0.9238476953907816
cub200,m5_hybrid_replay,3,6,9,3,0.8827708703374778,0.9539078156312625
cub200,m5_hybrid_replay,3,7,7,0,0.3407917383820998,0.428
cub200,m5_hybrid_replay,3,7,8,1,0.6764199655765921,0.82
cub200,m5_hybrid_replay,3,7,9,2,0.8227194492254734,0.924
cub200,m5_hybrid_replay,3,8,8,0,0.26506024096385544,0.28857715430861725
cub200,m5_hybrid_replay,3,8,9,1,0.6402753872633391,0.7114228456913828
cub200,m5_hybrid_replay,3,9,9,0,0.37521222410865873,0.43687374749499
cub200,m5_hybrid_replay,4,0,0,0,0.8903878583473862,0.904
cub200,m5_hybrid_replay,4,0,1,1,0.9376053962900506,0.964
cub200,m5_hybrid_replay,4,0,2,2,0.93929173693086,0.982
cub200,m5_hybrid_replay,4,0,3,3,0.8735244519392917,0.952
cub200,m5_hybrid_replay,4,0,4,4,0.8785834738617201,0.946
cub200,m5_hybrid_replay,4,0,5,5,0.8785834738617201,0.964
cub200,m5_hybrid_replay,4,0,6,6,0.8802698145025295,0.96
cub200,m5_hybrid_replay,4,0,7,7,0.8448566610455311,0.956
cub200,m5_hybrid_replay,4,0,8,8,0.866779089376054,0.966
cub200,m5_hybrid_replay,4,0,9,9,0.851602023608769,0.954
cub200,m5_hybrid_replay,4,1,1,0,0.824468085106383,0.88
cub200,m5_hybrid_replay,4,1,2,1,0.875886524822695,0.902
cub200,m5_hybrid_replay,4,1,3,2,0.9397163120567376,0.966
cub200,m5_hybrid_replay,4,1,4,3,0.9609929078014184,0.982
cub200,m5_hybrid_replay,4,1,5,4,0.9343971631205674,0.962
cub200,m5_hybrid_replay,4,1,6,5,0.9361702127659575,0.974
cub200,m5_hybrid_replay,4,1,7,6,0.9113475177304965,0.96
cub200,m5_hybrid_replay,4,1,8,7,0.9042553191489362,0.968
cub200,m5_hybrid_replay,4,1,9,8,0.875886524822695,0.96
cub200,m5_hybrid_replay,4,2,2,0,0.5779816513761468,0.644
cub200,m5_hybrid_replay,4,2,3,1,0.9100917431192661,0.962
cub200,m5_hybrid_replay,4,2,4,2,0.9119266055045872,0.966
cub200,m5_hybrid_replay,4,2,5,3,0.9174311926605505,0.97
cub200,m5_hybrid_replay,4,2,6,4,0.8899082568807339,0.954
cub200,m5_hybrid_replay,4,2,7,5,0.9174311926605505,0.964
cub200,m5_hybrid_replay,4,2,8,6,0.9174311926605505,0.974
cub200,m5_hybrid_replay,4,2,9,7,0.926605504587156,0.972
cub200,m5_hybrid_replay,4,3,3,0,0.5512367491166078,0.6693386773547094
cub200,m5_hybrid_replay,4,3,4,1,0.8745583038869258,0.9238476953907816
cub200,m5_hybrid_replay,4,3,5,2,0.9063604240282686,0.9539078156312625
cub200,m5_hybrid_replay,4,3,6,3,0.8409893992932862,0.9158316633266533
cub200,m5_hybrid_replay,4,3,7,4,0.8604240282685512,0.9238476953907816
cub200,m5_hybrid_replay,4,3,8,5,0.8780918727915195,0.9398797595190381
