dataset,unit,eps,p,lambda,clip_C,ref_val_final_avg_acc,selected
cub200,U1,inf,128,10.0,11.416439815701494,0.6566666666666665,0
cub200,U1,inf,128,100.0,11.416439815701494,0.6483333333333333,0
cub200,U2,0.5,128,0.01,11.416439815701494,0.0016666666666666666,0
cub200,U2,0.5,128,0.1,11.416439815701494,0.0016666666666666666,0
cub200,U2,0.5,128,1.0,11.416439815701494,0.0016666666666666666,0
cub200,U2,0.5,128,10.0,11.416439815701494,0.0016666666666666666,0
cub200,U2,0.5,128,100.0,11.416439815701494,0.0,0
cub200,U2,1,128,0.01,11.416439815701494,0.0,0
cub200,U2,1,128,0.1,11.416439815701494,0.0,0
cub200,U2,1,128,1.0,11.416439815701494,0.0,0
cub200,U2,1,128,10.0,11.416439815701494,0.0,0
cub200,U2,1,128,100.0,11.416439815701494,0.0,0
cub200,U2,2,128,0.01,11.416439815701494,0.0,0
cub200,U2,2,128,0.1,11.416439815701494,0.0,0
cub200,U2,2,128,1.0,11.416439815701494,0.0,0
cub200,U2,2,128,10.0,11.416439815701494,0.0,0
cub200,U2,2,128,100.0,11.416439815701494,0.0,0
cub200,U2,4,128,0.01,11.416439815701494,0.0,0
cub200,U2,4,128,0.1,11.416439815701494,0.0,0
cub200,U2,4,128,1.0,11.416439815701494,0.0,0
cub200,U2,4,128,10.0,11.416439815701494,0.0,0
cub200,U2,4,128,100.0,11.416439815701494,0.0,0
cub200,U2,8,128,0.01,11.416439815701494,0.0,0
cub200,U2,8,128,0.1,11.416439815701494,0.0,0
cub200,U2,8,128,1.0,11.416439815701494,0.0,0
cub200,U2,8,128,10.0,11.416439815701494,0.0,0
cub200,U2,8,128,100.0,11.416439815701494,0.0016666666666666666,0
cub200,U2,inf,128,0.01,11.416439815701494,0.6733333333333335,0
cub200,U2,inf,128,0.1,11.416439815701494,0.6766666666666667,0
cub200,U2,inf,128,1.0,11.416439815701494,0.6733333333333333,0
cub200,U2,inf,128,10.0,11.416439815701494,0.6583333333333334,0
cub200,U2,inf,128,100.0,11.416439815701494,0.6416666666666667,0
cub200,U1,0.5,256,0.01,10.66112584306926,0.005,0
cub200,U1,0.5,256,0.1,10.66112584306926,0.005,0
cub200,U1,0.5,256,1.0,10.66112584306926,0.003333333333333333,0
cub200,U1,0.5,256,10.0,10.66112584306926,0.005,0
cub200,U1,0.5,256,100.0,10.66112584306926,0.008333333333333333,0
cub200,U1,1,256,0.01,10.66112584306926,0.006666666666666666,0
cub200,U1,1,256,0.1,10.66112584306926,0.006666666666666666,0
cub200,U1,1,256,1.0,10.66112584306926,0.006666666666666666,0
cub200,U1,1,256,10.0,10.66112584306926,0.006666666666666666,0
cub200,U1,1,256,100.0,10.66112584306926,0.009999999999999998,0
cub200,U1,2,256,0.01,10.66112584306926,0.006666666666666666,0
cub200,U1,2,256,0.1,10.66112584306926,0.006666666666666666,0
cub200,U1,2,256,1.0,10.66112584306926,0.008333333333333335,0
cub200,U1,2,256,10.0,10.66112584306926,0.01,0
cub200,U1,2,256,100.0,10.66112584306926,0.011666666666666665,0
cub200,U1,4,256,0.01,10.66112584306926,0.011666666666666667,0
cub200,U1,4,256,0.1,10.66112584306926,0.01,0
cub200,U1,4,256,1.0,10.66112584306926,0.011666666666666667,0
cub200,U1,4,256,10.0,10.66112584306926,0.013333333333333332,0
cub200,U1,4,256,100.0,10.66112584306926,0.008333333333333333,0
cub200,U1,8,256,0.01,10.66112584306926,0.016666666666666666,0
cub200,U1,8,256,0.1,10.66112584306926,0.016666666666666666,0
cub200,U1,8,256,1.0,10.66112584306926,0.02,1
cub200,U1,8,256,10.0,10.66112584306926,0.018333333333333333,0
cub200,U1,8,256,100.0,10.66112584306926,0.009999999999999998,0
cub200,U1,inf,256,0.01,10.66112584306926,0.6983333333333334,0
cub200,U1,inf,256,0.1,10.66112584306926,0.705,0
cub200,U1,inf,256,1.0,10.66112584306926,0.7083333333333333,0
cub200,U1,inf,256,10.0,10.66112584306926,0.6883333333333332,0
cub200,U1,inf,256,100.0,10.66112584306926,0.66,0
cub200,U2,0.5,256,0.01,10.66112584306926,0.003333333333333333,0
cub200,U2,0.5,256,0.1,10.66112584306926,0.003333333333333333,0
cub200,U2,0.5,256,1.0,10.66112584306926,0.003333333333333333,0
cub200,U2,0.5,256,10.0,10.66112584306926,0.0016666666666666666,0
cub200,U2,0.5,256,100.0,10.66112584306926,0.005,0
cub200,U2,1,256,0.01,10.66112584306926,0.003333333333333333,0
cub200,U2,1,256,0.1,10.66112584306926,0.003333333333333333,0
cub200,U2,1,256,1.0,10.66112584306926,0.003333333333333333,0
cub200,U2,1,256,10.0,10.66112584306926,0.0016666666666666666,0
cub200,U2,1,256,100.0,10.66112584306926,0.005,0
cub200,U2,2,256,0.01,10.66112584306926,0.003333333333333333,0
cub200,U2,2,256,0.1,10.66112584306926,0.003333333333333333,0
cub200,U2,2,256,1.0,10.66112584306926,0.003333333333333333,0
cub200,U2,2,256,10.0,10.66112584306926,0.0016666666666666666,0
cub200,U2,2,256,100.0,10.66112584306926,0.005,0
cub200,U2,4,256,0.01,10.66112584306926,0.005,0
cub200,U2,4,256,0.1,10.66112584306926,0.005,0
cub200,U2,4,256,1.0,10.66112584306926,0.003333333333333333,0
cub200,U2,4,256,10.0,10.66112584306926,0.005,0
cub200,U2,4,256,100.0,10.66112584306926,0.008333333333333333,0
cub200,U2,8,256,0.01,10.66112584306926,0.008333333333333333,0
cub200,U2,8,256,0.1,10.66112584306926,0.008333333333333333,0
cub200,U2,8,256,1.0,10.66112584306926,0.006666666666666666,0
cub200,U2,8,256,10.0,10.66112584306926,0.006666666666666666,0
cub200,U2,8,256,100.0,10.66112584306926,0.009999999999999998,0
cub200,U2,inf,256,0.01,10.66112584306926,0.6983333333333333,0
cub200,U2,inf,256,0.1,10.66112584306926,0.7083333333333334,0
cub200,U2,inf,256,1.0,10.66112584306926,0.7100000000000001,0
cub200,U2,inf,256,10.0,10.66112584306926,0.6983333333333333,0
cub200,U2,inf,256,100.0,10.66112584306926,0.6566666666666666,0
cub200,U1,0.5,768,0.01,10.46919772857376,0.006666666666666666,0
cub200,U1,0.5,768,0.1,10.46919772857376,0.006666666666666666,0
cub200,U1,0.5,768,1.0,10.46919772857376,0.006666666666666666,0
cub200,U1,0.5,768,10.0,10.46919772857376,0.006666666666666666,0
cub200,U1,0.5,768,100.0,10.46919772857376,0.006666666666666666,0
cub200,U1,1,768,0.01,10.46919772857376,0.008333333333333333,0
cub200,U1,1,768,0.1,10.46919772857376,0.008333333333333333,0
cub200,U1,1,768,1.0,10.46919772857376,0.008333333333333333,0
cub200,U1,1,768,10.0,10.46919772857376,0.006666666666666666,0
cub200,U1,1,768,100.0,10.46919772857376,0.005,0
cub200,U1,2,768,0.01,10.46919772857376,0.011666666666666667,0
cub200,U1,2,768,0.1,10.46919772857376,0.009999999999999998,0
cub200,U1,2,768,1.0,10.46919772857376,0.008333333333333333,0
cub200,U1,2,768,10.0,10.46919772857376,0.006666666666666666,0
cub200,U1,2,768,100.0,10.46919772857376,0.005,0
cub200,U1,4,768,0.01,10.46919772857376,0.008333333333333335,0
cub200,U1,4,768,0.1,10.46919772857376,0.008333333333333335,0
cub200,U1,4,768,1.0,10.46919772857376,0.01,0
cub200,U1,4,768,10.0,10.46919772857376,0.01,0
cub200,U1,4,768,100.0,10.46919772857376,0.006666666666666666,0
cub200,U1,8,768,0.01,10.46919772857376,0.01,0
cub200,U1,8,768,0.1,10.46919772857376,0.008333333333333335,0
cub200,U1,8,768,1.0,10.46919772857376,0.01,0
cub200,U1,8,768,10.0,10.46919772857376,0.008333333333333335,0
cub200,U1,8,768,100.0,10.46919772857376,0.006666666666666666,0
cub200,U1,inf,768,0.01,10.46919772857376,0.6716666666666666,0
cub200,U1,inf,768,0.1,10.46919772857376,0.6983333333333333,0
cub200,U1,inf,768,1.0,10.46919772857376,0.72,1
cub200,U1,inf,768,10.0,10.46919772857376,0.6966666666666665,0
cub200,U1,inf,768,100.0,10.46919772857376,0.6716666666666666,0
cub200,U2,0.5,768,0.01,10.46919772857376,0.006666666666666666,0
cub200,U2,0.5,768,0.1,10.46919772857376,0.006666666666666666,0
cub200,U2,0.5,768,1.0,10.46919772857376,0.006666666666666666,0
cub200,U2,0.5,768,10.0,10.46919772857376,0.006666666666666666,0
cub200,U2,0.5,768,100.0,10.46919772857376,0.006666666666666666,0
cub200,U2,1,768,0.01,10.46919772857376,0.006666666666666666,0
cub200,U2,1,768,0.1,10.46919772857376,0.006666666666666666,0
cub200,U2,1,768,1.0,10.46919772857376,0.006666666666666666,0
cub200,U2,1,768,10.0,10.46919772857376,0.006666666666666666,0
cub200,U2,1,768,100.0,10.46919772857376,0.006666666666666666,0
cub200,U2,2,768,0.01,10.46919772857376,0.006666666666666666,0
cub200,U2,2,768,0.1,10.46919772857376,0.006666666666666666,0
cub200,U2,2,768,1.0,10.46919772857376,0.006666666666666666,0
cub200,U2,2,768,10.0,10.46919772857376,0.006666666666666666,0
cub200,U2,2,768,100.0,10.46919772857376,0.008333333333333333,0
cub200,U2,4,768,0.01,10.46919772857376,0.006666666666666666,0
cub200,U2,4,768,0.1,10.46919772857376,0.006666666666666666,0
cub200,U2,4,768,1.0,10.46919772857376,0.006666666666666666,0
cub200,U2,4,768,10.0,10.46919772857376,0.006666666666666666,0
cub200,U2,4,768,100.0,10.46919772857376,0.006666666666666666,0
cub200,U2,8,768,0.01,10.46919772857376,0.008333333333333333,0
cub200,U2,8,768,0.1,10.46919772857376,0.008333333333333333,0
cub200,U2,8,768,1.0,10.46919772857376,0.006666666666666666,0
cub200,U2,8,768,10.0,10.46919772857376,0.006666666666666666,0
cub200,U2,8,768,100.0,10.46919772857376,0.005,0
cub200,U2,inf,768,0.01,10.46919772857376,0.6716666666666666,0
cub200,U2,inf,768,0.1,10.46919772857376,0.6966666666666667,0
cub200,U2,inf,768,1.0,10.46919772857376,0.7166666666666666,1
cub200,U2,inf,768,10.0,10.46919772857376,0.6966666666666665,0
cub200,U2,inf,768,100.0,10.46919772857376,0.6633333333333333,0
imagenet_r,U1,0.5,32,0.01,14.302645265909625,0.0032565032287930227,0
imagenet_r,U1,0.5,32,0.1,14.302645265909625,0.0032565032287930227,0
imagenet_r,U1,0.5,32,1.0,14.302645265909625,0.0032565032287930227,0
imagenet_r,U1,0.5,32,10.0,14.302645265909625,0.002646747131232048,0
imagenet_r,U1,0.5,32,100.0,14.302645265909625,0.003932178904468699,0
imagenet_r,U1,1,32,0.01,14.302645265909625,0.004391084746917469,0
imagenet_r,U1,1,32,0.1,14.302645265909625,0.004391084746917469,0
imagenet_r,U1,1,32,1.0,14.302645265909625,0.004391084746917469,0
imagenet_r,U1,1,32,10.0,14.302645265909625,0.004538161091611525,0
imagenet_r,U1,1,32,100.0,14.302645265909625,0.003423385838905238,0
imagenet_r,U1,2,32,0.01,14.302645265909625,0.0057334270892598115,0
imagenet_r,U1,2,32,0.1,14.302645265909625,0.0057334270892598115,0
imagenet_r,U1,2,32,1.0,14.302645265909625,0.004517688804556009,0
imagenet_r,U1,2,32,10.0,14.302645265909625,0.006565188118638552,0
imagenet_r,U1,2,32,100.0,14.302645265909625,0.005372998548011617,0
imagenet_r,U1,4,32,0.01,14.302645265909625,0.006221034010777858,0
imagenet_r,U1,4,32,0.1,14.302645265909625,0.006221034010777858,0
imagenet_r,U1,4,32,1.0,14.302645265909625,0.006841084599539335,0
imagenet_r,U1,4,32,10.0,14.302645265909625,0.006499268540523852,0
imagenet_r,U1,4,32,100.0,14.302645265909625,0.0113690361807903,0
imagenet_r,U1,8,32,0.01,14.302645265909625,0.003993060660984173,0
imagenet_r,U1,8,32,0.1,14.302645265909625,0.00600230674917763,0
imagenet_r,U1,8,32,1.0,14.302645265909625,0.0092693429724086,0
imagenet_r,U1,8,32,10.0,14.302645265909625,0.018729531472280434,0
imagenet_r,U1,8,32,100.0,14.302645265909625,0.026232869851760245,0
imagenet_r,U1,inf,32,0.01,14.302645265909625,0.16506845038827583,0
imagenet_r,U1,inf,32,0.1,14.302645265909625,0.16506845038827583,0
imagenet_r,U1,inf,32,1.0,14.302645265909625,0.16500253081016114,0
imagenet_r,U1,inf,32,10.0,14.302645265909625,0.1566671379965112,0
imagenet_r,U1,inf,32,100.0,14.302645265909625,0.11842484984156151,0
imagenet_r,U2,0.5,32,0.01,14.302645265909625,0.0025911220443178493,0
imagenet_r,U2,0.5,32,0.1,14.302645265909625,0.0025911220443178493,0
imagenet_r,U2,0.5,32,1.0,14.302645265909625,0.0025911220443178493,0
imagenet_r,U2,0.5,32,10.0,14.302645265909625,0.0025911220443178493,0
imagenet_r,U2,0.5,32,100.0,14.302645265909625,0.0019375272730760193,0
imagenet_r,U2,1,32,0.01,14.302645265909625,0.0019375272730760193,0
imagenet_r,U2,1,32,0.1,14.302645265909625,0.0019375272730760193,0
imagenet_r,U2,1,32,1.0,14.302645265909625,0.0019375272730760193,0
imagenet_r,U2,1,32,10.0,14.302645265909625,0.002646747131232048,0
imagenet_r,U2,1,32,100.0,14.302645265909625,0.0019375272730760193,0
imagenet_r,U2,2,32,0.01,14.302645265909625,0.0038312158724711845,0
imagenet_r,U2,2,32,0.1,14.302645265909625,0.0038312158724711845,0
imagenet_r,U2,2,32,1.0,14.302645265909625,0.00450689154814686,0
imagenet_r,U2,2,32,10.0,14.302645265909625,0.003322422806907724,0
imagenet_r,U2,2,32,100.0,14.302645265909625,0.0019375272730760193,0
imagenet_r,U2,4,32,0.01,14.302645265909625,0.003866259326353999,0
imagenet_r,U2,4,32,0.1,14.302645265909625,0.003866259326353999,0
imagenet_r,U2,4,32,1.0,14.302645265909625,0.003866259326353999,0
imagenet_r,U2,4,32,10.0,14.302645265909625,0.003932178904468699,0
imagenet_r,U2,4,32,100.0,14.302645265909625,0.0019375272730760193,0
imagenet_r,U2,8,32,0.01,14.302645265909625,0.002646747131232048,0
imagenet_r,U2,8,32,0.1,14.302645265909625,0.002646747131232048,0
imagenet_r,U2,8,32,1.0,14.302645265909625,0.002646747131232048,0
imagenet_r,U2,8,32,10.0,14.302645265909625,0.002646747131232048,0
imagenet_r,U2,8,32,100.0,14.302645265909625,0.003322422806907724,0
imagenet_r,U2,inf,32,0.01,14.302645265909625,0.16983974072734168,0
imagenet_r,U2,inf,32,0.1,14.302645265909625,0.16983974072734168,0
imagenet_r,U2,inf,32,1.0,14.302645265909625,0.16926502808366353,0
imagenet_r,U2,inf,32,10.0,14.302645265909625,0.15780484959936372,0
imagenet_r,U2,inf,32,100.0,14.302645265909625,0.12103781733339605,0
imagenet_r,U1,0.5,64,0.01,12.944681411483106,0.005817744946037227,0
imagenet_r,U1,0.5,64,0.1,12.944681411483106,0.005817744946037227,0
imagenet_r,U1,0.5,64,1.0,12.944681411483106,0.0045500941116341466,0
imagenet_r,U1,0.5,64,10.0,12.944681411483106,0.00388342744496748,0
imagenet_r,U1,0.5,64,100.0,12.944681411483106,0.004626402577385112,0
imagenet_r,U1,1,64,0.01,12.944681411483106,0.007838454312277192,0
imagenet_r,U1,1,64,0.1,12.944681411483106,0.007838454312277192,0
imagenet_r,U1,1,64,1.0,12.944681411483106,0.007838454312277192,0
imagenet_r,U1,1,64,10.0,12.944681411483106,0.006526964804193255,0
imagenet_r,U1,1,64,100.0,12.944681411483106,0.005850000948896369,0
imagenet_r,U1,2,64,0.01,12.944681411483106,0.007723305192251782,0
imagenet_r,U1,2,64,0.1,12.944681411483106,0.008398980867927458,0
imagenet_r,U1,2,64,1.0,12.944681411483106,0.0090256060613049,0
imagenet_r,U1,2,64,10.0,12.944681411483106,0.006549045708627102,0
imagenet_r,U1,2,64,100.0,12.944681411483106,0.006417339188347047,0
imagenet_r,U1,4,64,0.01,12.944681411483106,0.008475500425459675,0
imagenet_r,U1,4,64,0.1,12.944681411483106,0.009133395162301782,0
imagenet_r,U1,4,64,1.0,12.944681411483106,0.008475500425459675,0
imagenet_r,U1,4,64,10.0,12.944681411483106,0.007925143325231048,0
imagenet_r,U1,4,64,100.0,12.944681411483106,0.010756861734766147,0
imagenet_r,U1,8,64,0.01,12.944681411483106,0.0065011414511007,0
imagenet_r,U1,8,64,0.1,12.944681411483106,0.0065011414511007,0
imagenet_r,U1,8,64,1.0,12.944681411483106,0.00849236952127614,0
imagenet_r,U1,8,64,10.0,12.944681411483106,0.01233659030419259,0
imagenet_r,U1,8,64,100.0,12.944681411483106,0.025054654454716163,0
imagenet_r,U1,inf,64,0.01,12.944681411483106,0.28275926159466835,0
imagenet_r,U1,inf,64,0.1,12.944681411483106,0.2808856285731225,0
imagenet_r,U1,inf,64,1.0,12.944681411483106,0.280295481463988,0
imagenet_r,U1,inf,64,10.0,12.944681411483106,0.2595660505950008,0
imagenet_r,U1,inf,64,100.0,12.944681411483106,0.18649573819495416,0
imagenet_r,U2,0.5,64,0.01,12.944681411483106,0.004545794146033871,0
imagenet_r,U2,0.5,64,0.1,12.944681411483106,0.004545794146033871,0
imagenet_r,U2,0.5,64,1.0,12.944681411483106,0.0038701184703581956,0
imagenet_r,U2,0.5,64,10.0,12.944681411483106,0.0038701184703581956,0
imagenet_r,U2,0.5,64,100.0,12.944681411483106,0.007297567195679261,0
imagenet_r,U2,1,64,0.01,12.944681411483106,0.0032165236991163657,0
imagenet_r,U2,1,64,0.1,12.944681411483106,0.0032165236991163657,0
imagenet_r,U2,1,64,1.0,12.944681411483106,0.0032165236991163657,0
imagenet_r,U2,1,64,10.0,12.944681411483106,0.0038701184703581956,0
imagenet_r,U2,1,64,100.0,12.944681411483106,0.007205613172690757,0
imagenet_r,U2,2,64,0.01,12.944681411483106,0.0032165236991163657,0
imagenet_r,U2,2,64,0.1,12.944681411483106,0.0032165236991163657,0
imagenet_r,U2,2,64,1.0,12.944681411483106,0.0032165236991163657,0
imagenet_r,U2,2,64,10.0,12.944681411483106,0.0032165236991163657,0
imagenet_r,U2,2,64,100.0,12.944681411483106,0.007196841242866195,0
imagenet_r,U2,4,64,0.01,12.944681411483106,0.005191119752659788,0
imagenet_r,U2,4,64,0.1,12.944681411483106,0.005191119752659788,0
imagenet_r,U2,4,64,1.0,12.944681411483106,0.005191119752659788,0
imagenet_r,U2,4,64,10.0,12.944681411483106,0.005191119752659788,0
imagenet_r,U2,4,64,100.0,12.944681411483106,0.00533562243554114,0
imagenet_r,U2,8,64,0.01,12.944681411483106,0.006475639682879333,0
imagenet_r,U2,8,64,0.1,12.944681411483106,0.006475639682879333,0
imagenet_r,U2,8,64,1.0,12.944681411483106,0.006475639682879333,0
imagenet_r,U2,8,64,10.0,12.944681411483106,0.005207988848476253,0
imagenet_r,U2,8,64,100.0,12.944681411483106,0.0059509639808938836,0
imagenet_r,U2,inf,64,0.01,12.944681411483106,0.28357905800484495,0
imagenet_r,U2,inf,64,0.1,12.944681411483106,0.28357905800484495,0
imagenet_r,U2,inf,64,1.0,12.944681411483106,0.2822704709367642,0
imagenet_r,U2,inf,64,10.0,12.944681411483106,0.2612881464657125,0
imagenet_r,U2,inf,64,100.0,12.944681411483106,0.19058110428605385,0
imagenet_r,U1,0.5,128,0.01,11.849688826333526,0.009262585691450559,0
imagenet_r,U1,0.5,128,0.1,11.849688826333526,0.009872341789011535,1
imagenet_r,U1,0.5,128,1.0,11.849688826333526,0.009872341789011535,0
imagenet_r,U1,0.5,128,10.0,11.849688826333526,0.009152827439655006,0
imagenet_r,U1,0.5,128,100.0,11.849688826333526,0.009135046500821434,0
imagenet_r,U1,1,128,0.01,11.849688826333526,0.008586910015774883,0
imagenet_r,U1,1,128,0.1,11.849688826333526,0.008586910015774883,0
imagenet_r,U1,1,128,1.0,11.849688826333526,0.009262585691450559,0
imagenet_r,U1,1,128,10.0,11.849688826333526,0.009920480428292664,0
imagenet_r,U1,1,128,100.0,11.849688826333526,0.012223498332656239,1
imagenet_r,U1,2,128,0.01,11.849688826333526,0.010574075199534495,0
imagenet_r,U1,2,128,0.1,11.849688826333526,0.010574075199534495,0
imagenet_r,U1,2,128,1.0,11.849688826333526,0.009920480428292664,0
imagenet_r,U1,2,128,10.0,11.849688826333526,0.011886962233215509,0
imagenet_r,U1,2,128,100.0,11.849688826333526,0.014140553318676741,1
imagenet_r,U1,4,128,0.01,11.849688826333526,0.008074349661263585,0
imagenet_r,U1,4,128,0.1,11.849688826333526,0.008750025336939261,0
imagenet_r,U1,4,128,1.0,11.849688826333526,0.008750025336939261,0
imagenet_r,U1,4,128,10.0,11.849688826333526,0.01325522967445579,0
imagenet_r,U1,4,128,100.0,11.849688826333526,0.01862976003079176,1
imagenet_r,U1,8,128,0.01,11.849688826333526,0.01783426536285899,0
imagenet_r,U1,8,128,0.1,11.849688826333526,0.01780338923862711,0
imagenet_r,U1,8,128,1.0,11.849688826333526,0.016341064563597303,0
imagenet_r,U1,8,128,10.0,11.849688826333526,0.022740646643472424,0
imagenet_r,U1,8,128,100.0,11.849688826333526,0.03022456781977436,1
imagenet_r,U1,inf,128,0.01,11.849688826333526,0.3987016682496088,0
imagenet_r,U1,inf,128,0.1,11.849688826333526,0.3993426938906344,0
imagenet_r,U1,inf,128,1.0,11.849688826333526,0.3897361509302363,0
imagenet_r,U1,inf,128,10.0,11.849688826333526,0.33392080520316914,0
imagenet_r,U1,inf,128,100.0,11.849688826333526,0.23465862218753086,0
imagenet_r,U2,0.5,128,0.01,11.849688826333526,0.009872341789011535,1
imagenet_r,U2,0.5,128,0.1,11.849688826333526,0.009872341789011535,0
imagenet_r,U2,0.5,128,1.0,11.849688826333526,0.009872341789011535,0
imagenet_r,U2,0.5,128,10.0,11.849688826333526,0.009218747017769705,0
imagenet_r,U2,0.5,128,100.0,11.849688826333526,0.008069321730413383,0
imagenet_r,U2,1,128,0.01,11.849688826333526,0.009218747017769705,1
imagenet_r,U2,1,128,0.1,11.849688826333526,0.009218747017769705,0
imagenet_r,U2,1,128,1.0,11.849688826333526,0.009218747017769705,0
imagenet_r,U2,1,128,10.0,11.849688826333526,0.009218747017769705,0
imagenet_r,U2,1,128,100.0,11.849688826333526,0.007393646054737707,0
imagenet_r,U2,2,128,0.01,11.849688826333526,0.009828503115330681,1
imagenet_r,U2,2,128,0.1,11.849688826333526,0.009828503115330681,0
imagenet_r,U2,2,128,1.0,11.849688826333526,0.009828503115330681,0
imagenet_r,U2,2,128,10.0,11.849688826333526,0.009253790471652519,0
imagenet_r,U2,2,128,100.0,11.849688826333526,0.007327726476623007,0
imagenet_r,U2,4,128,0.01,11.849688826333526,0.00990738524289435,0
imagenet_r,U2,4,128,0.1,11.849688826333526,0.00990738524289435,0
imagenet_r,U2,4,128,1.0,11.849688826333526,0.010482097886572509,1
imagenet_r,U2,4,128,10.0,11.849688826333526,0.009828503115330681,0
imagenet_r,U2,4,128,100.0,11.849688826333526,0.00847715176397933,0
imagenet_r,U2,8,128,0.01,11.849688826333526,0.009262585691450559,0
imagenet_r,U2,8,128,0.1,11.849688826333526,0.009262585691450559,0
imagenet_r,U2,8,128,1.0,11.849688826333526,0.009262585691450559,0
imagenet_r,U2,8,128,10.0,11.849688826333526,0.008586910015774883,0
imagenet_r,U2,8,128,100.0,11.849688826333526,0.010420478274058086,1
imagenet_r,U2,inf,128,0.01,11.849688826333526,0.3960743163583166,0
imagenet_r,U2,inf,128,0.1,11.849688826333526,0.39539864068264086,0
imagenet_r,U2,inf,128,1.0,11.849688826333526,0.39075953364166055,0
imagenet_r,U2,inf,128,10.0,11.849688826333526,0.3369853711182044,0
imagenet_r,U2,inf,128,100.0,11.849688826333526,0.23898596309842204,0
imagenet_r,U1,0.5,256,0.01,10.863782050322904,0.005108284084656158,0
imagenet_r,U1,0.5,256,0.1,10.863782050322904,0.005108284084656158,0
imagenet_r,U1,0.5,256,1.0,10.863782050322904,0.005783959760331834,0
imagenet_r,U1,0.5,256,10.0,10.863782050322904,0.004485039382464088,0
imagenet_r,U1,0.5,256,100.0,10.863782050322904,0.004518583564944441,0
imagenet_r,U1,1,256,0.01,10.863782050322904,0.005741195477061221,0
imagenet_r,U1,1,256,0.1,10.863782050322904,0.005741195477061221,0
imagenet_r,U1,1,256,1.0,10.863782050322904,0.005741195477061221,0
imagenet_r,U1,1,256,10.0,10.863782050322904,0.0058093896941916095,0
imagenet_r,U1,1,256,100.0,10.863782050322904,0.005176478301786545,0
imagenet_r,U1,2,256,0.01,10.863782050322904,0.0051664828333830605,0
imagenet_r,U1,2,256,0.1,10.863782050322904,0.0057993942257881246,0
imagenet_r,U1,2,256,1.0,10.863782050322904,0.006407651051946637,0
imagenet_r,U1,2,256,10.0,10.863782050322904,0.007083326727622313,0
imagenet_r,U1,2,256,100.0,10.863782050322904,0.005812292134194806,0
imagenet_r,U1,4,256,0.01,10.863782050322904,0.00852663210196217,0
imagenet_r,U1,4,256,0.1,10.863782050322904,0.009202307777637846,0
imagenet_r,U1,4,256,1.0,10.863782050322904,0.009202307777637846,0
imagenet_r,U1,4,256,10.0,10.863782050322904,0.008459213252445008,0
imagenet_r,U1,4,256,100.0,10.863782050322904,0.009147786836527365,0
imagenet_r,U1,8,256,0.01,10.863782050322904,0.010379683490476693,0
imagenet_r,U1,8,256,0.1,10.863782050322904,0.01105535916615237,0
imagenet_r,U1,8,256,1.0,10.863782050322904,0.011799229058958433,0
imagenet_r,U1,8,256,10.0,10.863782050322904,0.014952980299318224,0
imagenet_r,U1,8,256,100.0,10.863782050322904,0.018949078169343513,0
imagenet_r,U1,inf,256,0.01,10.863782050322904,0.4795977226369585,0
imagenet_r,U1,inf,256,0.1,10.863782050322904,0.4809313947952817,0
imagenet_r,U1,inf,256,1.0,10.863782050322904,0.4671440170014475,0
imagenet_r,U1,inf,256,10.0,10.863782050322904,0.3943906199773745,0
imagenet_r,U1,inf,256,100.0,10.863782050322904,0.26618836432930687,0
imagenet_r,U2,0.5,256,0.01,10.863782050322904,0.0039766397361334065,0
imagenet_r,U2,0.5,256,0.1,10.863782050322904,0.0039766397361334065,0
imagenet_r,U2,0.5,256,1.0,10.863782050322904,0.0039766397361334065,0
imagenet_r,U2,0.5,256,10.0,10.863782050322904,0.0019842627437564146,0
imagenet_r,U2,0.5,256,100.0,10.863782050322904,0.0026599384194320903,0
imagenet_r,U2,1,256,0.01,10.863782050322904,0.0033009640604577313,0
imagenet_r,U2,1,256,0.1,10.863782050322904,0.0033009640604577313,0
imagenet_r,U2,1,256,1.0,10.863782050322904,0.0033009640604577313,0
imagenet_r,U2,1,256,10.0,10.863782050322904,0.0026599384194320903,0
imagenet_r,U2,1,256,100.0,10.863782050322904,0.003369158277588119,0
imagenet_r,U2,2,256,0.01,10.863782050322904,0.004617665377159049,0
imagenet_r,U2,2,256,0.1,10.863782050322904,0.004617665377159049,0
imagenet_r,U2,2,256,1.0,10.863782050322904,0.004617665377159049,0
imagenet_r,U2,2,256,10.0,10.863782050322904,0.003335614095107766,0
imagenet_r,U2,2,256,100.0,10.863782050322904,0.003369158277588119,0
imagenet_r,U2,4,256,0.01,10.863782050322904,0.005126065023489728,0
imagenet_r,U2,4,256,0.1,10.863782050322904,0.005126065023489728,0
imagenet_r,U2,4,256,1.0,10.863782050322904,0.005126065023489728,0
imagenet_r,U2,4,256,10.0,10.863782050322904,0.004485039382464088,0
imagenet_r,U2,4,256,100.0,10.863782050322904,0.004518583564944441,0
imagenet_r,U2,8,256,0.01,10.863782050322904,0.005108284084656158,0
imagenet_r,U2,8,256,0.1,10.863782050322904,0.005108284084656158,0
imagenet_r,U2,8,256,1.0,10.863782050322904,0.005108284084656158,0
imagenet_r,U2,8,256,10.0,10.863782050322904,0.005852153977462221,0
imagenet_r,U2,8,256,100.0,10.863782050322904,0.0058093896941916095,0
imagenet_r,U2,inf,256,0.01,10.863782050322904,0.48070843050275747,0
