dataset,method,seed,final_avg_acc,last_task_acc,bwt,aia,diagonal_json
cub200,m4_proto,0,0.8571367741337756,0.8450946643717728,-0.05256024106350481,0.9049175448484166,"[0.9828767123287672, 0.9328859060402684, 0.9285714285714286, 0.9366438356164384, 0.900523560209424, 0.892436974789916, 0.837696335078534, 0.8812056737588653, 0.9064748201438849, 0.8450946643717728]"
cub200,m4_proto,1,0.8568790246541804,0.8813559322033898,-0.05463676664808824,0.9006180555849405,"[0.9705372616984402, 0.9496527777777778, 0.8894830659536542, 0.9325044404973357, 0.8875838926174496, 0.9007220216606499, 0.8783783783783784, 0.8661016949152542, 0.9042016806722689, 0.8813559322033898]"
cub200,m4_proto,2,0.857054350536546,0.8691910499139415,-0.06268475466897182,0.90552079736976,"[0.968013468013468, 0.9681742043551089, 0.916955017301038, 0.9147826086956522, 0.9145299145299145, 0.9148550724637681, 0.9233390119250426, 0.8773747841105354, 0.8674911660777385, 0.8691910499139415]"
cub200,m4_proto,3,0.8570997941665276,0.8047538200339559,-0.05272072451089912,0.9062077422133795,"[0.9657657657657658, 0.9442567567567568, 0.9388794567062818, 0.9044368600682594, 0.9055944055944056, 0.8754266211604096, 0.911190053285968, 0.9225473321858864, 0.8726333907056799, 0.8047538200339559]"
cub200,m4_proto,4,0.857345365624186,0.7822445561139029,-0.05137419403622128,0.9099593093594998,"[0.9747048903878583, 0.9627659574468085, 0.9192660550458716, 0.9399293286219081, 0.9027303754266212, 0.9030612244897959, 0.8711340206185567, 0.8442211055276382, 0.9357638888888888, 0.7822445561139029]"
