method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,687,687.9999999999999,nan,148.93914015608323,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,829,829.9999999999998,nan,172.88718123413477,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,1000,1000.9999999999998,nan,201.23537218890866,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,2,4.0,62.0,5.298525913621841,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,3,6.0,93.0,6.627064838413654,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,4,7.0,123.0,7.2228557001495926,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,5,8.0,153.0,7.786148140875069,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,6,9.0,183.0,8.32290815088033,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,7,10.0,213.0,8.837137179629,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,8,11.0,243.0,9.332482635101428,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,9,12.0,273.0,9.811302669989779,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,10,13.0,303.0,10.275778510681564,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,11,14.0,nan,10.727493607361541,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,13,16.0,nan,11.597073111012214,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,16,19.0,nan,12.833657185228812,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,19,22.0,nan,14.00355442581983,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,23,26.000000000000004,nan,15.484581546057857,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,28,31.000000000000004,nan,17.2335510089633,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,34,37.00000000000001,nan,19.219669528451472,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,41,44.00000000000001,nan,21.415203807352537,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,49,52.00000000000001,nan,23.801902476567957,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,60,63.000000000000014,nan,26.92128577133555,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,72,75.00000000000001,nan,30.154894242181886,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,87,90.00000000000001,nan,34.012079820519375,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,105,108.00000000000001,nan,38.435337800402145,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,127,130.00000000000003,nan,43.61260043773246,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,153,156.00000000000003,nan,49.46909989614414,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,184,187.00000000000003,nan,56.191250748711624,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,222,225.00000000000006,nan,64.1142538229193,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,268,271.00000000000006,nan,73.38346210221079,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,324,327.00000000000006,nan,84.2950915895481,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,391,394.00000000000006,nan,96.92438986549277,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,472,475.0000000000001,nan,111.72469765443749,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,569,572.0000000000001,nan,128.92225459858315,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,687,690.0000000000001,nan,149.28199191487718,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,829,832.0000000000002,nan,173.2187390230795,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,1000,1003.0000000000002,nan,201.56692997785336,accumulating,0
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,accumulating,1
M1,cifar100,10,9fe641be323b6bde,U4,3,2.0,1e-05,2,4.0,62.0,5.298525913621841,accumulating,1
