dataset,unit,eps,gamma,delta,n_shadows,n_pos,n_neg,auc,tpr1,tpr1_ci_hi,bound_at_1pct_fpr,tpr01,tpr01_ci_hi,bound_at_0.1pct_fpr,audit_passed
cifar100,U1,1.0,1.0,1e-05,1024,51325,51175,0.4996744287138271,0.009547004383828543,0.010426342843852649,0.027192818284590452,0.0008377983438869947,0.0011283448194833905,0.0027282818284590452,1
cifar100,U1,4.0,1.0,1e-05,1024,51355,51145,0.49858841772746904,0.008704118391587965,0.009545628870125862,0.5459915003314423,0.000798364326745205,0.0010829171637655717,0.05460815003314424,1
cifar100,U1,inf,1.0,1e-05,1024,51266,51234,0.9926301011734181,0.871142667654976,0.8740315814781723,1.0,0.7555884992002497,0.7593036490795005,1.0,1
