dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cifar100,m3_fot,1,5,9,4,0.675,0.6645
cifar100,m3_fot,1,6,6,0,0.914,0.9045
cifar100,m3_fot,1,6,7,1,0.798,0.795
cifar100,m3_fot,1,6,8,2,0.773,0.78375
cifar100,m3_fot,1,6,9,3,0.766,0.77625
cifar100,m3_fot,1,7,7,0,0.913,0.91525
cifar100,m3_fot,1,7,8,1,0.716,0.71225
cifar100,m3_fot,1,7,9,2,0.713,0.71625
cifar100,m3_fot,1,8,8,0,0.917,0.9215
cifar100,m3_fot,1,8,9,1,0.789,0.813
cifar100,m3_fot,1,9,9,0,0.92,0.9255
cifar100,m3_fot,2,0,0,0,0.952,0.95
cifar100,m3_fot,2,0,1,1,0.827,0.82425
cifar100,m3_fot,2,0,2,2,0.735,0.732
cifar100,m3_fot,2,0,3,3,0.696,0.69025
cifar100,m3_fot,2,0,4,4,0.691,0.68125
cifar100,m3_fot,2,0,5,5,0.73,0.71075
cifar100,m3_fot,2,0,6,6,0.729,0.71475
cifar100,m3_fot,2,0,7,7,0.736,0.72775
cifar100,m3_fot,2,0,8,8,0.741,0.72925
cifar100,m3_fot,2,0,9,9,0.671,0.64875
cifar100,m3_fot,2,1,1,0,0.858,0.8465
cifar100,m3_fot,2,1,2,1,0.798,0.79725
cifar100,m3_fot,2,1,3,2,0.724,0.741
cifar100,m3_fot,2,1,4,3,0.753,0.7765
cifar100,m3_fot,2,1,5,4,0.772,0.8
cifar100,m3_fot,2,1,6,5,0.8,0.82025
cifar100,m3_fot,2,1,7,6,0.778,0.80075
cifar100,m3_fot,2,1,8,7,0.786,0.7975
cifar100,m3_fot,2,1,9,8,0.767,0.78825
cifar100,m3_fot,2,2,2,0,0.827,0.8395
cifar100,m3_fot,2,2,3,1,0.758,0.7705
cifar100,m3_fot,2,2,4,2,0.679,0.702
cifar100,m3_fot,2,2,5,3,0.705,0.73225
cifar100,m3_fot,2,2,6,4,0.752,0.76675
cifar100,m3_fot,2,2,7,5,0.751,0.7595
cifar100,m3_fot,2,2,8,6,0.733,0.74375
cifar100,m3_fot,2,2,9,7,0.698,0.70575
cifar100,m3_fot,2,3,3,0,0.892,0.9
cifar100,m3_fot,2,3,4,1,0.738,0.74925
cifar100,m3_fot,2,3,5,2,0.758,0.76775
cifar100,m3_fot,2,3,6,3,0.676,0.69025
cifar100,m3_fot,2,3,7,4,0.676,0.68825
cifar100,m3_fot,2,3,8,5,0.698,0.70125
cifar100,m3_fot,2,3,9,6,0.701,0.7
cifar100,m3_fot,2,4,4,0,0.89,0.89525
cifar100,m3_fot,2,4,5,1,0.62,0.62625
cifar100,m3_fot,2,4,6,2,0.59,0.59425
cifar100,m3_fot,2,4,7,3,0.552,0.56375
cifar100,m3_fot,2,4,8,4,0.575,0.58875
cifar100,m3_fot,2,4,9,5,0.557,0.5675
cifar100,m3_fot,2,5,5,0,0.914,0.91675
cifar100,m3_fot,2,5,6,1,0.744,0.76875
cifar100,m3_fot,2,5,7,2,0.711,0.735
cifar100,m3_fot,2,5,8,3,0.705,0.72975
cifar100,m3_fot,2,5,9,4,0.687,0.7225
cifar100,m3_fot,2,6,6,0,0.932,0.92925
cifar100,m3_fot,2,6,7,1,0.865,0.8615
cifar100,m3_fot,2,6,8,2,0.837,0.841
cifar100,m3_fot,2,6,9,3,0.779,0.79175
cifar100,m3_fot,2,7,7,0,0.928,0.92925
cifar100,m3_fot,2,7,8,1,0.878,0.871
cifar100,m3_fot,2,7,9,2,0.856,0.83525
cifar100,m3_fot,2,8,8,0,0.899,0.908
cifar100,m3_fot,2,8,9,1,0.769,0.77925
cifar100,m3_fot,2,9,9,0,0.918,0.914
cifar100,m3_fot,3,0,0,0,0.953,0.95
cifar100,m3_fot,3,0,1,1,0.759,0.76975
cifar100,m3_fot,3,0,2,2,0.771,0.782
cifar100,m3_fot,3,0,3,3,0.732,0.73725
cifar100,m3_fot,3,0,4,4,0.756,0.751
cifar100,m3_fot,3,0,5,5,0.727,0.7295
cifar100,m3_fot,3,0,6,6,0.737,0.73275
cifar100,m3_fot,3,0,7,7,0.742,0.7345
cifar100,m3_fot,3,0,8,8,0.728,0.7255
cifar100,m3_fot,3,0,9,9,0.686,0.697
cifar100,m3_fot,3,1,1,0,0.901,0.90825
cifar100,m3_fot,3,1,2,1,0.785,0.785
cifar100,m3_fot,3,1,3,2,0.776,0.8
cifar100,m3_fot,3,1,4,3,0.75,0.764
cifar100,m3_fot,3,1,5,4,0.76,0.78
cifar100,m3_fot,3,1,6,5,0.752,0.75925
cifar100,m3_fot,3,1,7,6,0.737,0.7505
cifar100,m3_fot,3,1,8,7,0.723,0.73875
cifar100,m3_fot,3,1,9,8,0.66,0.67225
cifar100,m3_fot,3,2,2,0,0.921,0.93425
cifar100,m3_fot,3,2,3,1,0.847,0.85525
cifar100,m3_fot,3,2,4,2,0.833,0.828
cifar100,m3_fot,3,2,5,3,0.828,0.8285
cifar100,m3_fot,3,2,6,4,0.822,0.83
cifar100,m3_fot,3,2,7,5,0.813,0.81825
cifar100,m3_fot,3,2,8,6,0.843,0.85
cifar100,m3_fot,3,2,9,7,0.817,0.82125
cifar100,m3_fot,3,3,3,0,0.928,0.9325
cifar100,m3_fot,3,3,4,1,0.82,0.8165
cifar100,m3_fot,3,3,5,2,0.717,0.729
cifar100,m3_fot,3,3,6,3,0.76,0.77175
cifar100,m3_fot,3,3,7,4,0.727,0.7405
cifar100,m3_fot,3,3,8,5,0.768,0.775
cifar100,m3_fot,3,3,9,6,0.751,0.7565
cifar100,m3_fot,3,4,4,0,0.839,0.83725
cifar100,m3_fot,3,4,5,1,0.71,0.7235
cifar100,m3_fot,3,4,6,2,0.667,0.6835
cifar100,m3_fot,3,4,7,3,0.714,0.7245
cifar100,m3_fot,3,4,8,4,0.653,0.67425
cifar100,m3_fot,3,4,9,5,0.641,0.658
cifar100,m3_fot,3,5,5,0,0.902,0.914
cifar100,m3_fot,3,5,6,1,0.729,0.73525
cifar100,m3_fot,3,5,7,2,0.7,0.722
cifar100,m3_fot,3,5,8,3,0.71,0.726
cifar100,m3_fot,3,5,9,4,0.704,0.7205
cifar100,m3_fot,3,6,6,0,0.925,0.90925
cifar100,m3_fot,3,6,7,1,0.703,0.7155
cifar100,m3_fot,3,6,8,2,0.684,0.68825
cifar100,m3_fot,3,6,9,3,0.675,0.68325
cifar100,m3_fot,3,7,7,0,0.955,0.94425
cifar100,m3_fot,3,7,8,1,0.849,0.84025
cifar100,m3_fot,3,7,9,2,0.832,0.829
cifar100,m3_fot,3,8,8,0,0.901,0.904
cifar100,m3_fot,3,8,9,1,0.69,0.7125
cifar100,m3_fot,3,9,9,0,0.886,0.87225
cifar100,m3_fot,4,0,0,0,0.9,0.9125
cifar100,m3_fot,4,0,1,1,0.82,0.83025
cifar100,m3_fot,4,0,2,2,0.793,0.796
cifar100,m3_fot,4,0,3,3,0.804,0.81875
cifar100,m3_fot,4,0,4,4,0.717,0.75275
cifar100,m3_fot,4,0,5,5,0.703,0.73725
cifar100,m3_fot,4,0,6,6,0.714,0.74725
cifar100,m3_fot,4,0,7,7,0.721,0.7465
cifar100,m3_fot,4,0,8,8,0.696,0.72375
cifar100,m3_fot,4,0,9,9,0.709,0.7355
cifar100,m3_fot,4,1,1,0,0.931,0.94575
cifar100,m3_fot,4,1,2,1,0.68,0.69675
cifar100,m3_fot,4,1,3,2,0.572,0.58925
cifar100,m3_fot,4,1,4,3,0.658,0.67825
cifar100,m3_fot,4,1,5,4,0.677,0.71
cifar100,m3_fot,4,1,6,5,0.731,0.757
cifar100,m3_fot,4,1,7,6,0.711,0.7275
cifar100,m3_fot,4,1,8,7,0.737,0.753
cifar100,m3_fot,4,1,9,8,0.752,0.758
cifar100,m3_fot,4,2,2,0,0.897,0.90825
cifar100,m3_fot,4,2,3,1,0.786,0.7965
cifar100,m3_fot,4,2,4,2,0.801,0.80775
cifar100,m3_fot,4,2,5,3,0.786,0.78925
cifar100,m3_fot,4,2,6,4,0.76,0.77
cifar100,m3_fot,4,2,7,5,0.756,0.7695
cifar100,m3_fot,4,2,8,6,0.777,0.7845
cifar100,m3_fot,4,2,9,7,0.761,0.77225
cifar100,m3_fot,4,3,3,0,0.935,0.94125
cifar100,m3_fot,4,3,4,1,0.765,0.77175
cifar100,m3_fot,4,3,5,2,0.79,0.79575
cifar100,m3_fot,4,3,6,3,0.79,0.79125
cifar100,m3_fot,4,3,7,4,0.772,0.783
cifar100,m3_fot,4,3,8,5,0.786,0.7875
cifar100,m3_fot,4,3,9,6,0.788,0.78975
cifar100,m3_fot,4,4,4,0,0.932,0.9305
cifar100,m3_fot,4,4,5,1,0.801,0.801
cifar100,m3_fot,4,4,6,2,0.82,0.8215
cifar100,m3_fot,4,4,7,3,0.745,0.74675
cifar100,m3_fot,4,4,8,4,0.777,0.76925
cifar100,m3_fot,4,4,9,5,0.726,0.73175
cifar100,m3_fot,4,5,5,0,0.914,0.90575
cifar100,m3_fot,4,5,6,1,0.747,0.732
cifar100,m3_fot,4,5,7,2,0.73,0.72325
cifar100,m3_fot,4,5,8,3,0.699,0.687
cifar100,m3_fot,4,5,9,4,0.713,0.69525
cifar100,m3_fot,4,6,6,0,0.893,0.90325
cifar100,m3_fot,4,6,7,1,0.815,0.81875
cifar100,m3_fot,4,6,8,2,0.805,0.8125
cifar100,m3_fot,4,6,9,3,0.812,0.8245
cifar100,m3_fot,4,7,7,0,0.905,0.91175
cifar100,m3_fot,4,7,8,1,0.682,0.68775
cifar100,m3_fot,4,7,9,2,0.661,0.66875
cifar100,m3_fot,4,8,8,0,0.882,0.882
cifar100,m3_fot,4,8,9,1,0.816,0.81425
cifar100,m3_fot,4,9,9,0,0.874,0.87875
