dataset,method,replay_weight,lr,val_pass,final_avg_acc,last_task_acc,bwt,aia
imagenet_r,m1_glfc,0.5,0.1,False,0.555837314388432,0.34195385607347045,0.10720870617235638,0.5896359596407028
imagenet_r,m1_glfc,0.5,0.5,False,0.5731457349471172,0.3388113639066443,0.11896029440129312,0.5896910930520952
imagenet_r,m1_glfc,1.0,0.1,False,0.5613585167509193,0.3244880425276821,0.11766742161542072,0.5941760775225183
imagenet_r,m1_glfc,1.0,0.5,False,0.5962673256477227,0.3403432654660519,0.14671456917058986,0.6073224269697468
imagenet_r,m1_glfc,2.0,0.1,False,0.5708750557632214,0.35481954239001673,0.12140688151195213,0.6011619422350676
imagenet_r,m1_glfc,2.0,0.5,False,0.6034455038369541,0.37028204819124405,0.14844442670848804,0.6177686223929476
imagenet_r,m2_target,0.5,0.1,False,0.623147545322498,0.4213334962126513,0.1331058589908378,0.6566596263988148
imagenet_r,m2_target,0.5,0.5,False,0.614284099100522,0.3997679778721435,0.1406754778373105,0.6495607277824501
imagenet_r,m2_target,1.0,0.1,False,0.6216443657581684,0.39057608311375636,0.14610092047819373,0.6570623961044797
imagenet_r,m2_target,1.0,0.5,False,0.614528627579662,0.36197911315447345,0.15644740411997435,0.6506414110487072
imagenet_r,m2_target,2.0,0.1,False,0.6203072706350855,0.3778840088914848,0.15522838123022722,0.6531602397743627
imagenet_r,m2_target,2.0,0.5,False,0.6151395691064657,0.34904309749001355,0.16359426461737256,0.6496936004017133
imagenet_r,m5_hybrid_replay,0.5,0.1,False,0.6374392059309387,0.452452776458653,0.08310345945214313,0.6670800317295278
imagenet_r,m5_hybrid_replay,0.5,0.5,False,0.6276330456945419,0.41531728972050824,0.0929841999374749,0.6587548244130148
imagenet_r,m5_hybrid_replay,1.0,0.1,False,0.640761486134082,0.4437281080353707,0.08916866596837847,0.6679081091944156
imagenet_r,m5_hybrid_replay,1.0,0.5,False,0.6327254047549425,0.4192392025709044,0.09551532159895369,0.6607704127350289
imagenet_r,m5_hybrid_replay,2.0,0.1,False,0.6435346229907708,0.46681741093615964,0.0917378339866924,0.6687143479313997
imagenet_r,m5_hybrid_replay,2.0,0.5,False,0.6372701187283795,0.44076340781286777,0.09762117454706683,0.666233076179083
