method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,11,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,13,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,16,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,19,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,23,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,28,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,34,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,41,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,49,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,60,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,72,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,87,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,105,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,127,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,153,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,184,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,222,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,268,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,324,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,391,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,472,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,569,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,687,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,829,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,1000,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,2,4.0,62.0,5.298525913621841,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,3,6.0,93.0,6.627064838413654,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,4,6.0,93.0,6.627064838413654,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,5,6.0,93.0,6.627064838413654,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,6,6.0,93.0,6.627064838413654,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,7,6.0,93.0,6.627064838413654,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,8,6.0,93.0,6.627064838413654,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,9,6.0,93.0,6.627064838413654,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,10,6.0,93.0,6.627064838413654,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,11,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,13,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,16,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,19,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,23,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,28,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,34,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,41,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,49,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,60,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,72,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,87,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,105,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,127,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,153,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,184,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,222,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,268,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,324,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,391,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,472,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,569,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,687,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,829,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U3,3,2.0,1e-05,1000,6.0,nan,6.627064838413654,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,2,4.0,62.0,5.298525913621841,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,3,6.0,93.0,6.627064838413654,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,4,8.0,124.0,7.786148140875069,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,5,10.0,155.0,8.837137179629,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,6,12.0,186.0,9.811302669989779,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,7,14.0,217.0,10.727493607361541,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,8,16.0,248.0,11.597073111012214,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,9,18.0,279.0,12.429255783705855,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,10,20.0,310.0,13.230019140012296,accumulating,1
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,11,22.0,nan,14.00355442581983,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,13,26.0,nan,15.484581546057857,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,16,32.0,nan,17.572818052042024,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,19,38.0,nan,19.54041303075243,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,23,46.00000000000001,nan,22.02267769906763,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,28,56.00000000000001,nan,24.95475168674332,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,34,68.00000000000001,nan,28.287921514591282,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,41,82.00000000000001,nan,31.977383847246536,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,49,98.00000000000001,nan,36.00296953997069,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,60,120.00000000000003,nan,41.28364511615619,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,72,144.00000000000003,nan,46.80211497152102,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,87,174.00000000000003,nan,53.39927427762436,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,105,210.00000000000003,nan,61.03463698874844,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,127,254.00000000000006,nan,69.98922843386907,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,153,306.00000000000006,nan,80.22080138854307,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,184,368.00000000000006,nan,92.0298610288898,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,222,444.0000000000001,nan,106.06038232780433,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,268,536.0000000000001,nan,122.54763148300526,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,324,648.0000000000001,nan,142.08210498020384,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,391,782.0000000000001,nan,164.9297942994614,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,472,944.0000000000002,nan,191.78597520398404,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,569,1138.0000000000002,nan,223.19332006566768,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,687,1374.0000000000002,nan,260.98445071893406,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,829,1658.0000000000005,nan,304.9445301109602,accumulating,0
M2,cifar100,10,934940b0d31b7a5d,U4,3,2.0,1e-05,1000,2000.0000000000005,nan,357.7783743320657,accumulating,0
