dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cifar100,m3_fot,F1,full,acc,0,0.9089499999999999,0.8861987500000003,0.92680125,1.0,1.0,1.0,5
cifar100,m3_fot,F1,full,acc,1,0.78865,0.7637987500000001,0.8118012500000001,0.8829456158095383,0.8522025388293121,0.9114271405924289,5
cifar100,m3_fot,F1,full,acc,2,0.7530000000000001,0.7219474999999999,0.7784512499999998,0.8510658990119034,0.8134735360458851,0.8780481543176364,5
cifar100,m3_fot,F1,full,acc,3,0.7572999999999999,0.72439625,0.78530625,0.8616415289371019,0.8283937534908935,0.8928528645806864,5
cifar100,m3_fot,F1,full,acc,4,0.7513500000000001,0.7232987500000002,0.7794512499999999,0.8583446332707205,0.8250227602173699,0.8943076308878078,5
cifar100,m3_fot,F1,full,acc,5,0.7501500000000001,0.7341987500000002,0.7675000000000001,0.8595376102670118,0.841824271802624,0.8830113275583742,5
cifar100,m3_fot,F1,full,acc,6,0.74685,0.7286499999999999,0.7665087500000001,0.8576314405011983,0.8392888570837514,0.8781208535508751,5
