dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cub200,m3_fot,F1,full,leak_tpr1,0,0.06224797975675455,0.05238707617749178,0.0737024149717336,1.0,1.0,1.0,3
cub200,m3_fot,F1,full,leak_tpr1,1,0.06693331156640274,0.05444380707568589,0.08203553338961163,1.0896748894686685,0.9710797037717454,1.1720787639039985,3
cub200,m3_fot,F1,full,leak_tpr1,2,0.07134111501101952,0.05910326876367817,0.08439025429307166,1.1740380259026075,1.0538903805861417,1.2786412654915986,3
cub200,m3_fot,F1,full,leak_tpr1,3,0.0758305444453514,0.06321651981094512,0.09046270603839461,1.2599634426408788,1.1201039658763934,1.385508847479055,3
cub200,m3_fot,F1,full,leak_tpr1,4,0.0812341849644927,0.06752245494462228,0.09681073438802652,1.3633863987876707,1.1933363181966588,1.500176378460399,3
cub200,m3_fot,F1,full,leak_tpr1,5,0.0852828340543629,0.071310156289284,0.10309972357204826,1.4408755018825479,1.2538062466871402,1.6119062043397652,3
cub200,m3_fot,F1,full,leak_tpr1,6,0.09044159660435883,0.07513524937286904,0.10996532044266179,1.5396116171163432,1.3297736171246246,1.7281708505388786,3
cub200,m3_fot,F1,full,leak_auc,0,0.680472826328614,0.6649295228680601,0.6979075200618753,1.0,1.0,1.0,3
cub200,m3_fot,F1,full,leak_auc,1,0.691715003818654,0.6758729666073674,0.7084693537536708,1.0622929097900293,1.0492661650645558,1.0777581883815872,3
cub200,m3_fot,F1,full,leak_auc,2,0.7001726445536359,0.6825954222838224,0.7190583426869669,1.109156700350841,1.0928014735611222,1.1272333952018165,3
cub200,m3_fot,F1,full,leak_auc,3,0.7093013917155232,0.691761103286177,0.7300032249314232,1.1597390918808832,1.1348976434680926,1.1846624635773764,3
cub200,m3_fot,F1,full,leak_auc,4,0.7183060644646757,0.7010864927249966,0.7397458461046044,1.2096339870423094,1.1729606899364773,1.2461563119787573,3
cub200,m3_fot,F1,full,leak_auc,5,0.725879470663025,0.7081908126699513,0.7476987844483166,1.2515982336960374,1.2064182731155222,1.2980015564322578,3
cub200,m3_fot,F1,full,leak_auc,6,0.7315587916759787,0.7138059420002725,0.7532251021674374,1.2830673536100372,1.236263788271865,1.3328535524255636,3
