dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cifar100,m1_glfc,2,4,6,2,0.826,0.82675
cifar100,m1_glfc,2,4,7,3,0.834,0.83425
cifar100,m1_glfc,2,4,8,4,0.828,0.8325
cifar100,m1_glfc,2,4,9,5,0.836,0.83825
cifar100,m1_glfc,2,5,5,0,0.864,0.882
cifar100,m1_glfc,2,5,6,1,0.846,0.87375
cifar100,m1_glfc,2,5,7,2,0.858,0.873
cifar100,m1_glfc,2,5,8,3,0.861,0.87025
cifar100,m1_glfc,2,5,9,4,0.858,0.86275
cifar100,m1_glfc,2,6,6,0,0.842,0.853
cifar100,m1_glfc,2,6,7,1,0.857,0.869
cifar100,m1_glfc,2,6,8,2,0.854,0.8655
cifar100,m1_glfc,2,6,9,3,0.863,0.87075
cifar100,m1_glfc,2,7,7,0,0.813,0.82275
cifar100,m1_glfc,2,7,8,1,0.837,0.85175
cifar100,m1_glfc,2,7,9,2,0.847,0.866
cifar100,m1_glfc,2,8,8,0,0.827,0.844
cifar100,m1_glfc,2,8,9,1,0.851,0.85625
cifar100,m1_glfc,2,9,9,0,0.789,0.79925
cifar100,m1_glfc,3,0,0,0,0.953,0.95
cifar100,m1_glfc,3,0,1,1,0.885,0.8865
cifar100,m1_glfc,3,0,2,2,0.894,0.8935
cifar100,m1_glfc,3,0,3,3,0.896,0.896
cifar100,m1_glfc,3,0,4,4,0.9,0.89725
cifar100,m1_glfc,3,0,5,5,0.9,0.89875
cifar100,m1_glfc,3,0,6,6,0.89,0.89475
cifar100,m1_glfc,3,0,7,7,0.877,0.886
cifar100,m1_glfc,3,0,8,8,0.876,0.88575
cifar100,m1_glfc,3,0,9,9,0.86,0.8625
cifar100,m1_glfc,3,1,1,0,0.896,0.897
cifar100,m1_glfc,3,1,2,1,0.888,0.88875
cifar100,m1_glfc,3,1,3,2,0.879,0.87875
cifar100,m1_glfc,3,1,4,3,0.877,0.87325
cifar100,m1_glfc,3,1,5,4,0.875,0.87525
cifar100,m1_glfc,3,1,6,5,0.865,0.87075
cifar100,m1_glfc,3,1,7,6,0.861,0.8715
cifar100,m1_glfc,3,1,8,7,0.857,0.86625
cifar100,m1_glfc,3,1,9,8,0.852,0.8625
cifar100,m1_glfc,3,2,2,0,0.869,0.88875
cifar100,m1_glfc,3,2,3,1,0.884,0.902
cifar100,m1_glfc,3,2,4,2,0.885,0.90475
cifar100,m1_glfc,3,2,5,3,0.879,0.905
cifar100,m1_glfc,3,2,6,4,0.881,0.90525
cifar100,m1_glfc,3,2,7,5,0.875,0.90075
cifar100,m1_glfc,3,2,8,6,0.876,0.902
cifar100,m1_glfc,3,2,9,7,0.877,0.901
cifar100,m1_glfc,3,3,3,0,0.861,0.87025
cifar100,m1_glfc,3,3,4,1,0.863,0.875
cifar100,m1_glfc,3,3,5,2,0.853,0.86625
cifar100,m1_glfc,3,3,6,3,0.863,0.875
cifar100,m1_glfc,3,3,7,4,0.852,0.85975
cifar100,m1_glfc,3,3,8,5,0.863,0.868
cifar100,m1_glfc,3,3,9,6,0.853,0.85425
cifar100,m1_glfc,3,4,4,0,0.781,0.78525
cifar100,m1_glfc,3,4,5,1,0.81,0.80825
cifar100,m1_glfc,3,4,6,2,0.804,0.815
cifar100,m1_glfc,3,4,7,3,0.808,0.82875
cifar100,m1_glfc,3,4,8,4,0.827,0.8345
cifar100,m1_glfc,3,4,9,5,0.833,0.839
cifar100,m1_glfc,3,5,5,0,0.831,0.834
cifar100,m1_glfc,3,5,6,1,0.847,0.8455
cifar100,m1_glfc,3,5,7,2,0.84,0.84225
cifar100,m1_glfc,3,5,8,3,0.85,0.85025
cifar100,m1_glfc,3,5,9,4,0.848,0.8565
cifar100,m1_glfc,3,6,6,0,0.774,0.7785
cifar100,m1_glfc,3,6,7,1,0.801,0.79425
cifar100,m1_glfc,3,6,8,2,0.812,0.80875
cifar100,m1_glfc,3,6,9,3,0.831,0.82325
cifar100,m1_glfc,3,7,7,0,0.908,0.89775
cifar100,m1_glfc,3,7,8,1,0.914,0.90825
cifar100,m1_glfc,3,7,9,2,0.919,0.91225
cifar100,m1_glfc,3,8,8,0,0.75,0.753
cifar100,m1_glfc,3,8,9,1,0.768,0.77575
cifar100,m1_glfc,3,9,9,0,0.763,0.77475
cifar100,m1_glfc,4,0,0,0,0.9,0.9125
cifar100,m1_glfc,4,0,1,1,0.854,0.8625
cifar100,m1_glfc,4,0,2,2,0.879,0.884
cifar100,m1_glfc,4,0,3,3,0.883,0.89525
cifar100,m1_glfc,4,0,4,4,0.867,0.887
cifar100,m1_glfc,4,0,5,5,0.871,0.887
cifar100,m1_glfc,4,0,6,6,0.872,0.87975
cifar100,m1_glfc,4,0,7,7,0.87,0.87675
cifar100,m1_glfc,4,0,8,8,0.868,0.87675
cifar100,m1_glfc,4,0,9,9,0.865,0.8765
cifar100,m1_glfc,4,1,1,0,0.898,0.925
cifar100,m1_glfc,4,1,2,1,0.891,0.91075
cifar100,m1_glfc,4,1,3,2,0.863,0.883
cifar100,m1_glfc,4,1,4,3,0.865,0.88075
cifar100,m1_glfc,4,1,5,4,0.845,0.86725
cifar100,m1_glfc,4,1,6,5,0.839,0.86075
cifar100,m1_glfc,4,1,7,6,0.83,0.851
cifar100,m1_glfc,4,1,8,7,0.835,0.85225
cifar100,m1_glfc,4,1,9,8,0.836,0.85375
cifar100,m1_glfc,4,2,2,0,0.797,0.82375
cifar100,m1_glfc,4,2,3,1,0.838,0.86
cifar100,m1_glfc,4,2,4,2,0.874,0.891
cifar100,m1_glfc,4,2,5,3,0.868,0.89175
cifar100,m1_glfc,4,2,6,4,0.885,0.90175
cifar100,m1_glfc,4,2,7,5,0.891,0.90975
cifar100,m1_glfc,4,2,8,6,0.895,0.91125
cifar100,m1_glfc,4,2,9,7,0.889,0.905
cifar100,m1_glfc,4,3,3,0,0.878,0.8935
cifar100,m1_glfc,4,3,4,1,0.879,0.8965
cifar100,m1_glfc,4,3,5,2,0.876,0.89675
cifar100,m1_glfc,4,3,6,3,0.883,0.89825
cifar100,m1_glfc,4,3,7,4,0.884,0.90025
cifar100,m1_glfc,4,3,8,5,0.891,0.8985
cifar100,m1_glfc,4,3,9,6,0.887,0.901
cifar100,m1_glfc,4,4,4,0,0.887,0.88825
cifar100,m1_glfc,4,4,5,1,0.892,0.886
cifar100,m1_glfc,4,4,6,2,0.903,0.89725
cifar100,m1_glfc,4,4,7,3,0.899,0.895
cifar100,m1_glfc,4,4,8,4,0.899,0.8955
cifar100,m1_glfc,4,4,9,5,0.897,0.89075
cifar100,m1_glfc,4,5,5,0,0.856,0.85225
cifar100,m1_glfc,4,5,6,1,0.856,0.8465
cifar100,m1_glfc,4,5,7,2,0.86,0.8565
cifar100,m1_glfc,4,5,8,3,0.863,0.84925
cifar100,m1_glfc,4,5,9,4,0.866,0.84975
cifar100,m1_glfc,4,6,6,0,0.849,0.86025
cifar100,m1_glfc,4,6,7,1,0.858,0.86025
cifar100,m1_glfc,4,6,8,2,0.85,0.86325
cifar100,m1_glfc,4,6,9,3,0.859,0.868
cifar100,m1_glfc,4,7,7,0,0.822,0.81875
cifar100,m1_glfc,4,7,8,1,0.811,0.813
cifar100,m1_glfc,4,7,9,2,0.806,0.81925
cifar100,m1_glfc,4,8,8,0,0.782,0.79475
cifar100,m1_glfc,4,8,9,1,0.812,0.825
cifar100,m1_glfc,4,9,9,0,0.734,0.72925
