dataset,method,family,attack,fpr,tpr,seed
cifar100,m0_fedavg,F1,A1_LiRA,0.0016070528182616384,0.010909358049783895,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0016831803533309566,0.011105261224639722,0
cifar100,m0_fedavg,F1,A1_LiRA,0.001762914118095948,0.011239944657353102,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0018464249428955426,0.011497067574351377,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0019338917504552321,0.01176643443977814,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0020255019392306666,0.011962337614633967,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00212145178491063,0.012341900015917133,0
cifar100,m0_fedavg,F1,A1_LiRA,0.002221946860939524,0.012501071345487494,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0023272024789604074,0.012635754778200874,0
cifar100,m0_fedavg,F1,A1_LiRA,0.002437444150122222,0.013088780870054975,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0025529080682395165,0.013505075116623608,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0026738416158399465,0.013676490394622457,0
cifar100,m0_fedavg,F1,A1_LiRA,0.002800503894183631,0.013933613311620732,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0029331662783900424,0.014313175712903897,0
cifar100,m0_fedavg,F1,A1_LiRA,0.003072112998861759,0.014594786526759149,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0032176417502507355,0.014864153392185912,0
cifar100,m0_fedavg,F1,A1_LiRA,0.003370064329271928,0.015145764206041164,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00352970730273065,0.015635522143180734,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0036969127071950283,0.016100792183463324,0
cifar100,m0_fedavg,F1,A1_LiRA,0.003872038781812557,0.016553818275317423,0
cifar100,m0_fedavg,F1,A1_LiRA,0.004055460735840828,0.016982356470314548,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0042475715525368985,0.01755782204645354,0
cifar100,m0_fedavg,F1,A1_LiRA,0.004448782831127585,0.017937384447736706,0
cifar100,m0_fedavg,F1,A1_LiRA,0.004659525668664682,0.01837816659116232,0
cifar100,m0_fedavg,F1,A1_LiRA,0.004880251583654433,0.01895363216730131,0
cifar100,m0_fedavg,F1,A1_LiRA,0.005111433483440166,0.019333194568584476,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0053535666774107244,0.019822952505724047,0
cifar100,m0_fedavg,F1,A1_LiRA,0.005607169938205458,0.020324954391292106,0
cifar100,m0_fedavg,F1,A1_LiRA,0.005872786613189483,0.020912663915859588,0
cifar100,m0_fedavg,F1,A1_LiRA,0.006150985788580504,0.02130447026557124,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00644236350872137,0.022026863222852106,0
cifar100,m0_fedavg,F1,A1_LiRA,0.006747544053110693,0.022626816695848078,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0070671812739274914,0.02304311094241671,0
cifar100,m0_fedavg,F1,A1_LiRA,0.007401959996915644,0.023655308363841172,0
cifar100,m0_fedavg,F1,A1_LiRA,0.007752597488629464,0.02434096947583657,0
cifar100,m0_fedavg,F1,A1_LiRA,0.008119844993184008,0.025614340112399447,0
cifar100,m0_fedavg,F1,A1_LiRA,0.008504489341802677,0.026226537533823906,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00890735463861044,0.02694893049110477,0
