dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
cub200,m9_contractive,U1,0.5,1.0,10,0,32,10.0,14.327236358800086,0.010301385860607847,-0.011951973848860419,0.027319297549674985
cub200,m9_contractive,U1,0.5,1.0,10,1,32,10.0,14.327236358800086,0.009384523720001462,-0.020447418609331882,0.03767915633611224
cub200,m9_contractive,U1,0.5,1.0,10,2,32,10.0,14.327236358800086,0.0042389652921146475,-0.024666088184963735,0.030134935767502823
cub200,m9_contractive,U1,0.5,0.9,10,0,32,10.0,14.327236358800086,0.009426270225548171,-0.016763699061599704,0.027549532397304722
cub200,m9_contractive,U1,0.5,0.9,10,1,32,10.0,14.327236358800086,0.013926077897797845,-0.021278156539899354,0.039016036335837966
cub200,m9_contractive,U1,0.5,0.9,10,2,32,10.0,14.327236358800086,0.005324111209996217,-0.02816636378561914,0.03113325393745947
cub200,m9_contractive,U1,0.5,0.7,10,0,32,10.0,14.327236358800086,0.00788856396541069,-0.021930685436470296,0.026523435603754315
cub200,m9_contractive,U1,0.5,0.7,10,1,32,10.0,14.327236358800086,0.00895147146537744,-0.03231160560412481,0.03760754090221093
cub200,m9_contractive,U1,0.5,0.7,10,2,32,10.0,14.327236358800086,0.00998536734180271,-0.02999530067478025,0.031499248303435354
cub200,m9_contractive,U1,1,1.0,10,0,64,100.0,12.690162952890445,0.016133107695066654,-0.10317504777567456,0.10839430542811616
cub200,m9_contractive,U1,1,1.0,10,1,64,100.0,12.690162952890445,0.011459699781185889,-0.09803299469720667,0.08060429877065184
cub200,m9_contractive,U1,1,1.0,10,2,64,100.0,12.690162952890445,0.02479135016110474,-0.06956061213745623,0.10150760415925215
cub200,m9_contractive,U1,1,0.9,10,0,64,100.0,12.690162952890445,0.014828141877175058,-0.12152241025474075,0.10579737447172133
cub200,m9_contractive,U1,1,0.9,10,1,64,100.0,12.690162952890445,0.012023647108485854,-0.12076250007450216,0.08364488763714949
cub200,m9_contractive,U1,1,0.9,10,2,64,100.0,12.690162952890445,0.026097978007644112,-0.09141252841661639,0.10280513840378953
cub200,m9_contractive,U1,1,0.7,10,0,64,100.0,12.690162952890445,0.02044727171399387,-0.1874980769846409,0.10849613000242453
cub200,m9_contractive,U1,1,0.7,10,1,64,100.0,12.690162952890445,0.022228415735909855,-0.2105398693311397,0.09666235449244327
cub200,m9_contractive,U1,1,0.7,10,2,64,100.0,12.690162952890445,0.025512282220175174,-0.16450912086341624,0.10620573184782345
cub200,m9_contractive,U1,2,1.0,10,0,64,100.0,12.690162952890445,0.052494817626282456,-0.20280274978688395,0.23083637931794948
cub200,m9_contractive,U1,2,1.0,10,1,64,100.0,12.690162952890445,0.03886907350852695,-0.22495258421248007,0.19859720106599477
cub200,m9_contractive,U1,2,1.0,10,2,64,100.0,12.690162952890445,0.05981600395870692,-0.16382688248255287,0.22226863743884864
cub200,m9_contractive,U1,2,0.9,10,0,64,100.0,12.690162952890445,0.05328147904722662,-0.2825771566848139,0.22977342615234836
cub200,m9_contractive,U1,2,0.9,10,1,64,100.0,12.690162952890445,0.052326069072494895,-0.3088003688590136,0.20664571186353725
cub200,m9_contractive,U1,2,0.9,10,2,64,100.0,12.690162952890445,0.06394547828142397,-0.2501545846491252,0.2259126847715376
cub200,m9_contractive,U1,2,0.7,10,0,64,100.0,12.690162952890445,0.08305319375143427,-0.4848910225413132,0.23210951251625217
cub200,m9_contractive,U1,2,0.7,10,1,64,100.0,12.690162952890445,0.07888709701848344,-0.5203796112794233,0.2207851613520398
cub200,m9_contractive,U1,2,0.7,10,2,64,100.0,12.690162952890445,0.07536373163843788,-0.5088350983960751,0.23351178181685847
cub200,m9_contractive,U1,4,1.0,10,0,64,10.0,12.690162952890445,0.09365659165953615,-0.28136823378325304,0.3517852151373314
cub200,m9_contractive,U1,4,1.0,10,1,64,10.0,12.690162952890445,0.07754063126033335,-0.2960243911920683,0.323957589439409
cub200,m9_contractive,U1,4,1.0,10,2,64,10.0,12.690162952890445,0.0937968130128943,-0.290069905038454,0.3533341885724275
cub200,m9_contractive,U1,4,0.9,10,0,64,10.0,12.690162952890445,0.10588338951457621,-0.3954727614183819,0.35853876146515173
cub200,m9_contractive,U1,4,0.9,10,1,64,10.0,12.690162952890445,0.10748267590705303,-0.41077502742794414,0.3348102810336744
cub200,m9_contractive,U1,4,0.9,10,2,64,10.0,12.690162952890445,0.11534228820076078,-0.4088153476967814,0.3667043130523697
cub200,m9_contractive,U1,4,0.7,10,0,64,10.0,12.690162952890445,0.12675393511648742,-0.6260565135521725,0.34744531468708556
cub200,m9_contractive,U1,4,0.7,10,1,64,10.0,12.690162952890445,0.13549512706254302,-0.647889933363442,0.3284355511035059
cub200,m9_contractive,U1,4,0.7,10,2,64,10.0,12.690162952890445,0.13716029390215131,-0.6799377801521094,0.3682709700111544
cub200,m9_contractive,U1,8,1.0,10,0,256,1.0,10.66112584306926,0.14534140947388133,-0.30894472612611307,0.4321876564656769
cub200,m9_contractive,U1,8,1.0,10,1,256,1.0,10.66112584306926,0.17153230062484484,-0.2913703736157644,0.4493285173730153
cub200,m9_contractive,U1,8,1.0,10,2,256,1.0,10.66112584306926,0.1668052469614289,-0.3504844949894136,0.44709475401916965
cub200,m9_contractive,U1,8,0.9,10,0,256,1.0,10.66112584306926,0.15128314615141814,-0.425937252838031,0.4334730983688207
cub200,m9_contractive,U1,8,0.9,10,1,256,1.0,10.66112584306926,0.1770679802998057,-0.4235227963051471,0.45194466220161483
cub200,m9_contractive,U1,8,0.9,10,2,256,1.0,10.66112584306926,0.16393336878469622,-0.4673134008296855,0.4472647688549964
cub200,m9_contractive,U1,8,0.7,10,0,256,1.0,10.66112584306926,0.1502688848273254,-0.6285834200532414,0.4039869647937319
cub200,m9_contractive,U1,8,0.7,10,1,256,1.0,10.66112584306926,0.15971011207950356,-0.6526273046954085,0.4224814888071605
cub200,m9_contractive,U1,8,0.7,10,2,256,1.0,10.66112584306926,0.156156730565578,-0.6800427510886674,0.42360953894547376
cub200,m9_contractive,U1,inf,1.0,10,0,768,1.0,10.46919772857376,0.8679961939022132,-0.049508950027052884,0.9178952013629619
cub200,m9_contractive,U1,inf,1.0,10,1,768,1.0,10.46919772857376,0.8677785359411644,-0.05365894736634965,0.9129547209056588
cub200,m9_contractive,U1,inf,1.0,10,2,768,1.0,10.46919772857376,0.8679542800785842,-0.06508243130621845,0.9151044416253503
cub200,m9_contractive,U1,inf,0.9,10,0,768,1.0,10.46919772857376,0.8080344841730062,-0.148628324672312,0.9001227860520424
cub200,m9_contractive,U1,inf,0.9,10,1,768,1.0,10.46919772857376,0.8003220153397926,-0.15804635040897513,0.8879171656092002
cub200,m9_contractive,U1,inf,0.9,10,2,768,1.0,10.46919772857376,0.7989262363275139,-0.1747389056533962,0.8945250264005191
cub200,m9_contractive,U1,inf,0.7,10,0,768,1.0,10.46919772857376,0.5326108708309713,-0.47507658946237385,0.7836085929858773
cub200,m9_contractive,U1,inf,0.7,10,1,768,1.0,10.46919772857376,0.528091534227894,-0.4819326233351422,0.7657865091821229
cub200,m9_contractive,U1,inf,0.7,10,2,768,1.0,10.46919772857376,0.529870130405382,-0.49031697836790183,0.77998193105971
cub200,m9_contractive,U2,0.5,1.0,10,0,32,0.01,14.327236358800086,0.003777493101686932,0.00036840457265244317,0.006039993634480415
cub200,m9_contractive,U2,0.5,1.0,10,1,32,0.01,14.327236358800086,0.0038831872525255467,-0.010810556125898693,0.018095102918638046
cub200,m9_contractive,U2,0.5,1.0,10,2,32,0.01,14.327236358800086,0.0021384061781504734,-0.007209466608446337,0.006158372559127866
cub200,m9_contractive,U2,0.5,0.9,10,0,32,0.01,14.327236358800086,0.004305268478842467,0.001164789271237126,0.007018345130862434
cub200,m9_contractive,U2,0.5,0.9,10,1,32,0.01,14.327236358800086,0.002708638120774468,-0.008913523655806017,0.018730299859816002
cub200,m9_contractive,U2,0.5,0.9,10,2,32,0.01,14.327236358800086,0.0047949559061126815,-0.004877801936192496,0.0070111440348736955
cub200,m9_contractive,U2,0.5,0.7,10,0,32,0.01,14.327236358800086,0.005492569403007829,0.0013641860124988495,0.008065826191152738
cub200,m9_contractive,U2,0.5,0.7,10,1,32,0.01,14.327236358800086,0.0035484808344410446,-0.00917080737408693,0.020549532337706806
cub200,m9_contractive,U2,0.5,0.7,10,2,32,0.01,14.327236358800086,0.005839608602234255,-0.0003210616216375414,0.008087948490462566
cub200,m9_contractive,U2,1,1.0,10,0,32,0.01,14.327236358800086,0.004796145224174048,0.00244845553670468,0.005907190784527361
cub200,m9_contractive,U2,1,1.0,10,1,32,0.01,14.327236358800086,0.004412814858265964,-0.010999424203291586,0.020180210664996184
cub200,m9_contractive,U2,1,1.0,10,2,32,0.01,14.327236358800086,0.0017658680882210794,-0.005935535311484409,0.006603252914009805
cub200,m9_contractive,U2,1,0.9,10,0,32,0.01,14.327236358800086,0.008546990037551452,0.0041968517106331675,0.008366603745922196
cub200,m9_contractive,U2,1,0.9,10,1,32,0.01,14.327236358800086,0.00607000261633704,-0.005579950046489448,0.01914705301992213
cub200,m9_contractive,U2,1,0.9,10,2,32,0.01,14.327236358800086,0.005013354018044831,-0.0036512228262628147,0.00837216189656647
cub200,m9_contractive,U2,1,0.7,10,0,32,0.01,14.327236358800086,0.005819814340642919,-0.0013123542340992866,0.008806721792997213
cub200,m9_contractive,U2,1,0.7,10,1,32,0.01,14.327236358800086,0.00522276324315397,-0.007674237979192097,0.02040436056905514
cub200,m9_contractive,U2,1,0.7,10,2,32,0.01,14.327236358800086,0.006017367287053174,-0.002499772995402762,0.008032805081135897
cub200,m9_contractive,U2,2,1.0,10,0,32,0.01,14.327236358800086,0.009577497253303226,0.005270356373116292,0.008612438129940638
cub200,m9_contractive,U2,2,1.0,10,1,32,0.01,14.327236358800086,0.004765496814712121,-0.011587663234827383,0.02034845130892097
cub200,m9_contractive,U2,2,1.0,10,2,32,0.01,14.327236358800086,0.0018776377723337804,-0.005189598690277016,0.007116837332877915
cub200,m9_contractive,U2,2,0.9,10,0,32,0.01,14.327236358800086,0.011919353553894828,0.006385598393247778,0.008911544778777534
cub200,m9_contractive,U2,2,0.9,10,1,32,0.01,14.327236358800086,0.008793901558001017,-0.003932575304626745,0.02067900096420313
cub200,m9_contractive,U2,2,0.9,10,2,32,0.01,14.327236358800086,0.0029335117574864635,-0.0053914846499747105,0.008105043921284059
cub200,m9_contractive,U2,2,0.7,10,0,32,0.01,14.327236358800086,0.006302605737737032,0.0018513879791139218,0.009970732069319182
cub200,m9_contractive,U2,2,0.7,10,1,32,0.01,14.327236358800086,0.005558296706841425,-0.007310879566285765,0.01986940884852018
cub200,m9_contractive,U2,2,0.7,10,2,32,0.01,14.327236358800086,0.006196966622774129,-0.0026571302518790967,0.008463144386558255
cub200,m9_contractive,U2,4,1.0,10,0,32,0.01,14.327236358800086,0.010079968795126622,0.0035202322412756512,0.010969605346998968
cub200,m9_contractive,U2,4,1.0,10,1,32,0.01,14.327236358800086,0.005875074557605186,-0.00986050801229457,0.02038812388437926
cub200,m9_contractive,U2,4,1.0,10,2,32,0.01,14.327236358800086,0.0022041982989286077,-0.006316753863934699,0.009095319071317227
cub200,m9_contractive,U2,4,0.9,10,0,32,0.01,14.327236358800086,0.007849283813889073,0.000508015819126442,0.010524592614743037
cub200,m9_contractive,U2,4,0.9,10,1,32,0.01,14.327236358800086,0.009723192448640533,-0.004260889617481029,0.020492004196327823
