method,ledger_hash,unit,sigma,delta,T,eps,regime,task_disjoint,violations
M5,a56a5889435003a8,U5,2.0,1e-05,500,19993.206406045843,"sequential-composition (U5, 300 touches/task)",False,V2/V3;V5b
M5,a56a5889435003a8,U5,2.0,1e-05,1000,39026.292546497025,"sequential-composition (U5, 300 touches/task)",False,V2/V3;V5b
M8,f7b59727f91af13f,U1,2.0,1e-05,1,2.5292139405522476,"sequential-composition (U1, 1 touches/task)",True,
M8,f7b59727f91af13f,U1,2.0,1e-05,5,5.989928952612497,"sequential-composition (U1, 1 touches/task)",True,
M8,f7b59727f91af13f,U1,2.0,1e-05,10,8.837137179629,"sequential-composition (U1, 1 touches/task)",True,
M8,f7b59727f91af13f,U1,2.0,1e-05,50,23.215647590214424,"sequential-composition (U1, 1 touches/task)",True,
M8,f7b59727f91af13f,U1,2.0,1e-05,100,36.49264290680486,"sequential-composition (U1, 1 touches/task)",True,
M8,f7b59727f91af13f,U1,2.0,1e-05,500,116.17300836742737,"sequential-composition (U1, 1 touches/task)",True,
M8,f7b59727f91af13f,U1,2.0,1e-05,1000,201.0695932944363,"sequential-composition (U1, 1 touches/task)",True,
M8,f7b59727f91af13f,U2,2.0,1e-05,1,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M8,f7b59727f91af13f,U2,2.0,1e-05,5,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M8,f7b59727f91af13f,U2,2.0,1e-05,10,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M8,f7b59727f91af13f,U2,2.0,1e-05,50,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M8,f7b59727f91af13f,U2,2.0,1e-05,100,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M8,f7b59727f91af13f,U2,2.0,1e-05,500,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M8,f7b59727f91af13f,U2,2.0,1e-05,1000,2.5292139405522476,"parallel-composition (task-disjoint, U2)",True,
M8,f7b59727f91af13f,U3,2.0,1e-05,1,2.5292139405522476,"sequential-composition (U3, 1 touches/task)",True,
M8,f7b59727f91af13f,U3,2.0,1e-05,5,5.989928952612497,"sequential-composition (U3, 1 touches/task)",True,
M8,f7b59727f91af13f,U3,2.0,1e-05,10,8.837137179629,"sequential-composition (U3, 1 touches/task)",True,
M8,f7b59727f91af13f,U3,2.0,1e-05,50,23.215647590214424,"sequential-composition (U3, 1 touches/task)",True,
M8,f7b59727f91af13f,U3,2.0,1e-05,100,36.49264290680486,"sequential-composition (U3, 1 touches/task)",True,
M8,f7b59727f91af13f,U3,2.0,1e-05,500,116.17300836742737,"sequential-composition (U3, 1 touches/task)",True,
M8,f7b59727f91af13f,U3,2.0,1e-05,1000,201.0695932944363,"sequential-composition (U3, 1 touches/task)",True,
M8,f7b59727f91af13f,U4,2.0,1e-05,1,2.5292139405522476,"sequential-composition (U4, unbounded client-level)",True,
M8,f7b59727f91af13f,U4,2.0,1e-05,5,5.989928952612497,"sequential-composition (U4, unbounded client-level)",True,
M8,f7b59727f91af13f,U4,2.0,1e-05,10,8.837137179629,"sequential-composition (U4, unbounded client-level)",True,
M8,f7b59727f91af13f,U4,2.0,1e-05,50,23.215647590214424,"sequential-composition (U4, unbounded client-level)",True,
M8,f7b59727f91af13f,U4,2.0,1e-05,100,36.49264290680486,"sequential-composition (U4, unbounded client-level)",True,
M8,f7b59727f91af13f,U4,2.0,1e-05,500,116.17300836742737,"sequential-composition (U4, unbounded client-level)",True,
M8,f7b59727f91af13f,U4,2.0,1e-05,1000,201.0695932944363,"sequential-composition (U4, unbounded client-level)",True,
M8,f7b59727f91af13f,U5,2.0,1e-05,1,2.5292139405522476,"sequential-composition (U5, 1 touches/task)",True,
M8,f7b59727f91af13f,U5,2.0,1e-05,5,5.989928952612497,"sequential-composition (U5, 1 touches/task)",True,
M8,f7b59727f91af13f,U5,2.0,1e-05,10,8.837137179629,"sequential-composition (U5, 1 touches/task)",True,
M8,f7b59727f91af13f,U5,2.0,1e-05,50,23.215647590214424,"sequential-composition (U5, 1 touches/task)",True,
M8,f7b59727f91af13f,U5,2.0,1e-05,100,36.49264290680486,"sequential-composition (U5, 1 touches/task)",True,
M8,f7b59727f91af13f,U5,2.0,1e-05,500,116.17300836742737,"sequential-composition (U5, 1 touches/task)",True,
M8,f7b59727f91af13f,U5,2.0,1e-05,1000,201.0695932944363,"sequential-composition (U5, 1 touches/task)",True,
