dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cub200,m2_target,1,5,9,4,0.8808664259927798,0.928
cub200,m2_target,1,6,6,0,0.16216216216216217,0.222
cub200,m2_target,1,6,7,1,0.7804054054054054,0.888
cub200,m2_target,1,6,8,2,0.8175675675675675,0.906
cub200,m2_target,1,6,9,3,0.8260135135135135,0.914
cub200,m2_target,1,7,7,0,0.11016949152542373,0.16633266533066132
cub200,m2_target,1,7,8,1,0.7084745762711865,0.8316633266533067
cub200,m2_target,1,7,9,2,0.823728813559322,0.9138276553106213
cub200,m2_target,1,8,8,0,0.31932773109243695,0.3466933867735471
cub200,m2_target,1,8,9,1,0.7798319327731092,0.8717434869739479
cub200,m2_target,1,9,9,0,0.2677966101694915,0.33
cub200,m2_target,2,0,0,0,0.9225589225589226,0.926
cub200,m2_target,2,0,1,1,0.9747474747474747,0.964
cub200,m2_target,2,0,2,2,0.9612794612794613,0.956
cub200,m2_target,2,0,3,3,0.9158249158249159,0.948
cub200,m2_target,2,0,4,4,0.8922558922558923,0.938
cub200,m2_target,2,0,5,5,0.8905723905723906,0.934
cub200,m2_target,2,0,6,6,0.8973063973063973,0.94
cub200,m2_target,2,0,7,7,0.8838383838383839,0.932
cub200,m2_target,2,0,8,8,0.8905723905723906,0.932
cub200,m2_target,2,0,9,9,0.877104377104377,0.926
cub200,m2_target,2,1,1,0,0.5527638190954773,0.658
cub200,m2_target,2,1,2,1,0.966499162479062,0.986
cub200,m2_target,2,1,3,2,0.9681742043551089,0.988
cub200,m2_target,2,1,4,3,0.9631490787269682,0.984
cub200,m2_target,2,1,5,4,0.9530988274706867,0.976
cub200,m2_target,2,1,6,5,0.9363484087102177,0.968
cub200,m2_target,2,1,7,6,0.9229480737018425,0.962
cub200,m2_target,2,1,8,7,0.8961474036850922,0.96
cub200,m2_target,2,1,9,8,0.8994974874371859,0.958
cub200,m2_target,2,2,2,0,0.44809688581314877,0.49
cub200,m2_target,2,2,3,1,0.9117647058823529,0.956
cub200,m2_target,2,2,4,2,0.8858131487889274,0.954
cub200,m2_target,2,2,5,3,0.8667820069204152,0.962
cub200,m2_target,2,2,6,4,0.8650519031141869,0.948
cub200,m2_target,2,2,7,5,0.8685121107266436,0.95
cub200,m2_target,2,2,8,6,0.8217993079584776,0.944
cub200,m2_target,2,2,9,7,0.8356401384083045,0.948
cub200,m2_target,2,3,3,0,0.2382608695652174,0.2937625754527163
cub200,m2_target,2,3,4,1,0.8904347826086957,0.9336016096579477
cub200,m2_target,2,3,5,2,0.9008695652173913,0.9537223340040242
cub200,m2_target,2,3,6,3,0.871304347826087,0.9517102615694165
cub200,m2_target,2,3,7,4,0.8678260869565217,0.9456740442655935
cub200,m2_target,2,3,8,5,0.8921739130434783,0.9476861167002012
cub200,m2_target,2,3,9,6,0.8991304347826087,0.9476861167002012
cub200,m2_target,2,4,4,0,0.30256410256410254,0.388
cub200,m2_target,2,4,5,1,0.8854700854700854,0.938
cub200,m2_target,2,4,6,2,0.9076923076923077,0.938
cub200,m2_target,2,4,7,3,0.8837606837606837,0.934
cub200,m2_target,2,4,8,4,0.8752136752136752,0.932
cub200,m2_target,2,4,9,5,0.8735042735042735,0.926
cub200,m2_target,2,5,5,0,0.3170289855072464,0.378
cub200,m2_target,2,5,6,1,0.8460144927536232,0.936
cub200,m2_target,2,5,7,2,0.8840579710144928,0.944
cub200,m2_target,2,5,8,3,0.8913043478260869,0.946
cub200,m2_target,2,5,9,4,0.8858695652173914,0.942
cub200,m2_target,2,6,6,0,0.3833049403747871,0.426
cub200,m2_target,2,6,7,1,0.858603066439523,0.918
cub200,m2_target,2,6,8,2,0.8739352640545145,0.934
cub200,m2_target,2,6,9,3,0.8637137989778535,0.934
cub200,m2_target,2,7,7,0,0.1381692573402418,0.1903807615230461
cub200,m2_target,2,7,8,1,0.7564766839378239,0.8717434869739479
cub200,m2_target,2,7,9,2,0.8290155440414507,0.9078156312625251
cub200,m2_target,2,8,8,0,0.13957597173144876,0.22645290581162325
cub200,m2_target,2,8,9,1,0.7579505300353356,0.8657314629258517
cub200,m2_target,2,9,9,0,0.07056798623063683,0.11222444889779559
cub200,m2_target,3,0,0,0,0.8792792792792793,0.936
cub200,m2_target,3,0,1,1,0.9585585585585585,0.976
cub200,m2_target,3,0,2,2,0.9567567567567568,0.97
cub200,m2_target,3,0,3,3,0.9531531531531532,0.974
cub200,m2_target,3,0,4,4,0.9351351351351351,0.962
cub200,m2_target,3,0,5,5,0.9261261261261261,0.96
cub200,m2_target,3,0,6,6,0.9081081081081082,0.944
cub200,m2_target,3,0,7,7,0.9027027027027027,0.936
cub200,m2_target,3,0,8,8,0.9063063063063063,0.942
cub200,m2_target,3,0,9,9,0.8828828828828829,0.938
cub200,m2_target,3,1,1,0,0.543918918918919,0.608
cub200,m2_target,3,1,2,1,0.9239864864864865,0.978
cub200,m2_target,3,1,3,2,0.9273648648648649,0.97
cub200,m2_target,3,1,4,3,0.9206081081081081,0.97
cub200,m2_target,3,1,5,4,0.9138513513513513,0.954
cub200,m2_target,3,1,6,5,0.9155405405405406,0.958
cub200,m2_target,3,1,7,6,0.910472972972973,0.948
cub200,m2_target,3,1,8,7,0.9070945945945946,0.958
cub200,m2_target,3,1,9,8,0.8885135135135135,0.948
cub200,m2_target,3,2,2,0,0.432937181663837,0.5050100200400801
cub200,m2_target,3,2,3,1,0.9320882852292021,0.9619238476953907
cub200,m2_target,3,2,4,2,0.8964346349745331,0.9478957915831663
cub200,m2_target,3,2,5,3,0.8590831918505942,0.9418837675350702
cub200,m2_target,3,2,6,4,0.8709677419354839,0.9378757515030061
cub200,m2_target,3,2,7,5,0.8522920203735145,0.9378757515030061
cub200,m2_target,3,2,8,6,0.8505942275042445,0.9238476953907816
cub200,m2_target,3,2,9,7,0.831918505942275,0.9278557114228457
cub200,m2_target,3,3,3,0,0.3583617747440273,0.44176706827309237
cub200,m2_target,3,3,4,1,0.8686006825938567,0.9518072289156626
cub200,m2_target,3,3,5,2,0.8856655290102389,0.9558232931726908
cub200,m2_target,3,3,6,3,0.8907849829351536,0.9538152610441767
cub200,m2_target,3,3,7,4,0.9044368600682594,0.9578313253012049
cub200,m2_target,3,3,8,5,0.89419795221843,0.9578313253012049
cub200,m2_target,3,3,9,6,0.9027303754266212,0.9618473895582329
cub200,m2_target,3,4,4,0,0.23251748251748253,0.332
cub200,m2_target,3,4,5,1,0.9090909090909091,0.968
cub200,m2_target,3,4,6,2,0.8933566433566433,0.958
cub200,m2_target,3,4,7,3,0.8863636363636364,0.954
cub200,m2_target,3,4,8,4,0.8828671328671329,0.944
cub200,m2_target,3,4,9,5,0.8513986013986014,0.94
cub200,m2_target,3,5,5,0,0.08020477815699659,0.116
cub200,m2_target,3,5,6,1,0.7849829351535836,0.894
cub200,m2_target,3,5,7,2,0.8310580204778157,0.924
cub200,m2_target,3,5,8,3,0.8583617747440273,0.934
cub200,m2_target,3,5,9,4,0.8276450511945392,0.92
cub200,m2_target,3,6,6,0,0.35346358792184723,0.38877755511022044
cub200,m2_target,3,6,7,1,0.8419182948490231,0.9078156312625251
cub200,m2_target,3,6,8,2,0.8756660746003553,0.9338677354709419
cub200,m2_target,3,6,9,3,0.8827708703374778,0.9318637274549099
cub200,m2_target,3,7,7,0,0.24612736660929432,0.31
cub200,m2_target,3,7,8,1,0.7710843373493976,0.89
cub200,m2_target,3,7,9,2,0.8777969018932874,0.944
cub200,m2_target,3,8,8,0,0.1686746987951807,0.1903807615230461
cub200,m2_target,3,8,9,1,0.7160068846815835,0.7995991983967936
cub200,m2_target,3,9,9,0,0.28522920203735147,0.33867735470941884
cub200,m2_target,4,0,0,0,0.8903878583473862,0.904
cub200,m2_target,4,0,1,1,0.9662731871838112,0.994
cub200,m2_target,4,0,2,2,0.9510961214165261,0.976
cub200,m2_target,4,0,3,3,0.9123102866779089,0.964
cub200,m2_target,4,0,4,4,0.8853288364249579,0.956
cub200,m2_target,4,0,5,5,0.8887015177065767,0.96
cub200,m2_target,4,0,6,6,0.8752107925801011,0.95
cub200,m2_target,4,0,7,7,0.8684654300168634,0.956
cub200,m2_target,4,0,8,8,0.8465430016863407,0.944
cub200,m2_target,4,0,9,9,0.863406408094435,0.946
cub200,m2_target,4,1,1,0,0.5638297872340425,0.622
cub200,m2_target,4,1,2,1,0.9663120567375887,0.98
cub200,m2_target,4,1,3,2,0.9627659574468085,0.974
cub200,m2_target,4,1,4,3,0.9645390070921985,0.978
cub200,m2_target,4,1,5,4,0.9414893617021277,0.972
cub200,m2_target,4,1,6,5,0.9326241134751773,0.968
cub200,m2_target,4,1,7,6,0.8936170212765957,0.962
cub200,m2_target,4,1,8,7,0.8812056737588653,0.954
cub200,m2_target,4,1,9,8,0.8812056737588653,0.956
cub200,m2_target,4,2,2,0,0.41100917431192663,0.466
cub200,m2_target,4,2,3,1,0.9174311926605505,0.958
cub200,m2_target,4,2,4,2,0.9192660550458716,0.96
cub200,m2_target,4,2,5,3,0.9211009174311927,0.96
cub200,m2_target,4,2,6,4,0.9119266055045872,0.95
cub200,m2_target,4,2,7,5,0.9192660550458716,0.954
cub200,m2_target,4,2,8,6,0.9064220183486239,0.956
cub200,m2_target,4,2,9,7,0.8954128440366973,0.954
cub200,m2_target,4,3,3,0,0.31095406360424027,0.3867735470941884
cub200,m2_target,4,3,4,1,0.9240282685512368,0.9619238476953907
cub200,m2_target,4,3,5,2,0.9169611307420494,0.9619238476953907
cub200,m2_target,4,3,6,3,0.911660777385159,0.9559118236472945
cub200,m2_target,4,3,7,4,0.8975265017667845,0.9579158316633266
cub200,m2_target,4,3,8,5,0.8763250883392226,0.9338677354709419
cub200,m2_target,4,3,9,6,0.8745583038869258,0.9478957915831663
cub200,m2_target,4,4,4,0,0.310580204778157,0.394
cub200,m2_target,4,4,5,1,0.878839590443686,0.934
cub200,m2_target,4,4,6,2,0.8924914675767918,0.95
cub200,m2_target,4,4,7,3,0.8959044368600683,0.95
cub200,m2_target,4,4,8,4,0.878839590443686,0.95
cub200,m2_target,4,4,9,5,0.8703071672354948,0.938
cub200,m2_target,4,5,5,0,0.30952380952380953,0.3674698795180723
cub200,m2_target,4,5,6,1,0.858843537414966,0.9236947791164659
cub200,m2_target,4,5,7,2,0.8996598639455783,0.9357429718875502
cub200,m2_target,4,5,8,3,0.9183673469387755,0.9538152610441767
cub200,m2_target,4,5,9,4,0.9081632653061225,0.9437751004016064
cub200,m2_target,4,6,6,0,0.15807560137457044,0.196
cub200,m2_target,4,6,7,1,0.7766323024054983,0.858
cub200,m2_target,4,6,8,2,0.8333333333333334,0.898
cub200,m2_target,4,6,9,3,0.8505154639175257,0.888
cub200,m2_target,4,7,7,0,0.1423785594639866,0.20281124497991967
cub200,m2_target,4,7,8,1,0.7085427135678392,0.8172690763052208
cub200,m2_target,4,7,9,2,0.8207705192629816,0.893574297188755
cub200,m2_target,4,8,8,0,0.1892361111111111,0.26
cub200,m2_target,4,8,9,1,0.8385416666666666,0.894
cub200,m2_target,4,9,9,0,0.10385259631490787,0.14829659318637275
