method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed
M8,cifar100,10,f7b59727f91af13f,U1,3,2.0,1e-05,391,1.0,nan,2.5292139405522476,contractive,0
M8,cifar100,10,f7b59727f91af13f,U1,3,2.0,1e-05,472,1.0,nan,2.5292139405522476,contractive,0
M8,cifar100,10,f7b59727f91af13f,U1,3,2.0,1e-05,569,1.0,nan,2.5292139405522476,contractive,0
M8,cifar100,10,f7b59727f91af13f,U1,3,2.0,1e-05,687,1.0,nan,2.5292139405522476,contractive,0
M8,cifar100,10,f7b59727f91af13f,U1,3,2.0,1e-05,829,1.0,nan,2.5292139405522476,contractive,0
M8,cifar100,10,f7b59727f91af13f,U1,3,2.0,1e-05,1000,1.0,nan,2.5292139405522476,contractive,0
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,1,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,2,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,3,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,4,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,5,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,6,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,7,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,8,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,9,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,10,1.0,1.0,2.5292139405522476,contractive,1
M8,cifar100,10,f7b59727f91af13f,U2,3,2.0,1e-05,11,1.0,nan,2.5292139405522476,contractive,0
