dataset,method,family,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows,view,identical_by_construction
cifar100,m0_fedavg,F1,0,0.5589926998619308,0.5541085495576412,0.5637617253175121,0.027859653239091012,0.024389371131439457,0.03138343278210707,0.0066429105626677224,0.004646122976128355,0.00919302782422575,5,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m0_fedavg,F1,0,0.5589926998619308,0.5541085495576412,0.5637617253175121,0.027859653239091012,0.024389371131439457,0.03138343278210707,0.0066429105626677224,0.004646122976128355,0.00919302782422575,5,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m0_fedavg,F1,0,0.5589926998619308,0.5541085495576412,0.5637617253175121,0.027859653239091012,0.024389371131439457,0.03138343278210707,0.0066429105626677224,0.004646122976128355,0.00919302782422575,5,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m0_fedavg,F1,1,0.5673658469909785,0.5626069638831168,0.5721050776913242,0.02869796020119367,0.025059893066144565,0.03244444312244488,0.00676266870011096,0.004718605248713493,0.009396350579139883,5,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m0_fedavg,F1,1,0.5673658469909785,0.5626069638831168,0.5721050776913242,0.02869796020119367,0.025059893066144565,0.03244444312244488,0.00676266870011096,0.004718605248713493,0.009396350579139883,5,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m0_fedavg,F1,1,0.5673658469909785,0.5626069638831168,0.5721050776913242,0.02869796020119367,0.025059893066144565,0.03244444312244488,0.00676266870011096,0.004718605248713493,0.009396350579139883,5,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m0_fedavg,F1,2,0.5686732326196423,0.5639598567710065,0.5735995471228315,0.02803562437982393,0.024377754876823168,0.031997874975149665,0.006195650579971551,0.0039971094340471094,0.00885925973149869,5,"n/a (per-seed, see a1_lira_pertask_*)",full,
cifar100,m0_fedavg,F1,2,0.5686732326196423,0.5639598567710065,0.5735995471228315,0.02803562437982393,0.024377754876823168,0.031997874975149665,0.006195650579971551,0.0039971094340471094,0.00885925973149869,5,"n/a (per-seed, see a1_lira_pertask_*)",aggregate,True
cifar100,m0_fedavg,F1,2,0.5686732326196423,0.5639598567710065,0.5735995471228315,0.02803562437982393,0.024377754876823168,0.031997874975149665,0.006195650579971551,0.0039971094340471094,0.00885925973149869,5,"n/a (per-seed, see a1_lira_pertask_*)",global,True
cifar100,m0_fedavg,F1,3,0.567930525832158,0.5631536362844107,0.5730313689839499,0.02736351238396903,0.02397032200826129,0.030981750158209462,0.005904809389037976,0.003728774686400816,0.008507107492123129,5,"n/a (per-seed, see a1_lira_pertask_*)",full,
