dataset,method,unit,eps,gamma,n_clients,seed,p,lambda,clip_C,final_avg_acc,bwt,avg_incremental_acc
imagenet_r,m9_contractive,U1,0.5,1.0,10,0,128,0.1,11.849688826333526,0.0160553646923078,-0.043715169065049166,0.05729472344440549
imagenet_r,m9_contractive,U1,0.5,1.0,10,1,128,0.1,11.849688826333526,0.015516150985813215,-0.06629344611724826,0.06795352784560327
imagenet_r,m9_contractive,U1,0.5,1.0,10,2,128,0.1,11.849688826333526,0.0124260726978361,-0.051446097269560676,0.05725994534758494
imagenet_r,m9_contractive,U1,0.5,0.9,10,0,128,0.1,11.849688826333526,0.016319298903973035,-0.054048678035945694,0.05803104891518309
imagenet_r,m9_contractive,U1,0.5,0.9,10,1,128,0.1,11.849688826333526,0.017544809215941152,-0.07304771394621162,0.06853676560028352
imagenet_r,m9_contractive,U1,0.5,0.9,10,2,128,0.1,11.849688826333526,0.00962827994254102,-0.061212738388935595,0.05646574490361959
imagenet_r,m9_contractive,U1,0.5,0.7,10,0,128,0.1,11.849688826333526,0.01623618789723694,-0.0875586254125334,0.0611257850721151
imagenet_r,m9_contractive,U1,0.5,0.7,10,1,128,0.1,11.849688826333526,0.01528381569661021,-0.08916746307823677,0.06629994106255047
imagenet_r,m9_contractive,U1,0.5,0.7,10,2,128,0.1,11.849688826333526,0.012228094872857077,-0.08411414000328665,0.05569401906353037
imagenet_r,m9_contractive,U1,1,1.0,10,0,128,100.0,11.849688826333526,0.09354601219916076,-0.12998209076979628,0.2085473692695921
imagenet_r,m9_contractive,U1,1,1.0,10,1,128,100.0,11.849688826333526,0.08526134923380788,-0.16467304591215803,0.2330076680863921
imagenet_r,m9_contractive,U1,1,1.0,10,2,128,100.0,11.849688826333526,0.0672229684552461,-0.18209008963406126,0.21301130998917608
imagenet_r,m9_contractive,U1,1,0.9,10,0,128,100.0,11.849688826333526,0.09413087415150825,-0.19846552255460764,0.21239907652787773
imagenet_r,m9_contractive,U1,1,0.9,10,1,128,100.0,11.849688826333526,0.09809467000174343,-0.22607309853832142,0.23595194578722628
imagenet_r,m9_contractive,U1,1,0.9,10,2,128,100.0,11.849688826333526,0.08771083591907711,-0.24675975210526346,0.22101493914615475
imagenet_r,m9_contractive,U1,1,0.7,10,0,128,100.0,11.849688826333526,0.0929841732547784,-0.3759422841328698,0.2067299953574667
imagenet_r,m9_contractive,U1,1,0.7,10,1,128,100.0,11.849688826333526,0.09630566927552811,-0.367728228753093,0.2181143367589927
imagenet_r,m9_contractive,U1,1,0.7,10,2,128,100.0,11.849688826333526,0.08917650355080839,-0.3819913877946072,0.21134173516806665
imagenet_r,m9_contractive,U1,2,1.0,10,0,128,100.0,11.849688826333526,0.20395350147040134,-0.15377586727044854,0.3186540342017997
imagenet_r,m9_contractive,U1,2,1.0,10,1,128,100.0,11.849688826333526,0.2081024593752744,-0.14914756917388228,0.3490221174490557
imagenet_r,m9_contractive,U1,2,1.0,10,2,128,100.0,11.849688826333526,0.19662440588303015,-0.19117655772372594,0.3474195648991399
imagenet_r,m9_contractive,U1,2,0.9,10,0,128,100.0,11.849688826333526,0.20600603935935471,-0.25794285699464864,0.31613787922353276
imagenet_r,m9_contractive,U1,2,0.9,10,1,128,100.0,11.849688826333526,0.19718364109591469,-0.2693047710627518,0.34213997667223417
imagenet_r,m9_contractive,U1,2,0.9,10,2,128,100.0,11.849688826333526,0.1959535011499135,-0.3023413693827697,0.34034765512530785
imagenet_r,m9_contractive,U1,2,0.7,10,0,128,100.0,11.849688826333526,0.13871365364543475,-0.47765401347305836,0.27418708814384957
imagenet_r,m9_contractive,U1,2,0.7,10,1,128,100.0,11.849688826333526,0.13431787973735426,-0.4696069849710708,0.2838008131770822
imagenet_r,m9_contractive,U1,2,0.7,10,2,128,100.0,11.849688826333526,0.14454392510617842,-0.47760489494330266,0.27883588497177525
imagenet_r,m9_contractive,U1,4,1.0,10,0,128,100.0,11.849688826333526,0.32609522917306183,-0.1202381346872466,0.40123151633417403
imagenet_r,m9_contractive,U1,4,1.0,10,1,128,100.0,11.849688826333526,0.31977181171002605,-0.1153015763033783,0.42782289268105644
imagenet_r,m9_contractive,U1,4,1.0,10,2,128,100.0,11.849688826333526,0.32599356059691675,-0.14198964537044578,0.43238784936682195
imagenet_r,m9_contractive,U1,4,0.9,10,0,128,100.0,11.849688826333526,0.2886508705168704,-0.2788857971617759,0.3837816035536138
imagenet_r,m9_contractive,U1,4,0.9,10,1,128,100.0,11.849688826333526,0.268382751163416,-0.27366467937508676,0.4025047897867041
imagenet_r,m9_contractive,U1,4,0.9,10,2,128,100.0,11.849688826333526,0.27092467371741835,-0.3034453794864075,0.40401298517498085
imagenet_r,m9_contractive,U1,4,0.7,10,0,128,100.0,11.849688826333526,0.15072173948598108,-0.5230866326921606,0.29934895094449593
imagenet_r,m9_contractive,U1,4,0.7,10,1,128,100.0,11.849688826333526,0.14639854824603257,-0.5079634434867947,0.3105181592806131
imagenet_r,m9_contractive,U1,4,0.7,10,2,128,100.0,11.849688826333526,0.16300299575665303,-0.5148571708550147,0.30693993026355326
imagenet_r,m9_contractive,U1,8,1.0,10,0,128,100.0,11.849688826333526,0.3909524878304676,-0.0929965250796207,0.4405383190196325
imagenet_r,m9_contractive,U1,8,1.0,10,1,128,100.0,11.849688826333526,0.3815781362482713,-0.08502422334518654,0.45925323832685416
imagenet_r,m9_contractive,U1,8,1.0,10,2,128,100.0,11.849688826333526,0.38220024064329755,-0.12132205151372538,0.46940664733679405
imagenet_r,m9_contractive,U1,8,0.9,10,0,128,100.0,11.849688826333526,0.31077502586817374,-0.2842711554487231,0.4080056355186956
imagenet_r,m9_contractive,U1,8,0.9,10,1,128,100.0,11.849688826333526,0.2975716250596668,-0.27554916708221444,0.4260776128711302
imagenet_r,m9_contractive,U1,8,0.9,10,2,128,100.0,11.849688826333526,0.30812277634994223,-0.2929314166071566,0.42974160139624706
imagenet_r,m9_contractive,U1,8,0.7,10,0,128,100.0,11.849688826333526,0.15411081066110618,-0.5306575139322226,0.30916551883967125
imagenet_r,m9_contractive,U1,8,0.7,10,1,128,100.0,11.849688826333526,0.15044621436185593,-0.522830363754792,0.32105606919868623
imagenet_r,m9_contractive,U1,8,0.7,10,2,128,100.0,11.849688826333526,0.16869186199099243,-0.5213486009133154,0.31204003240301864
imagenet_r,m9_contractive,U1,inf,1.0,10,0,768,1.0,10.160528743918903,0.6348495441088551,-0.09517643613701074,0.695797303314378
imagenet_r,m9_contractive,U1,inf,1.0,10,1,768,1.0,10.160528743918903,0.6340876430949949,-0.08959611849287807,0.7161196850980757
imagenet_r,m9_contractive,U1,inf,1.0,10,2,768,1.0,10.160528743918903,0.633550574176555,-0.09727809549862891,0.7093812279464151
imagenet_r,m9_contractive,U1,inf,0.9,10,0,768,1.0,10.160528743918903,0.6008035485847342,-0.180004872607148,0.6824841423140293
imagenet_r,m9_contractive,U1,inf,0.9,10,1,768,1.0,10.160528743918903,0.6074547195537293,-0.17450386878794807,0.7059413977526832
imagenet_r,m9_contractive,U1,inf,0.9,10,2,768,1.0,10.160528743918903,0.6034495855332875,-0.18120413378712982,0.69698888218108
imagenet_r,m9_contractive,U1,inf,0.7,10,0,768,1.0,10.160528743918903,0.39505731030462776,-0.4571962209593257,0.5969719038077748
imagenet_r,m9_contractive,U1,inf,0.7,10,1,768,1.0,10.160528743918903,0.39170565886476955,-0.46361649743720357,0.6179096410800551
imagenet_r,m9_contractive,U1,inf,0.7,10,2,768,1.0,10.160528743918903,0.4100855992202058,-0.4593281296148558,0.6080433826795214
imagenet_r,m9_contractive,U2,0.5,1.0,10,0,128,0.01,11.849688826333526,0.003262934412953798,-0.014884346824997298,0.01494077284493027
imagenet_r,m9_contractive,U2,0.5,1.0,10,1,128,0.01,11.849688826333526,0.006088682175844183,-0.013476349493898096,0.01404064119400997
imagenet_r,m9_contractive,U2,0.5,1.0,10,2,128,0.01,11.849688826333526,0.0034182791376170503,-0.009419952526042044,0.01141816174394487
imagenet_r,m9_contractive,U2,0.5,0.9,10,0,128,0.01,11.849688826333526,0.0029574032526858388,-0.013427621844310532,0.014528507698361878
imagenet_r,m9_contractive,U2,0.5,0.9,10,1,128,0.01,11.849688826333526,0.006754669551361137,-0.011945769409945219,0.013381714106914026
imagenet_r,m9_contractive,U2,0.5,0.9,10,2,128,0.01,11.849688826333526,0.0020479826543209944,-0.009457159259756424,0.010345418052050876
imagenet_r,m9_contractive,U2,0.5,0.7,10,0,128,0.01,11.849688826333526,0.00393819006229189,-0.013506552803771051,0.014822555694272179
imagenet_r,m9_contractive,U2,0.5,0.7,10,1,128,0.01,11.849688826333526,0.006006634886134616,-0.008594548854565322,0.013081676105792122
imagenet_r,m9_contractive,U2,0.5,0.7,10,2,128,0.01,11.849688826333526,0.00429479901196596,-0.011053288701425575,0.011456639252424936
imagenet_r,m9_contractive,U2,1,1.0,10,0,128,0.01,11.849688826333526,0.004586563855098076,-0.01339384615928809,0.015109290295232586
imagenet_r,m9_contractive,U2,1,1.0,10,1,128,0.01,11.849688826333526,0.005182285255681849,-0.013299994193413949,0.013549083989171248
imagenet_r,m9_contractive,U2,1,1.0,10,2,128,0.01,11.849688826333526,0.0040686620150428374,-0.008657089443528922,0.011873721156240932
imagenet_r,m9_contractive,U2,1,0.9,10,0,128,0.01,11.849688826333526,0.0033010458643696872,-0.013008059462945651,0.01432943296816803
imagenet_r,m9_contractive,U2,1,0.9,10,1,128,0.01,11.849688826333526,0.007030151645025048,-0.010835923470527857,0.012778988622891016
imagenet_r,m9_contractive,U2,1,0.9,10,2,128,0.01,11.849688826333526,0.003008701809058554,-0.00984029181561101,0.011240564197907558
imagenet_r,m9_contractive,U2,1,0.7,10,0,128,0.01,11.849688826333526,0.004569570773958061,-0.013189761058249637,0.014254630372385663
imagenet_r,m9_contractive,U2,1,0.7,10,1,128,0.01,11.849688826333526,0.007702009750368418,-0.005250203611719938,0.01254264674111204
imagenet_r,m9_contractive,U2,1,0.7,10,2,128,0.01,11.849688826333526,0.003916994928856961,-0.012200318689751266,0.012705795751603419
imagenet_r,m9_contractive,U2,2,1.0,10,0,128,0.01,11.849688826333526,0.0059361549286208026,-0.013050219737574094,0.01677448993383384
imagenet_r,m9_contractive,U2,2,1.0,10,1,128,0.01,11.849688826333526,0.006240112668028678,-0.013837910047472134,0.014054179822494748
