dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
cifar100,m3_fot,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.028893392784758817,0.02408747047989648,0.01,,
cifar100,m3_fot,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.5702032172578567,0.5619960505649524,0.5,,
cifar100,m4_proto,F2,aggregate,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.057633891587206186,0.051352535845206985,0.01,,
cifar100,m4_proto,F2,aggregate,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.681064432610418,0.6761605511872371,0.5,,
cifar100,m4_proto,F2,aggregate,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.057633891587206186,0.051352535845206985,0.01,,
cifar100,m4_proto,F2,aggregate,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.681064432610418,0.6761605511872371,0.5,,
cifar100,m4_proto,F2,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.3434382945433209,0.31391409951634075,0.01,,
cifar100,m4_proto,F2,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.8826480909783073,0.8731303790231386,0.5,,
cifar100,m4_proto,F2,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.3434382945433209,0.31391409951634075,0.01,,
cifar100,m4_proto,F2,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.8826480909783073,0.8731303790231386,0.5,,
cifar100,m4_proto,F2,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.059920840903192316,0.04621989529501042,0.01,,
cifar100,m4_proto,F2,global,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.5522260036904977,0.5379513557818137,0.5,,
cifar100,m4_proto,F2,global,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.059920840903192316,0.04621989529501042,0.01,,
cifar100,m4_proto,F2,global,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.5522260036904977,0.5379513557818137,0.5,,
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.03009465253620257,0.02513216097666646,0.01,,
cifar100,m5_hybrid_replay,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.5643009690257502,0.5556010062139344,0.5,,
cifar100,m5_hybrid_replay,F1,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.03009465253620257,0.02513216097666646,0.01,,
cifar100,m5_hybrid_replay,F1,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.5643009690257502,0.5556010062139344,0.5,,
cifar100,m8_analytic,F5,aggregate,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.9991860654403386,0.9975713114110633,0.01,,
cifar100,m8_analytic,F5,aggregate,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.9999611712101895,0.9999125504659061,0.5,,
cifar100,m8_analytic,F5,aggregate,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,0.9991860654403386,0.9975713114110633,0.01,,
cifar100,m8_analytic,F5,aggregate,leak_auc,last_round,6.0,,censored,6.0,6.0,6,0.9999611712101895,0.9999125504659061,0.5,,
cifar100,m8_analytic,F5,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cifar100,m8_analytic,F5,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
cifar100,m8_analytic,F5,full,leak_tpr1,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.01,,
cifar100,m8_analytic,F5,full,leak_auc,last_round,6.0,,censored,6.0,6.0,6,1.0,1.0,0.5,,
cifar100,m8_analytic,F5,global,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.9660258184245226,0.954716685994908,0.01,,
